"","LLY.Open","LLY.High","LLY.Low","LLY.Close","LLY.Volume","LLY.Adjusted"
"2021-04-30",181.839996,183.949997,181.190002,182.770004,3103900,179.436981
"2021-05-03",182.990005,186.350006,182.919998,185.919998,3197000,182.52951
"2021-05-04",187.529999,190.080002,186.779999,188.199997,3703500,184.767944
"2021-05-05",188.649994,193.570007,188.169998,192.809998,4274400,189.293869
"2021-05-06",191.550003,194.100006,189.320007,193.889999,3101600,190.354172
"2021-05-07",194.820007,196.270004,193.899994,195.419998,2526700,191.856262
"2021-05-10",196.169998,196.610001,193.5,194.759995,2242000,191.208298
"2021-05-11",193.389999,195.75,193.009995,194.75,1850200,191.198486
"2021-05-12",194.75,195.649994,192.729996,193.199997,2397400,189.676743
"2021-05-13",192.25,196.110001,191.75,194.940002,2174300,192.230759
"2021-05-14",195.710007,197.270004,194.919998,196.210007,1823700,193.483109
"2021-05-17",196.479996,199.610001,195.089996,195.529999,2466000,192.812561
"2021-05-18",195,196.350006,193.580002,194.630005,2369400,191.925079
"2021-05-19",193.610001,197.389999,193.110001,196.509995,3070500,193.778946
"2021-05-20",197.160004,201.080002,196.169998,199.529999,3494400,196.756973
"2021-05-21",200,201.919998,199.470001,199.880005,2579000,197.102097
"2021-05-24",201,203.619995,200.039993,201.020004,2074900,198.226257
"2021-05-25",201.429993,201.850006,199.139999,199.220001,2919100,196.451279
"2021-05-26",199.229996,202.440002,198.25,200.990005,2891300,198.196686
"2021-05-27",200.649994,201.380005,195.5,199.199997,9340300,196.431564
"2021-05-28",199.119995,202.279999,198.529999,199.740005,2386000,196.964066
"2021-06-01",200.320007,200.889999,196.679993,198.419998,3070200,195.662399
"2021-06-02",199.009995,200.919998,198.25,199.130005,2030300,196.362518
"2021-06-03",198.990005,203.639999,198.610001,202.699997,3066600,199.882904
"2021-06-04",202.789993,204.449997,201.289993,202.020004,2817700,199.212357
"2021-06-07",201.990005,233.330002,201.830002,222.520004,17231400,219.42746
"2021-06-08",221.710007,222.270004,217.369995,220.699997,4618500,217.632736
"2021-06-09",221.350006,226.729996,220.259995,226,4934900,222.859085
"2021-06-10",226.970001,235.850006,226.25,233.539993,5598200,230.294281
"2021-06-11",227.029999,229.589996,221.559998,224.089996,5636000,220.975632
"2021-06-14",224.229996,226.660004,223.020004,226.100006,2720700,222.957718
"2021-06-15",226.100006,226.660004,222.869995,223.520004,2188900,220.413559
"2021-06-16",223.529999,224.360001,220.199997,220.759995,2548800,217.69191
"2021-06-17",220.270004,223.100006,220.270004,222.210007,1890700,219.12178
"2021-06-18",220.429993,221.050003,218.320007,218.550003,4016600,215.512634
"2021-06-21",219.100006,223.770004,218.080002,222.669998,3671300,219.575363
"2021-06-22",222.630005,223.610001,220.509995,221.440002,1658800,218.362473
"2021-06-23",222.190002,222.240005,217,217.100006,2419600,214.082794
"2021-06-24",234.919998,239.369995,230.419998,232.970001,12290500,229.732208
"2021-06-25",233.119995,233.490005,229.389999,230.220001,6992200,227.020447
"2021-06-28",229,229.880005,226.880005,228.220001,2507500,225.048218
"2021-06-29",228.25,231.399994,227.850006,229.369995,1621200,226.182236
"2021-06-30",230.089996,230.850006,229.059998,229.520004,1786700,226.33017
"2021-07-01",229.509995,231.5,228.660004,231.130005,1977300,227.917801
"2021-07-02",231.970001,234.210007,231.330002,233.960007,1994000,230.708481
"2021-07-06",233.630005,235.580002,233.229996,235.419998,3125400,232.148178
"2021-07-07",234.679993,236.589996,233.460007,235.820007,3141500,232.542618
"2021-07-08",233.830002,237.270004,232.100006,237.119995,2431500,233.824539
