"","MSI.Open","MSI.High","MSI.Low","MSI.Close","MSI.Volume","MSI.Adjusted"
"2021-05-18",201.289993,201.729996,199.179993,199.190002,403400,195.877182
"2021-05-19",196.940002,199.029999,196.089996,198.729996,516200,195.424805
"2021-05-20",199.630005,204,198.610001,203.149994,648000,199.771301
"2021-05-21",203.710007,204.550003,201.419998,202.119995,600100,198.758438
"2021-05-24",203.169998,204.419998,202.139999,202.839996,525800,199.466461
"2021-05-25",202.979996,205.470001,202.369995,203.850006,734000,200.459671
"2021-05-26",202.419998,204.190002,202.309998,202.660004,521900,199.289459
"2021-05-27",202.990005,205.029999,202.940002,203.589996,939800,200.203979
"2021-05-28",204.600006,206.039993,204.080002,205.309998,692200,201.89537
"2021-06-01",206.220001,206.550003,203.190002,205.139999,548100,201.728195
"2021-06-02",208.699997,210.660004,206.380005,207.589996,701100,204.137451
"2021-06-03",206.880005,210.580002,206.179993,209.850006,1264100,206.359879
"2021-06-04",210.740005,211.710007,208.830002,209.949997,550100,206.458206
"2021-06-07",210.059998,210.820007,207.149994,207.690002,591000,204.235794
"2021-06-08",209.270004,211.5,207.809998,210.410004,709900,206.910553
"2021-06-09",210.190002,210.809998,208.850006,209.119995,513200,205.641998
"2021-06-10",209.399994,212.759995,209.380005,212.580002,417200,209.044479
"2021-06-11",213.710007,213.710007,210.220001,212.309998,469100,208.778961
"2021-06-14",211.229996,212.300003,209.440002,211.399994,403600,208.581635
"2021-06-15",212,212.130005,210.320007,210.940002,413700,208.127777
"2021-06-16",211.339996,211.339996,208.139999,209.699997,806600,206.904297
"2021-06-17",209.479996,213.649994,209.369995,210.880005,967000,208.068588
"2021-06-18",209.919998,210.520004,206.710007,207.029999,1033700,204.269897
"2021-06-21",208.529999,212.639999,207.300003,211.309998,746300,208.492844
"2021-06-22",212.639999,214.789993,211.009995,213.949997,1404400,211.097641
"2021-06-23",213.360001,214.490005,212.029999,213.320007,602700,210.476044
"2021-06-24",215,215.110001,213.080002,214.559998,540300,211.699509
"2021-06-25",214.610001,216.119995,214.570007,215.619995,1103300,212.745361
"2021-06-28",216.100006,216.179993,214.5,215.110001,534200,212.242188
"2021-06-29",215.270004,217.220001,215.199997,217.009995,515800,214.116837
"2021-06-30",216.850006,217.860001,216.009995,216.850006,573900,213.958969
"2021-07-01",217.600006,219.440002,217.289993,218.740005,472000,215.823776
"2021-07-02",219.600006,222.160004,218.850006,221.020004,643100,218.07338
"2021-07-06",222.139999,223.380005,219.990005,223.009995,754900,220.03685
"2021-07-07",223.279999,224.779999,221.210007,224.449997,459300,221.457657
"2021-07-08",220.529999,224.229996,220.5,222.309998,702200,219.346191
"2021-07-09",223.990005,224.809998,221.580002,224.520004,513100,221.526733
"2021-07-12",224.589996,225.009995,222.759995,223.229996,427400,220.253922
"2021-07-13",223.779999,224.199997,221.679993,222.199997,393000,219.23764
"2021-07-14",223.490005,224.639999,222.490005,222.910004,479900,219.938187
"2021-07-15",222.580002,223.949997,221.5,222.630005,440800,219.661926
"2021-07-16",222.520004,223.630005,219.800003,219.990005,583100,217.057114
"2021-07-19",217.240005,218.679993,215.289993,216.600006,578600,213.712311
"2021-07-20",217.820007,219.539993,217.080002,218.580002,727600,215.665909
"2021-07-21",219.419998,219.679993,217.639999,219.419998,485900,216.494705
"2021-07-22",218.660004,220.149994,217.539993,220.119995,419400,217.185379
"2021-07-23",221.529999,222.289993,219.889999,221.699997,453800,218.744308
"2021-07-26",221.339996,222.830002,220.729996,222.669998,451100,219.701385
"2021-07-27",221.399994,222.570007,219.570007,221.649994,503300,218.694962
"2021-07-28",221.899994,222.449997,220.600006,221.479996,551500,218.527252
"2021-07-29",223.990005,224.800003,223.169998,223.779999,526800,220.796585
"2021-07-30",223.259995,224.470001,223.259995,223.919998,656100,220.934708
"2021-08-02",224.860001,226.419998,223.710007,223.929993,569000,220.94458
"2021-08-03",224.309998,225.300003,222.990005,224.990005,418700,221.990448
"2021-08-04",225,225.720001,222.020004,222.770004,680500,219.800064
"2021-08-05",222.970001,223.820007,220.830002,222.270004,608100,219.306717
"2021-08-06",225.270004,231.889999,224.220001,228.520004,1252500,225.473389
"2021-08-09",228.520004,231.210007,227.889999,228.169998,719500,225.128052
"2021-08-10",228.270004,230.429993,228.270004,229.720001,605800,226.657379
"2021-08-11",230.669998,230.669998,226.779999,227.149994,557000,224.121658
"2021-08-12",227.199997,230.570007,226.75,230.539993,852300,227.466461
"2021-08-13",231.380005,233.110001,230.830002,233.029999,616500,229.923279
