"","SO.Open","SO.High","SO.Low","SO.Close","SO.Volume","SO.Adjusted"
"2021-06-02",63.669998,64.379997,63.310001,63.900002,3012600,61.389713
"2021-06-03",63.950001,64.68,63.57,64.459999,3245100,61.927711
"2021-06-04",64.620003,64.769997,64.309998,64.349998,2950200,61.822037
"2021-06-07",64.5,64.93,64.290001,64.669998,5518800,62.129456
"2021-06-08",64.800003,64.800003,63.400002,63.439999,4757400,60.947781
"2021-06-09",63.419998,63.720001,63.07,63.630001,4454800,61.130322
"2021-06-10",63.740002,63.939999,63.48,63.880001,3162600,61.370502
"2021-06-11",63.759998,63.970001,63.490002,63.849998,3123400,61.341675
"2021-06-14",63.77,64.139999,63.540001,63.790001,3300900,61.284031
"2021-06-15",63.900002,64.68,63.82,64.32,3155700,61.793213
"2021-06-16",64.370003,64.580002,62.959999,62.98,4200200,60.505852
"2021-06-17",63.009998,63.639999,62.73,63.349998,4425800,60.861317
"2021-06-18",63.040001,63.09,61.380001,61.450001,6549300,59.035961
"2021-06-21",61.720001,62.919998,61.540001,62.5,4303000,60.044708
"2021-06-22",62.360001,62.740002,62.040001,62.080002,3626200,59.641212
"2021-06-23",62.009998,62.060001,61.23,61.470001,4500900,59.055176
"2021-06-24",61.540001,61.580002,60.93,60.98,4963900,58.584423
"2021-06-25",60.970001,61.599998,60.59,61.529999,4703900,59.112816
"2021-06-28",61.75,61.919998,61.34,61.490002,2363300,59.07439
"2021-06-29",61.220001,61.669998,60.279999,60.459999,4097100,58.08485
"2021-06-30",60.450001,60.689999,60.119999,60.509998,4155200,58.132885
"2021-07-01",60.799999,61.650002,60.599998,61.48,3635500,59.064781
"2021-07-02",61.509998,61.610001,61.25,61.529999,2940600,59.112816
"2021-07-06",61.52,61.669998,60.759998,61.639999,3030600,59.218498
"2021-07-07",61.5,61.77,61.189999,61.689999,3001400,59.266533
"2021-07-08",61.400002,61.84,61.290001,61.549999,3480100,59.13203
"2021-07-09",61.66,61.779999,61.060001,61.470001,3688600,59.055176
"2021-07-12",61.34,61.889999,61.150002,61.799999,3121400,59.372211
"2021-07-13",61.720001,61.84,61.119999,61.34,2426200,58.930283
"2021-07-14",61.32,62.139999,61.060001,61.889999,2969500,59.458672
"2021-07-15",61.560001,62.720001,61.560001,62.669998,3600700,60.208031
"2021-07-16",62.740002,63.439999,62.57,63.110001,3651400,60.630753
"2021-07-19",62.93,63.630001,61.810001,62.790001,6866700,60.323322
"2021-07-20",63,63.950001,62.799999,62.950001,4566500,60.477036
"2021-07-21",63.040001,63.610001,62.75,62.82,3966100,60.352139
"2021-07-22",62.889999,63.400002,62.82,62.98,4387500,60.505852
"2021-07-23",63.07,63.98,63,63.860001,2823600,61.351284
"2021-07-26",63.900002,64.129997,63.5,63.73,3960800,61.226395
"2021-07-27",63.580002,64.830002,63.240002,64.540001,5830100,62.004574
"2021-07-28",64.709999,64.709999,63.549999,63.990002,5104800,61.476181
"2021-07-29",63.790001,64.690002,63.68,64.459999,4512500,61.927711
"2021-07-30",64.190002,64.870003,63.709999,63.869999,5192100,61.360893
"2021-08-02",63.990002,64.419998,63.75,64.080002,3616700,61.562641
"2021-08-03",64.099998,64.550003,63.689999,64.129997,4137500,61.610676
"2021-08-04",64,64.160004,63.139999,64.029999,4537700,61.514603
"2021-08-05",64.139999,64.809998,63.959999,64.779999,3792300,62.235138
"2021-08-06",64.830002,65.099998,64.510002,64.699997,3327000,62.158279
"2021-08-09",64.839996,64.910004,64.400002,64.849998,2906600,62.302391
"2021-08-10",64.919998,65.43,64.599998,65.209999,3484600,62.648251
"2021-08-11",65.25,66,65.209999,65.629997,3452600,63.051746
"2021-08-12",65.650002,65.970001,65.519997,65.720001,5412400,63.138218
"2021-08-13",65.150002,65.639999,64.970001,65.529999,3635200,63.594334
"2021-08-16",65.629997,66.860001,65.559998,66.379997,5504500,64.41922
"2021-08-17",66.360001,66.610001,65.889999,66.449997,5004300,64.48716
"2021-08-18",66.440002,66.519997,65.779999,66.010002,3545700,64.060158
"2021-08-19",66.059998,66.709999,65.980003,66.379997,4005800,64.41922
"2021-08-20",66.370003,67.459999,65.959999,67.32,4319000,65.331459
"2021-08-23",67.139999,67.32,66.610001,66.669998,4798200,64.700661
"2021-08-24",66.610001,66.610001,65.440002,65.730003,5062700,63.788425
"2021-08-25",65.620003,66.160004,65.400002,65.870003,3037100,63.924294
"2021-08-26",65.879997,66.269997,65.669998,66.139999,3378600,64.186317
"2021-08-27",66.269997,66.419998,65.830002,65.989998,3579600,64.040741
"2021-08-30",65.860001,65.989998,65.650002,65.75,3221100,63.807835
"2021-08-31",65.650002,65.959999,65.389999,65.730003,4581500,63.788425
"2021-09-01",65.970001,66.760002,65.849998,66.480003,3574900,64.516273
"2021-09-02",66.599998,66.980003,66.529999,66.849998,3544200,64.875343
"2021-09-03",66.790001,66.790001,66.190002,66.269997,2891300,64.312469
"2021-09-07",66.860001,67.110001,66.07,66.190002,6416900,64.23484
"2021-09-08",66.220001,67.459999,66.010002,67.309998,4759600,65.321747
"2021-09-09",67.260002,67.540001,67.089996,67.18,4789800,65.195587
"2021-09-10",67.040001,67.110001,66.110001,66.209999,3818800,64.25425
"2021-09-13",66.639999,66.870003,66.029999,66.330002,3243700,64.370697
"2021-09-14",66.400002,66.639999,65.769997,65.970001,3252700,64.021332
"2021-09-15",65.760002,66.339996,65.419998,66.010002,3037000,64.060158
"2021-09-16",66.129997,66.339996,65.209999,65.379997,4049400,63.448757
"2021-09-17",65.010002,65.379997,64.080002,64.139999,9457600,62.245388
"2021-09-20",64.050003,64.5,63.290001,63.959999,4444100,62.070705
"2021-09-21",64.150002,64.68,63.799999,63.810001,3381600,61.92514
"2021-09-22",64.010002,64.169998,63.48,63.610001,3500100,61.731045
"2021-09-23",63.619999,64.080002,63.32,63.400002,2802500,61.527248
"2021-09-24",63.32,63.740002,63.009998,63.16,3449600,61.294334
"2021-09-27",63.150002,63.709999,62.400002,62.439999,3375400,60.595604
"2021-09-28",62.470001,62.619999,61.560001,61.939999,5101000,60.110374
"2021-09-29",61.970001,63.130001,61.810001,62.639999,3889600,60.7897
"2021-09-30",62.810001,62.91,61.93,61.970001,4987400,60.139492
"2021-10-01",62.349998,62.380001,61.59,61.75,4654900,59.925987
"2021-10-04",61.560001,62.630001,61.5,62.43,6268900,60.585903
"2021-10-05",62.66,62.849998,61.919998,62.060001,4266400,60.226833
"2021-10-06",61.82,62.779999,61.459999,62.73,3386900,60.877041
"2021-10-07",63,63.48,62.5,62.669998,2863400,60.81881
"2021-10-08",62.650002,62.959999,62.380001,62.560001,2624000,60.712063
"2021-10-11",62.380001,62.48,61.75,61.919998,3238300,60.090961
"2021-10-12",61.950001,62.419998,61.759998,62.099998,2600900,60.265648
"2021-10-13",62.049999,62.560001,61.509998,62.509998,3200100,60.663536
"2021-10-14",62.759998,63.34,62.529999,63.259998,2853900,61.391384
"2021-10-15",63.25,63.700001,63.009998,63.130001,2895900,61.265224
"2021-10-18",62.639999,62.75,62.009998,62.450001,4180200,60.605312
"2021-10-19",62.630001,63.150002,62.540001,62.970001,2661200,61.109951
"2021-10-20",63.209999,63.970001,63.209999,63.709999,2688200,61.828091
"2021-10-21",63.849998,64.18,63.759998,64.160004,2895000,62.264801
"2021-10-22",64.169998,64.25,62.900002,62.950001,5067200,61.090542
"2021-10-25",62.799999,63.209999,62.619999,62.810001,2632300,60.954674
"2021-10-26",62.93,63.860001,62.849998,63.279999,3686000,61.410793
"2021-10-27",63.23,63.439999,62.580002,62.639999,2854400,60.7897
"2021-10-28",62.52,62.84,62.259998,62.740002,2714600,60.886749
