"","FBHS.Open","FBHS.High","FBHS.Low","FBHS.Close","FBHS.Volume","FBHS.Adjusted"
"2021-04-29",104.489998,105.349998,103.730003,104.919998,740200,103.36216
"2021-04-30",106,107.290001,103.730003,104.980003,1647500,103.421272
"2021-05-03",106,108.32,105.339996,107.730003,943400,106.130447
"2021-05-04",107.190002,109.389999,106.809998,108.699997,1103900,107.086037
"2021-05-05",109,109.839996,107.220001,109.010002,844400,107.391434
"2021-05-06",109.199997,109.669998,108.300003,109.629997,615800,108.002228
"2021-05-07",109.809998,111.790001,108.959999,111.559998,473300,109.903564
"2021-05-10",111.860001,114.010002,111.400002,111.959999,791600,110.29763
"2021-05-11",111.18,111.919998,108.5,108.739998,907600,107.125435
"2021-05-12",108.370003,108.760002,103.519997,103.720001,1041200,102.179985
"2021-05-13",104.440002,108.059998,104.300003,107.360001,616700,105.76593
"2021-05-14",107.830002,108.690002,107.169998,107.949997,480500,106.347168
"2021-05-17",107.720001,107.809998,104.849998,106.339996,629300,104.761078
"2021-05-18",106.629997,106.629997,103.809998,103.919998,1016900,102.377007
"2021-05-19",102.290001,104.120003,100.940002,103,1088700,101.470673
"2021-05-20",103.529999,104.5,102.540001,104.239998,746500,102.692261
"2021-05-21",104.830002,105.730003,103.269997,103.589996,532500,102.051903
"2021-05-24",104.339996,104.82,103.690002,104.279999,446600,102.731667
"2021-05-25",104.589996,105.669998,104.040001,104.279999,717900,102.731667
"2021-05-26",104.360001,105.769997,104.339996,105.510002,640500,103.943405
"2021-05-27",105.839996,106.040001,103.68,104.970001,1402300,103.666878
"2021-05-28",105.699997,105.769997,103.120003,103.160004,1014100,101.879349
"2021-06-01",104.43,105.470001,103.599998,104.370003,867600,103.074326
"2021-06-02",104.269997,104.309998,101.779999,102.089996,723000,100.822624
"2021-06-03",101.5,102.330002,100.82,101.849998,912800,100.585617
"2021-06-04",102.160004,103.129997,101.57,103.089996,580000,101.810219
"2021-06-07",103.300003,103.599998,101.459999,102.150002,481600,100.881889
"2021-06-08",102.550003,102.849998,101.639999,102.540001,579600,101.267052
"2021-06-09",102.879997,102.879997,100.099998,100.239998,621500,98.995598
"2021-06-10",100.690002,100.790001,98.449997,98.699997,613600,97.474716
"2021-06-11",99.199997,100.160004,98.139999,98.690002,1176100,97.464836
"2021-06-14",98.620003,98.709999,97.32,97.949997,796900,96.734032
"2021-06-15",98.32,99.550003,98.209999,98.940002,1054400,97.711739
"2021-06-16",98.669998,99.080002,97.389999,98.150002,1175000,96.931534
"2021-06-17",98.25,98.540001,94.540001,96.209999,1125100,95.015625
"2021-06-18",94.849998,96.519997,94.540001,95.760002,1410400,94.571213
"2021-06-21",96.639999,98.190002,96.540001,97.709999,887900,96.497002
"2021-06-22",99.129997,99.410004,98.269997,98.349998,777300,97.129051
"2021-06-23",98.190002,98.360001,96.830002,97.370003,525300,96.161224
"2021-06-24",97.879997,98.330002,96.860001,97.690002,516100,96.477249
"2021-06-25",97.769997,98.449997,96.889999,97.370003,1818200,96.161224
"2021-06-28",97.599998,99.239998,97.190002,98.889999,1556600,97.662346
"2021-06-29",99.610001,100.870003,99.040001,99.800003,776000,98.561066
