"","MAS.Open","MAS.High","MAS.Low","MAS.Close","MAS.Volume","MAS.Adjusted"
"2020-12-30",54.900002,55.41,54.48,54.77,791500,53.476288
"2020-12-31",54.580002,54.990002,54,54.93,1157900,53.632511
"2021-01-04",53.98,54.66,53.200001,53.68,3107300,52.412041
"2021-01-05",53.220001,53.689999,52.650002,52.889999,2224300,51.640697
"2021-01-06",52.860001,55.75,52.529999,55.200001,5647000,53.896137
"2021-01-07",55.220001,55.709999,54.299999,55.040001,1873200,53.87656
"2021-01-08",55.18,55.540001,53.779999,54.16,1743200,53.01516
"2021-01-11",53.889999,56.07,53.84,55.849998,3093800,54.669434
"2021-01-12",55.849998,56.779999,55.48,56.52,1577900,55.325275
"2021-01-13",56.549999,57.25,56.060001,56.060001,1747200,54.875
"2021-01-14",56.299999,57.279999,55.77,56.610001,2042900,55.413372
"2021-01-15",55.860001,56.259998,54.959999,56.09,2152300,54.904366
"2021-01-19",56.599998,57.23,56.34,56.400002,1680800,55.207817
"2021-01-20",56.650002,58.560001,56.400002,58.43,2264600,57.194901
"2021-01-21",58.619999,59.150002,57.869999,58.02,1960000,56.793568
"2021-01-22",57.869999,58.189999,57.16,57.52,1713100,56.304134
"2021-01-25",57.779999,58.299999,57.049999,57.619999,2110400,56.402023
"2021-01-26",57.32,57.689999,55.27,55.279999,2317400,54.111485
"2021-01-27",54.560001,54.82,53.25,54.360001,2282200,53.21093
"2021-01-28",54.900002,56,54.509998,55.02,2721200,53.856979
"2021-01-29",54.48,54.91,53.66,54.310001,2291800,53.161991
"2021-02-01",54.860001,55.43,54.080002,55.080002,1696400,53.915718
"2021-02-02",55.459999,55.990002,55.139999,55.369999,1464800,54.199585
"2021-02-03",55.32,55.98,55.009998,55.48,1232400,54.307259
"2021-02-04",55.490002,56.419998,55.209999,55.919998,1487700,54.737949
"2021-02-05",56.209999,56.790001,55.830002,56.419998,1546700,55.227383
"2021-02-08",56.990002,57.830002,56.939999,57.330002,1911500,56.118153
"2021-02-09",55.799999,57.130001,55.02,56.290001,3083700,55.100136
"2021-02-10",55.720001,55.869999,54.07,55.279999,3546100,54.111485
"2021-02-11",55.66,55.98,54.310001,55.009998,2320100,53.847187
"2021-02-12",54.799999,55.720001,54.5,54.950001,1917300,53.78846
"2021-02-16",55.099998,55.099998,53.150002,53.48,2144700,52.349533
"2021-02-17",53.189999,54.349998,53.029999,54.220001,2186700,53.073895
"2021-02-18",54.259998,54.66,53.799999,53.950001,1218800,52.809601
"2021-02-19",54.080002,54.939999,54.080002,54.599998,2501300,53.445858
"2021-02-22",54.619999,54.82,53.849998,54.360001,1504300,53.21093
"2021-02-23",54.189999,54.220001,52.799999,53.73,2416600,52.59425
"2021-02-24",53.700001,54.400002,53.200001,53.810001,1893100,52.672558
"2021-02-25",53.459999,54.209999,52.689999,52.93,1709300,51.811161
"2021-02-26",53.200001,54.060001,52.950001,53.220001,2145600,52.095032
"2021-03-01",53.799999,55.18,53.720001,54.48,1675800,53.328396
"2021-03-02",54.48,54.66,53.5,53.990002,1845100,52.848751
"2021-03-03",53.700001,54.09,53.02,53.220001,1822800,52.095032
"2021-03-04",53.119999,54.369999,51.970001,52.84,2934000,51.723061
"2021-03-05",53.27,54.389999,52.41,54.290001,2063400,53.142414
"2021-03-08",54.310001,55.73,54.029999,54.849998,1691700,53.690571
"2021-03-09",55.330002,55.740002,55.049999,55.360001,2121500,54.189796
"2021-03-10",55.849998,57.279999,55.48,56.830002,2554500,55.628723
"2021-03-11",56.830002,57.48,56.610001,57.049999,1384600,55.84407
"2021-03-12",56.790001,57.09,56.389999,56.84,1628700,55.638508
"2021-03-15",56.869999,57.549999,56.400002,57.48,3087800,56.264984
"2021-03-16",57.490002,57.889999,56.700001,56.939999,2022900,55.736389
"2021-03-17",56.849998,57.450001,56.18,57.02,1731400,55.814705
"2021-03-18",56.75,57.509998,56.619999,57.099998,1566000,55.893013
"2021-03-19",57.18,57.799999,56.68,57.32,3300900,56.10836
"2021-03-22",57.27,57.900002,56.73,57.790001,1706700,56.568436
"2021-03-23",57.720001,58.470001,56.529999,56.880001,1684700,55.677666
"2021-03-24",57.110001,58.099998,57.09,57.299999,1320100,56.088787
"2021-03-25",57.540001,58.299999,56.580002,58.029999,1498400,56.803352
"2021-03-26",58.310001,60.119999,58.209999,60.049999,1728500,58.780655
