"","PNC.Open","PNC.High","PNC.Low","PNC.Close","PNC.Volume","PNC.Adjusted"
"2021-03-12",179.949997,181.529999,178.929993,181.410004,1964900,173.87294
"2021-03-15",180.789993,181.059998,176.600006,178.529999,1851100,171.112595
"2021-03-16",176.600006,176.899994,173.740005,176.580002,1632400,169.243622
"2021-03-17",179.25,180.960007,176.619995,178.429993,1460300,171.016754
"2021-03-18",180.869995,184.330002,178.990005,179.860001,1995300,172.387344
"2021-03-19",176.610001,178.059998,174.169998,175.789993,6435600,168.48642
"2021-03-22",172.710007,173.559998,169.589996,171.220001,1971300,164.106323
"2021-03-23",169.690002,172.300003,168.440002,169.399994,1341900,162.361923
"2021-03-24",171.360001,173.139999,170.240005,170.25,1476000,163.176636
"2021-03-25",170.639999,177.229996,169.610001,177,1999800,169.646179
"2021-03-26",179.229996,180.309998,177.100006,179.679993,2130200,172.214844
"2021-03-29",176.820007,177.660004,173.199997,174.490005,1935300,167.240433
"2021-03-30",176,179.070007,175.779999,177.619995,1556600,170.240417
"2021-03-31",177.490005,177.850006,174.639999,175.410004,1970100,168.122238
"2021-04-01",174.449997,177.490005,174.380005,177.410004,1501800,170.039124
"2021-04-05",179.529999,180.360001,177.839996,178.759995,1866800,171.333038
"2021-04-06",177.660004,178.830002,175.960007,177.399994,1833800,170.029556
"2021-04-07",178.300003,179.649994,176.610001,178.25,1951400,170.844238
"2021-04-08",177.330002,178.520004,174.5,178.110001,1195600,170.710068
"2021-04-09",179.759995,180.360001,178.300003,180.210007,1302300,172.722809
"2021-04-12",180.630005,181.399994,179.770004,180.809998,1326100,173.297882
"2021-04-13",179.710007,179.800003,177.110001,177.619995,1427700,170.240417
"2021-04-14",177.009995,180.740005,176.710007,179.339996,1936300,171.888947
"2021-04-15",178.380005,178.539993,172.119995,174.789993,3215500,168.609161
"2021-04-16",177.509995,180.25,176.619995,178.860001,2503400,172.535263
"2021-04-19",179.350006,180.779999,176.940002,177.720001,1514700,171.435577
"2021-04-20",175.619995,176.199997,170.960007,171.729996,2268000,165.657379
"2021-04-21",171.029999,175.240005,170.139999,175.130005,1590300,168.937164
"2021-04-22",175.029999,175.600006,173.089996,173.839996,2151400,167.692764
"2021-04-23",174.309998,179.139999,173.529999,178.039993,2031300,171.744232
"2021-04-26",179.270004,181.740005,179,180.240005,1620600,173.866455
"2021-04-27",179.5,183.830002,179.5,183.580002,1831400,177.088348
"2021-04-28",184.020004,186.130005,183.949997,185.259995,1612600,178.708954
"2021-04-29",187.490005,189.429993,187.089996,189.169998,1322900,182.480667
"2021-04-30",187.940002,189.119995,186.75,186.949997,1347100,180.339188
"2021-05-03",188.669998,189.259995,186.720001,188.119995,1248700,181.467819
"2021-05-04",186.960007,193.660004,186.080002,193.320007,2734400,186.483932
"2021-05-05",193.660004,196.5,191.440002,194.610001,1861400,187.728317
"2021-05-06",196.369995,198.279999,193.130005,198.179993,1642700,191.172073
"2021-05-07",194.270004,199.190002,193.940002,198.910004,1194000,191.876266
"2021-05-10",203.009995,203.880005,198.429993,198.559998,2007800,191.538635
"2021-05-11",197.779999,200.470001,193.220001,194.039993,2822300,187.178467
"2021-05-12",196.809998,197.309998,189.639999,190.410004,2321000,183.676834
"2021-05-13",189.800003,197.509995,189.710007,196.009995,1302400,189.078796
"2021-05-14",196.429993,199.910004,196.25,199.380005,1071000,192.329636
"2021-05-17",198.240005,199.940002,197.410004,199.029999,1240500,191.99202
"2021-05-18",199.679993,200.149994,193.770004,193.910004,2022200,187.05307
"2021-05-19",191.970001,193,188.679993,192.889999,2594300,186.069122
"2021-05-20",192.990005,193.300003,189.869995,191.050003,1325700,184.294205
"2021-05-21",192.580002,194.300003,191.309998,193.479996,1356500,186.638275
"2021-05-24",194.440002,194.860001,192.889999,193.990005,901300,187.130234
"2021-05-25",194.740005,196.100006,191.449997,191.699997,1741500,184.921234
"2021-05-26",193.240005,194,190.449997,191.899994,1687600,185.114136
"2021-05-27",194.690002,195.5,192.539993,194.119995,2515300,187.25563
"2021-05-28",194.320007,195.199997,192.110001,194.679993,857100,187.795822
"2021-06-01",197.770004,197.820007,194.610001,195.820007,1494400,188.895538
"2021-06-02",196.690002,196.869995,193.889999,195.419998,1102600,188.509674
"2021-06-03",195.199997,198.380005,194.039993,195.880005,1329500,188.953415
"2021-06-04",195.809998,196.229996,193.309998,194,1403900,187.139877
"2021-06-07",194.770004,194.770004,192.699997,193.110001,907800,186.281342
"2021-06-08",191.300003,194.300003,189.550003,194.100006,1524100,187.236359
"2021-06-09",192.589996,193.059998,190.610001,190.789993,1309500,184.043396
"2021-06-10",193.479996,193.600006,188.669998,188.75,1236100,182.075516
"2021-06-11",189.279999,190.5,187.789993,189.199997,1317100,182.509613
"2021-06-14",188.919998,189.070007,185.889999,187.110001,1718500,180.493515
"2021-06-15",187.199997,190.070007,186.759995,189.270004,1594500,182.577164
"2021-06-16",188.360001,191.539993,186.130005,190.110001,1715600,183.387436
"2021-06-17",192.039993,192.039993,181.729996,182.449997,2544000,175.998306
"2021-06-18",180.639999,180.639999,177.690002,178.330002,3944200,172.023987
"2021-06-21",180.440002,184.350006,179.740005,184.149994,1386300,177.638184
"2021-06-22",183.630005,185.139999,181.669998,183.910004,1415300,177.406677
"2021-06-23",184.5,186.389999,184.100006,185.130005,1017300,178.583527
"2021-06-24",186.5,189.669998,185.039993,189.179993,1690900,182.490311
"2021-06-25",190.029999,193.660004,188.899994,193.360001,1814700,186.522522
"2021-06-28",192.410004,192.410004,189.910004,191.600006,1681900,184.824753
"2021-06-29",192.979996,194.490005,189.470001,190.470001,1689700,183.734711
"2021-06-30",189.580002,191.410004,189.559998,190.759995,1291400,184.014465
"2021-07-01",191.470001,192.440002,190.389999,191.740005,1045400,184.959808
"2021-07-02",193.470001,193.550003,191.059998,192.789993,1599200,185.972672
"2021-07-06",190.820007,192.440002,185.669998,187.960007,2147100,181.313477
"2021-07-07",186,188.419998,185.539993,186.580002,1108900,179.982269
"2021-07-08",183.610001,184.880005,181.679993,183.229996,2887000,176.750717
"2021-07-09",186.75,190.020004,185.970001,189.669998,1744000,182.962997
"2021-07-12",187.679993,192.350006,185.869995,191.910004,1778600,185.123779
"2021-07-13",190.669998,191.270004,187.979996,189.279999,1551500,182.586792
"2021-07-14",186.399994,191.449997,185.490005,188.339996,2564700,181.680023
"2021-07-15",186.460007,191.779999,185.759995,189.5,2042700,184.020325
"2021-07-16",190.130005,190.369995,182.809998,183.429993,1445300,178.125854
"2021-07-19",179.199997,180.940002,176.429993,177.800003,1653300,172.658661
"2021-07-20",177.860001,183.470001,177.210007,181.600006,1722600,176.34877
"2021-07-21",183.669998,186.25,183.539993,184.869995,1440700,179.524216
"2021-07-22",184.5,184.960007,180.669998,181.720001,1931300,176.465317
"2021-07-23",183.100006,185.190002,181.979996,183.020004,1019500,177.727737
"2021-07-26",183.649994,185.509995,183,184.520004,873800,179.184357
"2021-07-27",182.089996,185,180.869995,184.270004,893200,178.941574
"2021-07-28",185,185.559998,182.289993,183.759995,814500,178.446304
"2021-07-29",185.669998,186.139999,183.479996,185.160004,825300,179.805832
"2021-07-30",184.490005,186.399994,181.710007,182.410004,1020400,177.135376
"2021-08-02",183.529999,186.699997,181.309998,181.779999,1025900,176.52356
"2021-08-03",183.509995,187.320007,180.429993,186.339996,1552800,180.951721
"2021-08-04",184.039993,187.210007,183.5,185.020004,1008600,179.669891
"2021-08-05",186.949997,188.190002,185.75,186.679993,1082500,181.281876
"2021-08-06",189.350006,192.029999,188.970001,190.270004,1248000,184.768082
"2021-08-09",189.589996,191.779999,188.199997,190.009995,986900,184.515594
"2021-08-10",188.850006,193.75,188.850006,191.699997,1618900,186.156723
"2021-08-11",192.5,193.949997,190.259995,193.899994,3874400,188.293091
"2021-08-12",193.929993,195.330002,192.960007,193.399994,1580700,187.807556
"2021-08-13",193.820007,194.350006,189.839996,190.380005,1560900,184.874908
"2021-08-16",188.960007,189.789993,186.429993,189.649994,1484500,184.165985
"2021-08-17",188.210007,189.619995,184.940002,187.75,1096500,182.320923
"2021-08-18",186.360001,189.240005,185.410004,185.559998,967000,180.194275
"2021-08-19",183.649994,186.080002,183.039993,184.339996,1412300,179.009537
