"","TMO.Open","TMO.High","TMO.Low","TMO.Close","TMO.Volume","TMO.Adjusted"
"2021-05-13",457.059998,458.980011,453.559998,456.920013,1240300,455.74588
"2021-05-14",457.880005,461.399994,454.920013,459.070007,1009700,457.89032
"2021-05-17",460.869995,461.440002,451.820007,452.920013,1092300,451.756165
"2021-05-18",450.709991,459.040009,448.519989,454.609985,1897200,453.441803
"2021-05-19",451.899994,458.130005,449.579987,456.950012,1136600,455.775818
"2021-05-20",457.700012,467.670013,457.700012,465.290009,1181200,464.094391
"2021-05-21",467.600006,471.850006,462.079987,462.339996,1415300,461.151947
"2021-05-24",465.369995,466.570007,461.720001,462.459991,1194800,461.271606
"2021-05-25",465.299988,466.429993,461.579987,464.019989,1592500,462.827606
"2021-05-26",462.089996,464.5,457.25,459.690002,2142600,458.508759
"2021-05-27",459.670013,472.640015,457.019989,472.480011,4059500,471.2659
"2021-05-28",471.73999,480.690002,469.410004,469.5,1618200,468.293549
"2021-06-01",467,470.910004,446.309998,447.01001,4619100,445.861328
"2021-06-02",447.709991,452.480011,446.529999,449.209991,2355200,448.055695
"2021-06-03",447.579987,451.48999,444,445.329987,2396100,444.185669
"2021-06-04",448.970001,452.48999,445.130005,448.76001,1731200,447.606842
"2021-06-07",449.299988,450.579987,443.459991,444.450012,2782000,443.307953
"2021-06-08",441.769989,444,438.720001,441,2819400,439.866791
"2021-06-09",444.649994,449.910004,442.48999,448.209991,1795700,447.058228
"2021-06-10",448.790009,465.700012,447.799988,464.910004,2679600,463.715363
"2021-06-11",464.070007,465.899994,461.160004,465.149994,1935000,463.954712
"2021-06-14",464.700012,470.940002,463.390015,470.070007,1452700,469.124329
"2021-06-15",472.75,473.440002,467.589996,470.079987,1260700,469.134277
"2021-06-16",468.059998,477.320007,465.929993,468.420013,1691700,467.477631
"2021-06-17",468.839996,489.320007,468.049988,486.079987,2237300,485.102081
"2021-06-18",483.140015,488.059998,480.440002,482.470001,2321300,481.499359
"2021-06-21",484.220001,487,476.720001,483.559998,1111300,482.587189
"2021-06-22",484.320007,492.399994,482.970001,492.209991,1840600,491.219757
"2021-06-23",490.890015,494.160004,489.149994,494.019989,1358000,493.026093
"2021-06-24",495,498.429993,493.549988,495.359985,1326600,494.363373
"2021-06-25",495,497.709991,491.190002,492.869995,4676100,491.878418
"2021-06-28",493.679993,505.73999,492.01001,505.100006,1449600,504.083832
"2021-06-29",504.809998,510.600006,500.76001,508.23999,1349900,507.217529
"2021-06-30",507.5,508.850006,503.290009,504.470001,1010000,503.455078
"2021-07-01",505.839996,509.570007,503.26001,509.529999,1129300,508.504913
"2021-07-02",508.910004,514.630005,507.429993,513.320007,923400,512.287292
"2021-07-06",515.669983,518.460022,513.280029,517.059998,1288700,516.019714
"2021-07-07",519.97998,524.26001,517.070007,522.719971,1433500,521.668335
"2021-07-08",512,520.830017,511.480011,518.609985,1384000,517.56665
"2021-07-09",519.080017,519.950012,514.590027,517.26001,1184200,516.21936
"2021-07-12",519.690002,520.929993,512.929993,514.690002,1427600,513.65448
"2021-07-13",513.900024,517.909973,512.280029,514.299988,941800,513.26532
