"","NUE.Open","NUE.High","NUE.Low","NUE.Close","NUE.Volume","NUE.Adjusted"
"2021-04-08",79.440002,80.019997,77.709999,79.599998,2733600,77.981606
"2021-04-09",80.480003,81.379997,79.540001,80.290001,3958200,78.657585
"2021-04-12",80.400002,81.029999,79.809998,80.529999,1858700,78.8927
"2021-04-13",80.07,80.510002,77.989998,78.279999,2725800,76.688454
"2021-04-14",78.540001,80.419998,78.519997,79.059998,3096000,77.452583
"2021-04-15",79.559998,79.989998,78.110001,78.900002,2318200,77.295845
"2021-04-16",79.900002,80.43,78.25,79.5,2227400,77.883644
"2021-04-19",79.150002,80.480003,78.059998,79.440002,2153400,77.824867
"2021-04-20",80.050003,80.050003,78.019997,78.489998,2241200,76.894173
"2021-04-21",77.980003,80.190002,77.440002,80.18,2807700,78.549812
"2021-04-22",78.650002,79.010002,75.690002,76.089996,4785200,74.542969
"2021-04-23",76.889999,77.870003,75.599998,77.830002,4065200,76.247604
"2021-04-26",78.309998,80.650002,78.040001,80.599998,4502900,78.961273
"2021-04-27",80.279999,81.559998,80.010002,80.690002,3982700,79.049446
"2021-04-28",80.190002,82.25,80.059998,81.580002,3240800,79.921356
"2021-04-29",82.400002,83.110001,80.82,82.410004,3463000,80.734482
"2021-04-30",81.360001,83.580002,81.269997,82.260002,7387000,80.587532
"2021-05-03",83.129997,86.809998,82.870003,85.699997,4475100,83.957581
"2021-05-04",85.519997,89.839996,85.43,89.660004,5176000,87.837074
"2021-05-05",90,92.919998,88.900002,92.830002,5123800,90.942619
"2021-05-06",93.489998,95.739998,92.389999,95.690002,4550400,93.744469
"2021-05-07",95.389999,99.32,94.339996,98.760002,3977200,96.75206
"2021-05-10",100.400002,103.980003,99.5,101.300003,6084000,99.240425
"2021-05-11",99.599998,103.720001,99.010002,101.980003,5109600,99.906586
"2021-05-12",102.139999,102.379997,94.860001,95.989998,4676200,94.038376
"2021-05-13",96.989998,101.18,96.25,100.800003,4686800,98.75058
"2021-05-14",100.389999,102.940002,99.379997,102.510002,3970400,100.425819
"2021-05-17",102,106.440002,101.75,106.32,5134300,104.158348
"2021-05-18",106.870003,107.900002,103.029999,103.470001,7802500,101.366295
"2021-05-19",100.120003,102.18,97.349998,101.529999,5491400,99.465744
"2021-05-20",101.620003,101.870003,99.349998,101.129997,3253900,99.073868
"2021-05-21",102.059998,103.449997,101.370003,102.129997,2446000,100.053535
"2021-05-24",102.010002,103.879997,101.459999,103.360001,1956100,101.258537
"2021-05-25",103.910004,104.129997,100.040001,100.050003,3185700,98.015839
"2021-05-26",100.459999,101.489998,99.660004,100.849998,2140100,98.799568
"2021-05-27",103.129997,104.220001,100.900002,101.050003,4945000,98.995491
"2021-05-28",100.809998,103.080002,99.82,102.540001,3277900,100.455208
"2021-06-01",105,110.970001,104.650002,110.739998,7982300,108.48848
"2021-06-02",110.360001,110.699997,103.940002,105.029999,6173000,102.894577
"2021-06-03",104.050003,107.25,102.739998,107.07,2998400,104.893097
"2021-06-04",108,109.029999,107.260002,108.779999,2572300,106.568329
"2021-06-07",108.370003,109.529999,105.510002,107.370003,3320100,105.187004
"2021-06-08",108.5,110.260002,106.5,109.989998,2764100,107.753738
"2021-06-09",109,109.68,107.559998,107.580002,2593600,105.392738
"2021-06-10",108.669998,109.510002,106.150002,106.309998,2154800,104.148552
"2021-06-11",107.5,108.160004,105.809998,106.589996,2049800,104.422859
"2021-06-14",106.010002,106.339996,102.050003,102.709999,3797400,100.62175
"2021-06-15",102.110001,102.900002,99.010002,101.919998,5860100,99.847809
"2021-06-16",101.260002,101.260002,98.120003,99.940002,3913000,97.908073
"2021-06-17",100.239998,100.239998,93.660004,95.25,5508600,93.313416
"2021-06-18",94.230003,95.57,92.720001,93.019997,5248400,91.128754
"2021-06-21",94.489998,96.209999,93.940002,95.860001,2482200,93.911003
"2021-06-22",95.779999,96.419998,94.489998,95.68,2221600,93.734673
"2021-06-23",97.599998,98.690002,95.900002,95.970001,2922200,94.018784
"2021-06-24",96.809998,99.379997,95.919998,97.879997,3584700,95.889946
"2021-06-25",98.669998,98.790001,96.599998,96.690002,2838400,94.724136
"2021-06-28",96.949997,97.050003,94.580002,95.110001,2378300,93.176262
"2021-06-29",95.519997,96.370003,94.529999,94.629997,1663400,93.10247
"2021-06-30",94.43,95.980003,94.25,95.93,1970400,94.381485
"2021-07-01",97,97.349998,95.519997,96.650002,1778700,95.089859
"2021-07-02",97.059998,97.059998,95.510002,96.519997,2215900,94.96196
"2021-07-06",96.209999,96.889999,91.639999,92.550003,3142000,91.056053
"2021-07-07",93.349998,96.199997,93.139999,95.690002,2568400,94.145363
"2021-07-08",92.610001,94.910004,91.650002,93.699997,2290100,92.187485
"2021-07-09",95.709999,97.519997,94.949997,97.169998,2711700,95.601471
"2021-07-12",96.010002,98.800003,95.080002,97.760002,1849500,96.181953
"2021-07-13",97.040001,97.379997,95.099998,95.300003,1580500,93.761658
"2021-07-14",96.279999,97.220001,94.410004,95.080002,1604100,93.545204
"2021-07-15",94.769997,96.620003,94.410004,95.419998,1278300,93.879723
"2021-07-16",95.419998,95.440002,91.639999,92.040001,2313600,90.554283
"2021-07-19",89.809998,90.75,87.709999,90.040001,3398300,88.586563
"2021-07-20",90,92.169998,88.669998,91.519997,2471200,90.042671
"2021-07-21",92.639999,94.389999,92.459999,92.900002,1832100,91.400398
"2021-07-22",94.370003,94.940002,92.040001,93.849998,2838700,92.335068
"2021-07-23",94.949997,95.190002,92.589996,94.330002,1847900,92.80732
"2021-07-26",94.849998,97.889999,94.699997,97.760002,3235800,96.181953
"2021-07-27",96.169998,99,94.75,98.379997,2848300,96.791931
"2021-07-28",98.339996,100.099998,96.339996,99.400002,3063200,97.795479
"2021-07-29",100.790001,104.309998,100.5,103.449997,4246000,101.780098
"2021-07-30",102.739998,104.970001,102.129997,104.019997,4793900,102.340904
"2021-08-02",104.699997,105.919998,101.730003,102.080002,3531700,100.43222
"2021-08-03",102.300003,106.739998,101.5,106.669998,3524800,104.94812
"2021-08-04",106,106.660004,104.760002,104.900002,2499900,103.206696
"2021-08-05",104.489998,105.739998,101.370003,101.510002,5150600,99.871422
"2021-08-06",103.099998,105.199997,102.540001,104.309998,2668300,102.626221
"2021-08-09",103.669998,108.629997,103.449997,107.779999,4780400,106.040207
"2021-08-10",108.099998,118.93,108.07,118.099998,8317800,116.193619
"2021-08-11",121.93,123.980003,118.75,122.720001,9300900,120.739044
"2021-08-12",122.07,125.970001,120.309998,125.239998,5215000,123.218361
"2021-08-13",124.32,128.809998,124.269997,126.169998,4748700,124.133347
"2021-08-16",124.07,124.519997,119.400002,124.279999,4085200,122.273865
"2021-08-17",123.190002,124.379997,117.599998,119.57,4321300,117.639893
"2021-08-18",118.519997,123.209999,117.900002,120.769997,2816700,118.820511
"2021-08-19",116.75,118.589996,115.959999,117.43,3438200,115.534439
"2021-08-20",117.989998,119.25,115.699997,116.419998,2871800,114.540741
"2021-08-23",118.089996,121.220001,117.260002,119.830002,2594100,117.895699
"2021-08-24",123.699997,125.959999,122.5,123.25,2479900,121.260483
"2021-08-25",123.120003,123.860001,119.690002,119.959999,3463000,118.02359
"2021-08-26",120.669998,121.629997,118.040001,118.059998,2291800,116.154259
"2021-08-27",119.029999,121.199997,119,119.849998,2430100,117.915367
"2021-08-30",121.110001,123.410004,119.650002,121.040001,3042500,119.086159
"2021-08-31",120.75,121,116.309998,117.559998,3543700,115.662331
"2021-09-01",116.790001,117.370003,113.349998,116.260002,3168100,114.383316
"2021-09-02",116.660004,117.290001,114.669998,115.279999,2035600,113.419136
"2021-09-03",116,116.419998,113.910004,114.050003,1879800,112.209007
"2021-09-07",114,116.279999,113.709999,114.760002,2918100,112.907539
"2021-09-08",114.120003,114.169998,111.629997,112.18,2310800,110.369186
"2021-09-09",112.330002,113.400002,111.32,112.57,1712300,110.752884
"2021-09-10",113.510002,116.220001,112.099998,112.25,2288300,110.438049
"2021-09-13",113.330002,113.650002,106.839996,109.199997,3494000,107.437286
"2021-09-14",109.459999,109.669998,105.82,106.199997,2852700,104.48571
"2021-09-15",108.010002,109.860001,107.129997,109.629997,3266700,107.860344
"2021-09-16",108.849998,110.5,107.559998,109.82,3306600,108.047279
"2021-09-17",108.949997,109.07,104.040001,104.889999,7501700,103.196854
"2021-09-20",97.82,98.830002,94.419998,96.879997,6527500,95.316147
"2021-09-21",97.809998,97.889999,93.330002,96.209999,4438100,94.656967
"2021-09-22",98.5,100.410004,96.980003,97.18,3692700,95.611313
"2021-09-23",97.550003,101.440002,97.550003,99.400002,3986100,97.795479
"2021-09-24",98.760002,102.870003,98.349998,100.919998,3356400,99.290939
"2021-09-27",100.639999,104.190002,100.639999,103.919998,2844800,102.242516
"2021-09-28",103.470001,104.309998,100.459999,102.919998,2421600,101.258652
"2021-09-29",103.699997,104.620003,99.110001,99.790001,2370600,98.567055
"2021-09-30",100.709999,101.739998,98.449997,98.489998,2544600,97.282982
"2021-10-01",98.440002,99.129997,93.800003,97.650002,4788700,96.453278
"2021-10-04",98,99.589996,95.940002,96.779999,3073800,95.593941
"2021-10-05",97.440002,99.239998,96.199997,98.699997,2395400,97.49041
"2021-10-06",95.379997,97.360001,94.080002,95.989998,3402200,94.813622
"2021-10-07",98.440002,100.82,97.910004,98.949997,3234200,97.737343
"2021-10-08",99.110001,100.120003,97.529999,97.970001,2448400,96.769356
"2021-10-11",99.949997,101.889999,98.559998,98.620003,2378300,97.4114
"2021-10-12",99,100.860001,98.349998,99.599998,2194000,98.379379
"2021-10-13",100.230003,100.75,98.529999,100.339996,2692900,99.110313
"2021-10-14",101.459999,103.82,100.669998,101.230003,2386300,99.98941
