"","WEC.Open","WEC.High","WEC.Low","WEC.Close","WEC.Volume","WEC.Adjusted"
"2021-03-03",82.489998,82.839996,80.730003,82.260002,1061100,79.278122
"2021-03-04",83.099998,84.68,82.059998,82.279999,1397700,79.297394
"2021-03-05",82.32,85.110001,82.239998,84.480003,1386600,81.417641
"2021-03-08",85.050003,86.900002,84.440002,86.330002,1428600,83.200569
"2021-03-09",86.220001,87.300003,86.18,86.75,1182800,83.605362
"2021-03-10",86.690002,88.050003,86.199997,87.220001,1175500,84.058319
"2021-03-11",86.669998,87.839996,86.589996,86.860001,938700,83.71138
"2021-03-12",87.230003,88.800003,86.769997,88.489998,925500,85.282272
"2021-03-15",88.830002,89.720001,88.410004,88.910004,1151700,85.687065
"2021-03-16",88.470001,89.239998,88.410004,88.889999,892900,85.667786
"2021-03-17",89.150002,89.150002,87.330002,87.449997,1357200,84.279984
"2021-03-18",87.68,88.260002,85.919998,88.040001,1459100,84.848602
"2021-03-19",88.059998,89.589996,87.580002,88.82,4303100,85.600319
"2021-03-22",88.459999,88.910004,87.690002,88.760002,1110800,85.542503
"2021-03-23",88.940002,92.379997,88.519997,92.370003,1958800,89.021637
"2021-03-24",91.480003,92.610001,90.830002,91.949997,2019100,88.616852
"2021-03-25",92.849998,94.580002,92.199997,93.190002,2338500,89.811913
"2021-03-26",93.019997,93.260002,91.43,93.029999,1207300,89.657707
"2021-03-29",93.089996,95.139999,92.980003,94.790001,1113100,91.353912
"2021-03-30",94.349998,94.529999,92.620003,93.389999,899800,90.004662
"2021-03-31",93.269997,93.860001,92.919998,93.589996,1381700,90.197403
"2021-04-01",93.330002,93.480003,92.110001,93.32,940200,89.937195
"2021-04-05",93.330002,94.419998,93.120003,93.809998,1058000,90.409431
"2021-04-06",93.300003,93.919998,92.510002,93.800003,697600,90.399803
"2021-04-07",93.980003,94.5,92.910004,93.419998,1026700,90.033569
"2021-04-08",93.82,94.050003,92.769997,92.860001,1016200,89.493866
"2021-04-09",92.769997,93.279999,91.959999,92.349998,1045300,89.002357
"2021-04-12",92.970001,93.650002,92.370003,92.949997,1284600,89.580605
"2021-04-13",92.440002,94.139999,92.120003,94.050003,1124700,90.640732
"2021-04-14",93.540001,94.120003,92.970001,93.989998,821300,90.582901
"2021-04-15",93.989998,96.139999,93.989998,95.940002,1204400,92.462227
"2021-04-16",96.239998,97.410004,96.059998,96.959999,1187000,93.445244
"2021-04-19",97.190002,97.470001,96.360001,96.849998,1194700,93.339241
"2021-04-20",97.029999,99.860001,96.860001,99.150002,1304100,95.55587
"2021-04-21",99.410004,99.860001,97.209999,97.279999,1158400,93.753654
"2021-04-22",97.010002,97.57,96.32,97.160004,883600,93.638008
"2021-04-23",97.349998,97.629997,96.550003,96.790001,762200,93.281403
"2021-04-26",96.690002,96.720001,95.540001,95.800003,825900,92.327309
"2021-04-27",95.720001,96.010002,94.959999,94.980003,799700,91.537033
"2021-04-28",95.32,95.559998,94.5,94.660004,770200,91.22863
"2021-04-29",94.629997,95.910004,94.629997,95.75,1137300,92.279114
"2021-04-30",96.290001,97.25,95.43,97.169998,1073300,93.647636
"2021-05-03",96.480003,98.900002,95.43,98,1450300,94.447548
"2021-05-04",97.919998,98.779999,97.309998,97.860001,1382500,94.31263
"2021-05-05",97.580002,97.889999,95.480003,96.559998,1244100,93.059753
"2021-05-06",97.019997,98.150002,96.480003,97.949997,1233600,94.399361
"2021-05-07",97.940002,98.769997,97.580002,97.639999,847900,94.100601
"2021-05-10",98,99.639999,97.809998,99.260002,1712600,95.66188
"2021-05-11",99.480003,99.769997,95.720001,96.440002,1533700,92.944099
