"","UNP.Open","UNP.High","UNP.Low","UNP.Close","UNP.Volume","UNP.Adjusted"
"2021-07-19",215.160004,215.889999,212.940002,214.339996,3682600,210.014954
"2021-07-20",213.990005,217.639999,213.990005,215.479996,3066400,211.131958
"2021-07-21",216.449997,219.220001,216.220001,217.190002,2320000,212.807465
"2021-07-22",223.179993,224.5,219.050003,219.539993,4194900,215.110031
"2021-07-23",220.5,221.649994,219.470001,220.149994,3946800,215.707718
"2021-07-26",219.929993,222,218.610001,220.190002,2840900,215.746933
"2021-07-27",219.25,220.399994,217.190002,218.029999,3199000,213.630493
"2021-07-28",218.800003,219.080002,215.539993,216.559998,2366200,212.19017
"2021-07-29",218.199997,219.630005,217.240005,217.320007,1908000,212.93486
"2021-07-30",216.729996,219.600006,216.729996,218.759995,2324100,214.345764
"2021-08-02",220.490005,220.949997,217.380005,217.520004,1990900,213.130798
"2021-08-03",217.910004,220.729996,217.139999,220.059998,2278400,215.619553
"2021-08-04",219.440002,219.619995,217.190002,217.619995,2396900,213.228775
"2021-08-05",218.389999,219.589996,217.580002,219.160004,2051800,214.737701
"2021-08-06",219.889999,221.699997,219.619995,220.5,2480700,216.05069
"2021-08-09",219.880005,220.580002,219.440002,219.949997,1990000,215.511765
"2021-08-10",220.619995,222.929993,219.460007,221.710007,2061300,217.236267
"2021-08-11",222.369995,226.580002,221.860001,226.389999,3076400,221.821823
"2021-08-12",225.289993,227.869995,225.089996,227.660004,2015900,223.066208
"2021-08-13",228.089996,228.570007,226.600006,227.800003,1794100,223.203369
"2021-08-16",227.449997,228.070007,225.029999,227.490005,1803200,222.899628
"2021-08-17",226.75,226.850006,223.130005,225.860001,2265100,221.302505
"2021-08-18",224.440002,228.279999,224.190002,224.820007,2277500,220.283493
"2021-08-19",223.100006,225.509995,222.399994,223.770004,2110400,219.254684
"2021-08-20",223.949997,224.770004,223.130005,223.710007,1608900,219.195908
"2021-08-23",224.369995,226.080002,223.509995,223.779999,1873200,219.264481
"2021-08-24",223.850006,224.339996,221.110001,221.25,2390700,216.785522
"2021-08-25",221.580002,222.029999,220.449997,221.289993,1744000,216.824722
"2021-08-26",221.320007,222.179993,219.539993,220.979996,3064500,216.520981
"2021-08-27",221.320007,222.589996,221.160004,221.429993,1944800,216.961899
"2021-08-30",220.240005,220.619995,218.740005,219.080002,3485300,215.70163
"2021-08-31",219.589996,219.850006,215.539993,216.839996,5434800,213.496185
"2021-09-01",216.039993,218.559998,214.800003,216.929993,4309800,213.584793
"2021-09-02",217.330002,219.100006,216.860001,217.529999,2659400,214.175537
"2021-09-03",217,217.350006,214.440002,214.910004,4355200,211.595947
"2021-09-07",214.699997,216.75,212.699997,213,3840100,209.715393
"2021-09-08",213.309998,215.929993,212.270004,215.25,3319700,211.93071
"2021-09-09",214.75,215.190002,209.050003,210.050003,3887600,206.810883
"2021-09-10",211,211.929993,207.600006,207.759995,2981900,204.556183
"2021-09-13",209.050003,209.550003,205.220001,206.75,3209600,203.561768
"2021-09-14",207.5,207.5,202.610001,203.410004,4362800,200.273285
"2021-09-15",203.429993,204.649994,202.610001,204.25,5225600,201.100327
"2021-09-16",205,205.910004,203.110001,203.440002,3481900,200.302826
"2021-09-17",202.869995,204.570007,200.839996,201.470001,7702800,198.36319
"2021-09-20",198.860001,199.919998,195.679993,197.869995,4370600,194.81871
"2021-09-21",199.119995,199.580002,196.169998,196.610001,3730300,193.57814
"2021-09-22",198.399994,200.169998,197.690002,198.070007,2907200,195.01564
"2021-09-23",199.300003,203.309998,199.179993,201.720001,3553500,198.609344
"2021-09-24",201.160004,204.869995,201.100006,203.800003,2908500,200.657272
"2021-09-27",203.589996,206.490005,203.550003,203.960007,2449600,200.814804
"2021-09-28",201.550003,202.759995,199.710007,201.119995,3792800,198.0186
"2021-09-29",201.300003,202.630005,200.929993,201.679993,3448800,198.569946
"2021-09-30",202.25,202.309998,195.929993,196.009995,4098900,192.987396
"2021-10-01",197.789993,202.919998,197.289993,201.740005,3468600,198.629044
"2021-10-04",203.949997,206.619995,203.600006,205.509995,5531900,202.340897
"2021-10-05",205.130005,211.970001,205.130005,209.970001,4177300,206.732132
"2021-10-06",207.839996,212.949997,206.550003,212.440002,3074400,209.164047
