"","FTNT.Open","FTNT.High","FTNT.Low","FTNT.Close","FTNT.Volume","FTNT.Adjusted"
"2021-02-10",32,32.695999,32,32.264,5681500,32.264
"2021-02-11",32.512001,32.633999,31.974001,32.602001,3861500,32.602001
"2021-02-12",32.402,32.973999,32.259998,32.945999,3905000,32.945999
"2021-02-16",33.082001,33.200001,32.692001,32.978001,4911500,32.978001
"2021-02-17",32.835999,33.298,32.307999,33.245998,5200000,33.245998
"2021-02-18",32.821999,33.630001,32.653999,33.537998,5301000,33.537998
"2021-02-19",33.925999,34.481998,33.694,34.386002,6758000,34.386002
"2021-02-22",33.736,34.122002,33.548,34.07,8878000,34.07
"2021-02-23",33.029999,33.854,32.625999,33.754002,11826500,33.754002
"2021-02-24",33.694,34.037998,33.237999,33.970001,6325000,33.970001
"2021-02-25",33.764,34.116001,33.174,33.599998,11302000,33.599998
"2021-02-26",33.638,34.116001,33.042,33.77,8003000,33.77
"2021-03-01",34.301998,34.742001,34.037998,34.652,4593000,34.652
"2021-03-02",34.807999,34.958,34.200001,34.669998,7032500,34.669998
"2021-03-03",34.703999,34.717999,33.653999,33.976002,10943500,33.976002
"2021-03-04",33.566002,33.745998,32.327999,32.785999,16046000,32.785999
"2021-03-05",33.139999,33.644001,32.226002,33.514,7239500,33.514
"2021-03-08",33.594002,34.16,33.216,33.242001,5961500,33.242001
"2021-03-09",34.141998,35.243999,34.046001,35.153999,7247500,35.153999
"2021-03-10",35.908001,36.25,35.278,36.091999,10147500,36.091999
"2021-03-11",36.720001,37.521999,36.442001,37.506001,8290000,37.506001
"2021-03-12",36.866001,37.784,36.664001,37.669998,5900000,37.669998
"2021-03-15",37.776001,38.450001,37.582001,38.405998,5467000,38.405998
"2021-03-16",38.619999,38.768002,37.417999,37.903999,9699500,37.903999
"2021-03-17",37.284,37.939999,36.237999,36.532001,8151000,36.532001
"2021-03-18",36.040001,36.040001,34.610001,34.612,8142500,34.612
"2021-03-19",34.632,35.262001,34.194,34.897999,9314000,34.897999
"2021-03-22",35.368,35.916,34.950001,35.824001,6915000,35.824001
"2021-03-23",35.655998,35.827999,34.868,35.214001,5284500,35.214001
"2021-03-24",35.209999,35.493999,34.096001,34.259998,4384500,34.259998
"2021-03-25",33.807999,34.360001,33.416,34.245998,5007500,34.245998
"2021-03-26",34.306,36.624001,34.076,36.554001,9232500,36.554001
"2021-03-29",36.321999,37.411999,36.237999,36.734001,8117000,36.734001
"2021-03-30",36.349998,36.771999,35.900002,36.265999,5472500,36.265999
"2021-03-31",36.68,37.327999,36.473999,36.883999,5023000,36.883999
"2021-04-01",37.354,38.043999,37.094002,37.278,4659500,37.278
"2021-04-05",37.254002,38.360001,37.237999,38.254002,4967000,38.254002
"2021-04-06",37.902,39.102001,37.501999,38.936001,6241500,38.936001
"2021-04-07",38.745998,38.995998,38.445999,38.566002,5352500,38.566002
"2021-04-08",38.970001,39.577999,38.776001,39.316002,3825500,39.316002
"2021-04-09",39.290001,39.540001,38.902,39.523998,2917000,39.523998
"2021-04-12",39.41,39.666,39.084,39.417999,4068500,39.417999
"2021-04-13",39.816002,40.108002,39.439999,40.007999,4163000,40.007999
"2021-04-14",39.928001,40.764,39.745998,39.863998,4196500,39.863998
"2021-04-15",40.405998,41.23,40.296001,41.108002,5682000,41.108002
"2021-04-16",41.439999,41.877998,40.984001,41.202,6665500,41.202
"2021-04-19",41.028,41.518002,40.557999,41.228001,3888000,41.228001
"2021-04-20",41.299999,41.341999,40.231998,40.560001,2949000,40.560001
"2021-04-21",40.551998,40.821999,40.152,40.383999,3696000,40.383999
"2021-04-22",39.888,40.726002,39.813999,40.231998,5648000,40.231998
"2021-04-23",40.5,40.669998,39.938,40.352001,3746500,40.352001
"2021-04-26",40.948002,41.015999,40.452,40.779999,6688500,40.779999
"2021-04-27",40.566002,40.776001,39.959999,40.25,5493000,40.25
"2021-04-28",40.703999,40.73,39.560001,39.602001,4651500,39.602001
"2021-04-29",39.875999,39.896,38.556,39.094002,5871500,39.094002
"2021-04-30",39.632,41.088001,38.902,40.846001,13721500,40.846001
"2021-05-03",41.062,41.164001,39.855999,40.636002,6163500,40.636002
"2021-05-04",40.627998,41.548,40.473999,41.355999,8022500,41.355999
"2021-05-05",41.528,42.349998,41.453999,41.875999,6135000,41.875999
"2021-05-06",41.726002,41.82,40.646,41.301998,5826500,41.301998
"2021-05-07",41.799999,42.534,41.658001,42.354,4040500,42.354
