"","BK.Open","BK.High","BK.Low","BK.Close","BK.Volume","BK.Adjusted"
"2021-01-26",41.48,41.669998,40.880001,41.34,5936700,39.36496
"2021-01-27",40.759998,40.84,39.580002,39.82,8475500,37.917576
"2021-01-28",40.080002,41.060001,40.040001,40.689999,7315500,38.746014
"2021-01-29",40.209999,40.599998,39.459999,39.830002,7392700,38.218269
"2021-02-01",40.130001,41.07,40.02,40.470001,7013600,38.832371
"2021-02-02",40.75,41.630001,40.529999,40.849998,8285500,39.196995
"2021-02-03",40.720001,41.32,40.560001,41.060001,5403200,39.398499
"2021-02-04",41.290001,42.299999,41.169998,42.23,5019600,40.521152
"2021-02-05",42.529999,42.580002,41.889999,42.029999,3505000,40.329243
"2021-02-08",42.150002,42.439999,41.790001,41.950001,3988300,40.252483
"2021-02-09",41.849998,42.150002,41.400002,41.959999,4202800,40.262077
"2021-02-10",42.110001,42.389999,41.709999,41.740002,4574500,40.05098
"2021-02-11",43,43.84,42.029999,42.130001,10917500,40.425201
"2021-02-12",41.889999,42.540001,41.580002,41.93,8844800,40.233288
"2021-02-16",42.189999,43.349998,42.110001,42.75,8707400,41.020111
"2021-02-17",42.779999,43.299999,42.43,42.900002,4602200,41.164043
"2021-02-18",42.560001,42.799999,41.900002,42.18,3715800,40.473171
"2021-02-19",42.419998,42.889999,42.240002,42.32,5899900,40.60751
"2021-02-22",42.099998,43.98,42.080002,43.73,9732700,41.960449
"2021-02-23",43.98,44.540001,43.650002,43.830002,8004600,42.056408
"2021-02-24",43.970001,44.57,43.830002,44.259998,7416800,42.469006
"2021-02-25",44.610001,44.950001,43.25,43.419998,7042100,41.662994
"2021-02-26",43.040001,43.200001,41.98,42.16,6967300,40.453983
"2021-03-01",42.860001,43.869999,42.689999,43.68,6377000,41.912476
"2021-03-02",43.709999,44.32,43.580002,43.599998,4494600,41.835712
"2021-03-03",43.779999,45.560001,43.779999,44.529999,7398000,42.728081
"2021-03-04",44.529999,45.349998,44.040001,44.759998,6910300,42.948772
"2021-03-05",45.400002,45.720001,44.400002,45.029999,5828700,43.20784
"2021-03-08",45.57,46.16,45.150002,45.630001,4341700,43.783569
"2021-03-09",45.029999,45.939999,44.349998,44.939999,6057800,43.12149
"2021-03-10",45.110001,46.27,44.900002,45.900002,5011900,44.042641
"2021-03-11",45.560001,46,45.200001,45.73,3696800,43.879524
"2021-03-12",46.540001,46.900002,46.200001,46.66,4741500,44.771893
"2021-03-15",46.689999,46.779999,46.02,46.689999,3676000,44.800674
"2021-03-16",46.41,46.630001,45.919998,46.240002,3732700,44.368885
"2021-03-17",46.669998,46.82,45.880001,46.509998,4903800,44.627956
"2021-03-18",47.029999,47.759998,46.529999,46.700001,6300100,44.810272
"2021-03-19",46.189999,46.709999,45.610001,46.349998,14555300,44.47443
"2021-03-22",45.369999,45.799999,44.880001,45.209999,6265600,43.380562
"2021-03-23",44.939999,45.34,44.200001,44.369999,3727700,42.574551
"2021-03-24",45.490002,46.040001,45.25,45.25,5262300,43.418945
"2021-03-25",45.34,46.369999,44.700001,46.330002,6261700,44.455246
"2021-03-26",46.82,47.560001,46.759998,47.490002,7321300,45.568306
"2021-03-29",46.630001,47.91,46.459999,47.52,4829200,45.597092
"2021-03-30",47.799999,48.150002,47.5,47.860001,4451200,45.923332
"2021-03-31",47.630001,47.880001,47.220001,47.290001,4847400,45.3764
"2021-04-01",47.240002,47.52,46.849998,47.470001,4046100,45.549107
"2021-04-05",47.98,48.5,47.68,48.130001,3655600,46.182407
"2021-04-06",48.040001,48.130001,47.41,47.779999,3120400,45.846569
"2021-04-07",48.029999,48.290001,47.599998,47.84,3351600,45.90414
"2021-04-08",47.630001,48.049999,47.389999,48,3119400,46.057663
"2021-04-09",48.299999,48.700001,48.169998,48.619999,3172400,46.652576
"2021-04-12",48.619999,49.130001,48.529999,49.09,2843600,47.103561
"2021-04-13",48.810001,48.919998,48.259998,48.34,3233100,46.383911
"2021-04-14",48.299999,48.970001,48.09,48.639999,4219000,46.671768
"2021-04-15",48.73,48.799999,47.950001,48.009998,7748100,46.067257
"2021-04-16",47.049999,47.5,45.799999,46.07,9955800,44.205765
"2021-04-19",46.27,46.93,46.130001,46.810001,6314000,44.915817
"2021-04-20",46.639999,47.209999,46.279999,46.580002,7287800,44.695129
"2021-04-21",46.310001,47.41,46.189999,47.189999,4994400,45.280441
"2021-04-22",46.869999,47.23,46.380001,46.549999,5367400,44.666344
"2021-04-23",46.549999,47.889999,46.25,47.599998,4502700,45.673855
"2021-04-26",47.84,48.540001,47.75,48.110001,5555900,46.163212
"2021-04-27",47.869999,48.66,47.580002,48.549999,5566600,46.887531
"2021-04-28",48.610001,49.240002,48.610001,49.18,5937900,47.49596
"2021-04-29",49.5,50.259998,49.43,50.080002,6958400,48.365143
"2021-04-30",49.970001,50.25,49.709999,49.880001,6879700,48.171989
"2021-05-03",50.25,50.450001,49.700001,50.23,3896200,48.510006
"2021-05-04",50.130001,50.650002,49.990002,50.490002,6153800,48.761105
"2021-05-05",50.610001,51.59,50.139999,51.450001,4198000,49.688232
"2021-05-06",51.610001,51.93,51.34,51.889999,4923200,50.113163
"2021-05-07",51.169998,51.950001,50.59,51.82,4638900,50.045559
"2021-05-10",52.189999,52.82,52,52.27,4710300,50.480148
"2021-05-11",51.869999,52.630001,51.349998,51.580002,6502200,49.813782
"2021-05-12",52.130001,52.34,50.869999,51.029999,4204100,49.282612
"2021-05-13",50.759998,52.009998,50.619999,51.689999,4724100,49.92001
"2021-05-14",51.98,52.290001,51.639999,51.779999,4497100,50.006927
"2021-05-17",51.799999,52.290001,51.43,52.09,3919900,50.306316
"2021-05-18",52.040001,52.310001,50.73,50.75,5464000,49.012199
"2021-05-19",50.209999,50.889999,49.810001,50.860001,4990300,49.118427
"2021-05-20",50.849998,50.990002,50.41,50.610001,2854500,48.876995
