"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"2020-12-08",177.660004,180.740005,177.5,178.839996,2001600,172.302368
"2020-12-09",179.619995,180.479996,177,180.070007,2915500,173.487411
"2020-12-10",179.240005,179.529999,177.139999,178.850006,3109400,172.312012
"2020-12-11",176.990005,179.779999,176.229996,179.289993,2673400,172.735916
"2020-12-14",180.600006,183.330002,177.779999,178.050003,2533600,171.541245
"2020-12-15",179.929993,182.759995,179.020004,181.740005,2360300,175.096375
"2020-12-16",180.850006,181.270004,178.360001,179.5,2031800,172.938248
"2020-12-17",180.669998,180.729996,178.580002,179.169998,2296500,172.620316
"2020-12-18",180.070007,181.300003,177.470001,180.960007,5262700,174.344879
"2020-12-21",176.940002,180.889999,176.320007,180.160004,2071000,173.574142
"2020-12-22",179.289993,180.160004,176.479996,176.580002,2493300,170.125015
"2020-12-23",177.449997,179.289993,177.009995,178.419998,1862500,171.89772
"2020-12-24",179.449997,179.850006,178.350006,179.559998,585700,172.996048
"2020-12-28",180.479996,181.119995,178.309998,178.369995,1508800,171.849548
"2020-12-29",179.169998,179.380005,175.110001,176.649994,1490300,170.192413
"2020-12-30",179.770004,182.229996,178.690002,180.039993,2720600,173.458496
"2020-12-31",180.25,182.100006,178.75,182.020004,1717800,175.366104
"2021-01-04",183,185.979996,180.25,182.149994,4078300,175.491379
"2021-01-05",181.210007,185.800003,181.210007,183.639999,2933700,176.926926
"2021-01-06",187.149994,197.279999,186.149994,193.860001,8034700,186.773315
"2021-01-07",196.850006,197.369995,192.199997,194.229996,5297500,187.129776
"2021-01-08",193.850006,195.259995,191.320007,194.259995,3186600,187.158707
"2021-01-11",191.559998,195.460007,190.309998,193.860001,2540800,186.773315
"2021-01-12",194.679993,198,193.309998,197.539993,2466100,190.318771
"2021-01-13",198.789993,200.169998,195.800003,195.889999,3154700,188.729111
"2021-01-14",196.100006,197.910004,195.360001,197.399994,2486600,190.183914
"2021-01-15",195.660004,195.710007,190.880005,194.619995,3317100,187.505508
"2021-01-19",194.289993,196.110001,193.440002,194.059998,2361200,187.960754
"2021-01-20",192.660004,193.899994,190.419998,192.339996,2501100,186.294815
"2021-01-21",192.350006,193.720001,190.050003,192.190002,1951200,186.149536
"2021-01-22",190.850006,192.820007,189.309998,191.940002,2027000,185.907394
"2021-01-25",190.559998,191.369995,186.970001,187.339996,3837100,181.451981
"2021-01-26",187.600006,189.410004,186.830002,187.210007,2506000,181.32605
"2021-01-27",184.199997,185.550003,179.339996,180.630005,4095300,174.95285
"2021-01-28",182.259995,187.610001,181.309998,184.339996,3445400,178.546249
"2021-01-29",183.5,188.820007,180.729996,182.839996,4541400,177.093384
"2021-02-01",185.960007,186.800003,182.020004,184.720001,2738200,178.914291
"2021-02-02",186.5,192.779999,185.639999,192.5,5265400,186.449783
"2021-02-03",190.910004,191.529999,189.059998,191.449997,2979000,185.43277
"2021-02-04",192,192.610001,190.199997,191.649994,2253800,185.626495
"2021-02-05",192.520004,194.330002,190.009995,193,2240000,186.934067
"2021-02-08",195,197.539993,194.669998,197.449997,2725700,191.244202
"2021-02-09",197.539993,198.660004,194.889999,197.279999,2331600,191.079544
"2021-02-10",198.5,199.710007,196.259995,197.720001,2816400,191.505722
"2021-02-11",197.589996,198.419998,194.389999,198.350006,2178200,192.115921
"2021-02-12",197.979996,198.759995,196.759995,197.990005,1804200,191.767258
"2021-02-16",199.75,205.179993,199.240005,202.380005,3722700,196.019257
"2021-02-17",202.389999,202.899994,199.789993,202.300003,2290400,195.941788
"2021-02-18",201.550003,202.880005,198.580002,199.919998,2345800,193.636566
"2021-02-19",203.25,211.460007,202.699997,209.910004,4937300,203.312592
"2021-02-22",209.630005,218.869995,209.339996,218.059998,4578300,211.206421
"2021-02-23",219.529999,220.740005,213.279999,220.179993,4125100,213.259811
"2021-02-24",220.410004,226.669998,219.880005,222.470001,4925000,215.477844
"2021-02-25",223.619995,224.399994,219.720001,221.820007,4313000,214.848282
"2021-02-26",220.75,222.399994,215.820007,215.880005,4461300,209.094986
"2021-03-01",219.309998,222.580002,218.899994,219.759995,2871200,212.852997
"2021-03-02",218.690002,219.339996,215.009995,215.820007,2854300,209.03685
"2021-03-03",212.139999,217.550003,212.009995,214.910004,2664000,208.155441
"2021-03-04",214.479996,216.669998,208.470001,212.770004,3568400,206.082718
"2021-03-05",214.339996,220.779999,211.5,220.160004,3602300,213.240448
"2021-03-08",220.970001,224.300003,218.210007,221.580002,3048700,214.615814
"2021-03-09",221.380005,222.330002,216.139999,216.800003,2902400,209.986038
"2021-03-10",217.729996,222.050003,217.190002,221.059998,2435800,214.112152
"2021-03-11",223,223.600006,219.149994,219.759995,2960000,212.852997
"2021-03-12",219,229.020004,218.119995,229,4756500,221.802612
"2021-03-15",228.869995,231.800003,225.830002,230.740005,4215300,223.487915
"2021-03-16",227.720001,231.210007,224.770004,226.460007,3539200,219.342438
"2021-03-17",228.130005,234.300003,227.130005,233.630005,3518500,226.287079
"2021-03-18",234,237.779999,229.740005,230.679993,4336200,223.429779
"2021-03-19",228.75,229.649994,224.050003,225.289993,7485100,218.209198
"2021-03-22",226.619995,227.179993,223.570007,226.020004,2211600,218.916245
"2021-03-23",222.059998,225.240005,216.649994,218.25,4017600,211.390457
"2021-03-24",220.509995,227.110001,220.509995,221.229996,4258000,214.27681
"2021-03-25",219.229996,224.970001,216.039993,224.25,2901800,217.201889
"2021-03-26",226.350006,229.839996,225.210007,229.5,3040100,222.28688
"2021-03-29",228.100006,231.850006,227.710007,230.220001,3003200,222.984238
"2021-03-30",231.199997,234.720001,231.139999,233.080002,3139100,225.754364
"2021-03-31",234.350006,237.009995,228.850006,231.869995,4512300,224.582382
"2021-04-01",231.300003,235,227.589996,232.740005,3787100,225.425049
"2021-04-05",235,235.660004,232.369995,233.710007,2323400,226.364563
"2021-04-06",232.5,236.679993,230.229996,230.639999,2614500,223.391083
"2021-04-07",231.960007,234.190002,229.350006,230.410004,2449600,223.168304
"2021-04-08",230.130005,231.050003,227.169998,230.479996,2158900,223.236069
"2021-04-09",231.300003,232.199997,227.539993,230.75,2482900,223.497574
