"","HIG.Open","HIG.High","HIG.Low","HIG.Close","HIG.Volume","HIG.Adjusted"
"2021-03-18",57.939999,68.949997,57.700001,68.150002,23914200,66.336708
"2021-03-19",67.900002,69,67.099998,67.68,16201300,65.879211
"2021-03-22",67.709999,67.989998,66.599998,67.290001,4737300,65.499588
"2021-03-23",65.760002,67.620003,65.699997,67.300003,5909700,65.509323
"2021-03-24",68,69.599998,66.970001,67.050003,5992500,65.265976
"2021-03-25",67.620003,69.449997,66.410004,69.169998,4123000,67.329567
"2021-03-26",69.209999,69.389999,67.230003,67.699997,3946000,65.898674
"2021-03-29",65.099998,66.650002,64.82,65.959999,5991900,64.204979
"2021-03-30",65.949997,67.889999,65.089996,67.709999,6558800,65.908409
"2021-03-31",68,68.169998,66.260002,66.790001,3539800,65.012894
"2021-04-01",66.370003,68.349998,65.730003,68.279999,3143500,66.463249
"2021-04-05",68.959999,69.470001,68.040001,68.300003,2494100,66.482719
"2021-04-06",68.07,68.300003,67.339996,67.800003,2254300,65.996025
"2021-04-07",67.809998,68.209999,67.260002,68.150002,1691900,66.336708
"2021-04-08",67.540001,67.959999,66.550003,66.559998,3425400,64.789017
"2021-04-09",67.230003,67.309998,65.830002,66.790001,2390800,65.012894
"2021-04-12",67.080002,67.330002,66.129997,66.519997,1652800,64.750076
"2021-04-13",66.330002,66.769997,65.919998,66.610001,2219800,64.837692
"2021-04-14",66.5,66.779999,66.010002,66.110001,2682700,64.35099
"2021-04-15",66.110001,67.019997,65.739998,66.889999,2346500,65.110229
"2021-04-16",67.349998,67.669998,66.080002,66.25,2251300,64.487267
"2021-04-19",66.349998,66.900002,65.709999,66.730003,2262900,64.954491
"2021-04-20",66.459999,66.489998,65.459999,65.730003,2574100,63.981106
"2021-04-21",65.919998,67.489998,65.739998,67.449997,1571500,65.655334
"2021-04-22",65.75,67.690002,65.699997,66.660004,6728100,64.886353
"2021-04-23",67.239998,68.540001,66.989998,68.330002,3660300,66.511917
"2021-04-26",68.5,69.330002,68.440002,68.690002,3665600,66.86235
"2021-04-27",68.540001,69.940002,68.349998,69.5,5660900,67.650787
"2021-04-28",67.519997,68.129997,65.800003,67.599998,7324600,65.801338
