"","HIG.Open","HIG.High","HIG.Low","HIG.Close","HIG.Volume","HIG.Adjusted"
"2021-11-29",70.029999,70.220001,68.559998,68.610001,1664300,67.494354
"2021-11-30",67.75,67.919998,65.760002,66.099998,3631800,65.392105
"2021-12-01",67.129997,68.120003,64.860001,64.970001,1582100,64.274216
"2021-12-02",65.519997,67.75,65.290001,67.059998,2063900,66.341827
"2021-12-03",67.010002,67.709999,66.110001,66.639999,1760400,65.926323
"2021-12-06",67.580002,68.410004,67.169998,67.669998,2738500,66.945297
"2021-12-07",68.129997,69.040001,67.510002,68.25,1610600,67.519089
"2021-12-08",68.290001,68.849998,68,68.510002,1420300,67.776299
"2021-12-09",68.209999,68.660004,67.75,68.230003,1246300,67.499306
"2021-12-10",68.699997,69.160004,67.68,68.150002,1514200,67.420158
"2021-12-13",67.889999,68.029999,67,67.239998,1507000,66.519897
"2021-12-14",67.480003,69.129997,67.330002,68.050003,1963900,67.321228
"2021-12-15",68.220001,68.580002,67.5,67.970001,1622500,67.242081
"2021-12-16",68.68,69.639999,67.889999,69.099998,2178500,68.359978
"2021-12-17",69.07,69.07,67.389999,67.699997,4613200,66.974968
"2021-12-20",66.889999,66.889999,65.129997,66.099998,1588200,65.392105
"2021-12-21",66.720001,68.019997,66.519997,67.540001,1820100,66.816689
"2021-12-22",67.360001,68.040001,67.360001,67.629997,1099600,66.905724
"2021-12-23",67.940002,68.470001,67.730003,68.269997,742300,67.538864
"2021-12-27",68.169998,68.889999,67.830002,68.839996,473400,68.10276
"2021-12-28",68.849998,69.589996,68.690002,69.139999,574500,68.399551
"2021-12-29",69.110001,69.839996,68.769997,69.57,632900,68.824951
