"","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2021-02-02",140.029999,144.559998,139.899994,143.179993,1570800,140.301788
"2021-02-03",143.350006,146.600006,143.009995,144.940002,1052800,142.026413
"2021-02-04",145.529999,146.710007,144.419998,146.240005,1107500,143.300293
"2021-02-05",146.220001,152.270004,146.220001,151.5,1471300,148.454559
"2021-02-08",153.789993,157.589996,153.410004,157.25,1600000,154.088943
"2021-02-09",156.919998,160.509995,156.419998,158.5,1646600,155.313828
"2021-02-10",159.820007,159.860001,154.360001,156.449997,1242300,153.305038
"2021-02-11",157.050003,160.949997,156.740005,157.330002,1535700,154.167343
"2021-02-12",157.610001,160.309998,157.610001,159.929993,945300,156.715073
"2021-02-16",160.350006,163.399994,159.610001,161.940002,1410900,158.684677
"2021-02-17",162.889999,172.139999,162.889999,170.25,2013900,166.827637
"2021-02-18",169,173.369995,167.789993,171.889999,1559600,168.434647
"2021-02-19",172.380005,173.759995,169.679993,171.339996,1277600,168.405151
"2021-02-22",168.960007,170,164.639999,164.940002,1415800,162.114807
"2021-02-23",163.419998,166.089996,158.160004,165.199997,1328100,162.370331
"2021-02-24",165.779999,166.929993,160.75,161.080002,1470800,158.320923
"2021-02-25",162.149994,164.339996,160.259995,161.179993,1241700,158.419189
"2021-02-26",161.839996,162.369995,158.130005,158.960007,1578300,156.237228
"2021-03-01",160.309998,163.869995,159.940002,162.539993,1182300,159.755905
"2021-03-02",163.160004,163.660004,158.289993,158.910004,980700,156.18808
"2021-03-03",159.440002,161.580002,155,155.080002,1405700,152.423706
"2021-03-04",154.710007,155.139999,148.429993,151.710007,1423000,149.111404
"2021-03-05",152.929993,155.960007,148.789993,155.820007,849900,153.151031
"2021-03-08",156.919998,162.729996,156.039993,161,1365500,158.242294
"2021-03-09",164.440002,164.979996,160.460007,160.600006,1244700,157.849152
"2021-03-10",162.639999,168.809998,162.039993,167.490005,1580600,164.621124
"2021-03-11",168.630005,173.649994,168.309998,170.229996,1314200,167.314178
"2021-03-12",171.789993,174.179993,169.25,171,1884900,168.070999
"2021-03-15",171.139999,171.770004,169.759995,171,848000,168.070999
"2021-03-16",170.429993,170.990005,168.830002,170.220001,908000,167.304352
"2021-03-17",169.75,169.75,165.100006,168.389999,1119700,165.505707
"2021-03-18",166.600006,171.199997,166.600006,169.289993,835200,166.390274
"2021-03-19",169.800003,174.080002,168.619995,172.979996,2068700,170.017059
"2021-03-22",173.789993,174.559998,169.630005,173.539993,853800,170.56749
"2021-03-23",173.559998,176.820007,171.580002,172.639999,1609900,169.682907
"2021-03-24",174.529999,174.529999,169.059998,169.059998,1104400,166.164215
"2021-03-25",169.449997,173.360001,167.649994,172.440002,900400,169.486343
"2021-03-26",172.779999,178.580002,171.809998,178.479996,957800,175.422882
"2021-03-29",177.910004,178.559998,175.020004,175.690002,757800,172.680679
"2021-03-30",175.979996,179.25,175.979996,177.050003,927500,174.01738
"2021-03-31",178.139999,178.970001,175.380005,177.080002,1113800,174.046844
"2021-04-01",177.449997,178.039993,175.050003,176.5,1039300,173.476776
"2021-04-05",177.910004,180.850006,176.729996,180.350006,903500,177.260849
"2021-04-06",179.830002,180.740005,177.350006,179.509995,897800,176.435242
"2021-04-07",179.740005,180.220001,175.949997,177.059998,871600,174.027191
"2021-04-08",177.570007,177.979996,175.369995,176.649994,929800,173.624222
"2021-04-09",176.75,177.899994,175.460007,177.690002,819200,174.646408
"2021-04-12",175.649994,178.509995,174.279999,178.139999,994100,175.088684
"2021-04-13",178.729996,179.630005,176.979996,178.940002,989000,175.875
"2021-04-14",178.139999,180.490005,177.520004,177.860001,869500,174.813492
"2021-04-15",178.210007,178.860001,176.610001,176.940002,905500,173.909256
"2021-04-16",177.960007,182.800003,177.300003,181.080002,3197500,177.978333
"2021-04-19",184.369995,184.490005,180.119995,183.080002,1311300,179.944092
"2021-04-20",183.570007,185.889999,179.039993,181.050003,1188600,177.948868
