"","FISV.Open","FISV.High","FISV.Low","FISV.Close","FISV.Volume","FISV.Adjusted"
"2020-12-22",110.82,111.669998,110.190002,110.519997,3802500,110.519997
"2020-12-23",111.040001,111.199997,109.610001,110.639999,2906300,110.639999
"2020-12-24",111.080002,112.739998,110.889999,112.629997,1683100,112.629997
"2020-12-28",113.339996,113.440002,111.779999,112.669998,2534800,112.669998
"2020-12-29",113.480003,113.949997,111.690002,111.870003,4950000,111.870003
"2020-12-30",112.709999,113.599998,112.489998,112.879997,2421900,112.879997
"2020-12-31",112.559998,113.959999,112.32,113.860001,2052200,113.860001
"2021-01-04",113.75,114,109.57,111.919998,4326400,111.919998
"2021-01-05",113.309998,114.110001,112.040001,112.360001,4035800,112.360001
"2021-01-06",111.900002,115.989998,111.529999,114.18,3166500,114.18
"2021-01-07",114.980003,115.599998,114,114.43,4053400,114.43
"2021-01-08",114.480003,117.269997,114.480003,116.790001,3859900,116.790001
"2021-01-11",116.25,117.099998,114.300003,115.050003,2729200,115.050003
"2021-01-12",114.040001,115.440002,109.519997,111.199997,6062700,111.199997
"2021-01-13",112.019997,112.330002,109.18,110.239998,6099100,110.239998
"2021-01-14",110.830002,111.010002,107.870003,107.980003,6471900,107.980003
"2021-01-15",106.559998,109.010002,106.169998,108.199997,7128700,108.199997
"2021-01-19",109.379997,109.440002,107.260002,107.669998,3855400,107.669998
"2021-01-20",107.68,109.970001,107.599998,109.139999,5003300,109.139999
"2021-01-21",109.360001,109.919998,108.459999,108.949997,3715800,108.949997
"2021-01-22",107.760002,108.650002,106.849998,107.279999,3858000,107.279999
"2021-01-25",106.75,106.760002,103.779999,106.709999,7769100,106.709999
"2021-01-26",107.050003,107.989998,105.940002,106.209999,5365200,106.209999
"2021-01-27",104.059998,104.790001,100.360001,103.220001,9201200,103.220001
"2021-01-28",104.360001,106.290001,103.919998,105.25,6837500,105.25
"2021-01-29",104.82,104.949997,102.309998,102.690002,5523300,102.690002
"2021-02-01",103.860001,107.550003,103.089996,106.5,5445900,106.5
"2021-02-02",107.93,111.099998,107.239998,110.019997,4617500,110.019997
"2021-02-03",110.120003,111.110001,109.550003,110.199997,4551500,110.199997
"2021-02-04",111.720001,113.080002,110.199997,112.239998,3515300,112.239998
"2021-02-05",112.75,113.739998,111.980003,112.220001,2656100,112.220001
"2021-02-08",113.419998,114.370003,112.559998,113.400002,3876100,113.400002
"2021-02-09",112.650002,114.059998,111.220001,113.449997,3774700,113.449997
"2021-02-10",113.949997,114.349998,108.589996,109.419998,7297100,109.419998
"2021-02-11",110.690002,110.690002,107.660004,108.480003,6702300,108.480003
"2021-02-12",108.790001,110.709999,108.190002,109.989998,3605700,109.989998
"2021-02-16",110.989998,110.989998,108.599998,110.199997,3768700,110.199997
"2021-02-17",109.769997,111.879997,109.580002,111.07,3772100,111.07
"2021-02-18",111.599998,113.559998,111.260002,113.050003,6335000,113.050003
"2021-02-19",113.459999,113.849998,110.25,111.360001,5864600,111.360001
"2021-02-22",110.949997,114.5,109.870003,113.360001,4778900,113.360001
"2021-02-23",113.220001,116.199997,112.230003,115.599998,5073600,115.599998
"2021-02-24",114.5,120.5,114.43,119.07,6884300,119.07
"2021-02-25",118.089996,119.160004,116.169998,116.290001,6158800,116.290001
"2021-02-26",117.110001,117.68,114.279999,115.370003,4169700,115.370003
"2021-03-01",117,117.669998,116.110001,116.68,3492100,116.68
"2021-03-02",116.050003,116.870003,115.089996,115.68,3232400,115.68
"2021-03-03",115.199997,116.339996,114.550003,115.800003,3602100,115.800003
"2021-03-04",116.239998,118.089996,113.93,115.550003,5181400,115.550003
"2021-03-05",116.980003,120.449997,115.519997,119.690002,6138500,119.690002
"2021-03-08",120.199997,123.360001,119.75,121.5,5790900,121.5
"2021-03-09",122.400002,124.220001,122.199997,122.5,5017900,122.5
"2021-03-10",123.120003,124.349998,121.839996,123.860001,3938200,123.860001
"2021-03-11",122.669998,126.25,122.669998,124.110001,4352200,124.110001
"2021-03-12",123.970001,125.010002,123.120003,124.129997,3340600,124.129997
"2021-03-15",124.199997,124.889999,123.440002,124,2758100,124
"2021-03-16",124.32,124.940002,123.629997,124.120003,2523600,124.120003
"2021-03-17",124.309998,124.309998,122.900002,123.529999,2631100,123.529999
"2021-03-18",121.790001,123.709999,121.339996,122.410004,3224000,122.410004
"2021-03-19",122.699997,123,121.029999,121.870003,5051100,121.870003
"2021-03-22",121.970001,122.580002,121.18,121.709999,2876400,121.709999
