"","STT.Open","STT.High","STT.Low","STT.Close","STT.Volume","STT.Adjusted"
"2021-12-07",94.019997,95.589996,93.75,94.900002,3560300,92.902374
"2021-12-08",94.220001,94.5,91.730003,92.910004,3633100,90.954269
"2021-12-09",92.120003,94.639999,91.940002,93.980003,2751400,92.001747
"2021-12-10",94.739998,94.970001,92.870003,93.510002,2125600,91.541641
"2021-12-13",93.129997,93.400002,90.800003,91.260002,2030900,89.339005
"2021-12-14",91.110001,93,90.830002,92.099998,1840500,90.161316
"2021-12-15",92.040001,92.440002,89.839996,91.860001,2389000,89.926369
"2021-12-16",93.669998,94,92.089996,92.690002,2312000,90.738899
"2021-12-17",92.510002,92.970001,90.199997,91.830002,3364400,89.897003
"2021-12-20",89.949997,90.209999,88.139999,90.099998,1658900,88.203415
"2021-12-21",91.470001,93.330002,91.43,92.32,2119300,90.376686
"2021-12-22",92.099998,93.300003,91.730003,92.589996,1698500,90.640999
"2021-12-23",93.239998,94.160004,92.889999,93.029999,1267700,91.071747
"2021-12-27",93.279999,93.830002,92.690002,93.790001,1106300,91.81575
"2021-12-28",93.260002,94.519997,93.260002,93.699997,2430400,91.727638
"2021-12-29",93.980003,94.589996,93.610001,93.790001,1038200,91.81575
"2021-12-30",94.010002,94.720001,93.139999,93.239998,846900,91.277321
"2021-12-31",92.300003,93.449997,92.260002,93,967600,91.602364
"2022-01-03",93.900002,94.940002,93.57,94.449997,1614600,93.030563
"2022-01-04",95.769997,99.190002,95.769997,98.32,2367300,96.842407
