"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"2021-01-28",240.940002,247.539993,240.009995,242.199997,906100,233.411392
"2021-01-29",240.899994,241.820007,232.539993,234.419998,1148100,225.913696
"2021-02-01",236.779999,238.509995,230.929993,232.970001,1070700,224.516342
"2021-02-02",233.809998,237.440002,230.5,233.899994,1119700,225.412567
"2021-02-03",234,236.5,231.979996,235.539993,972700,226.993057
"2021-02-04",235.110001,238.990005,229.119995,232.080002,1346200,223.65863
"2021-02-05",233.410004,234.119995,228.210007,229.630005,1463100,221.297516
"2021-02-08",237.050003,238.759995,234,238.610001,1349200,229.95166
"2021-02-09",239.229996,246.110001,237.490005,244.979996,1425000,236.09053
"2021-02-10",247.039993,248.630005,242.660004,245.110001,986400,236.215805
"2021-02-11",245.119995,246.460007,238.449997,243.210007,971000,234.38475
"2021-02-12",243.529999,244.449997,239.889999,243.970001,758800,235.117172
"2021-02-16",244.470001,247.570007,243.259995,244.479996,822800,235.608658
"2021-02-17",244.229996,245.809998,238.850006,241.809998,854100,233.035553
"2021-02-18",239.5,241.690002,237.720001,241.669998,1068400,234.208176
"2021-02-19",243.240005,248.550003,242.339996,246.759995,1026900,239.141022
"2021-02-22",245.360001,250.169998,245.360001,249.270004,860500,241.573547
"2021-02-23",250.119995,252.880005,246.309998,250.899994,1095700,243.153198
"2021-02-24",252.309998,260.26001,251.619995,259.119995,1120700,251.119385
"2021-02-25",258.26001,259.540009,253.899994,255.529999,957200,247.640259
"2021-02-26",255.740005,256.640015,251.809998,253.199997,852300,245.382172
"2021-03-01",256.25,265.149994,256.25,262.980011,1142700,254.860229
"2021-03-02",262.019989,262.709991,255.679993,257.679993,892500,249.723862
"2021-03-03",257.600006,264.440002,257.320007,261.670013,1210000,253.590683
"2021-03-04",268.290009,268.290009,254.850006,258.609985,1198800,250.625153
"2021-03-05",261.179993,267.329987,258.049988,265.859985,1305800,257.651276
"2021-03-08",268.98999,273.299988,266.920013,268.809998,1139600,260.510223
"2021-03-09",269.869995,273.089996,266.51001,266.670013,875100,258.436279
"2021-03-10",268.269989,274.059998,266.679993,273.130005,1017600,264.696869
"2021-03-11",272.809998,273.809998,269.429993,269.799988,888800,261.469635
"2021-03-12",270.390015,274.480011,269.980011,273.920013,796700,265.462433
"2021-03-15",273.369995,276,271.940002,275.98999,937500,267.468536
"2021-03-16",276.059998,277.089996,265.269989,266.920013,1292800,258.678589
"2021-03-17",268.320007,270.670013,265.950012,269.640015,768000,261.314636
"2021-03-18",269.700012,274.76001,267.25,268.26001,984000,259.977173
"2021-03-19",267.200012,268.940002,262.540009,265.899994,2544400,257.690033
"2021-03-22",266.420013,266.779999,261.029999,263.480011,1226800,255.344772
"2021-03-23",259.26001,262.470001,254.639999,255.5,1347200,247.611191
"2021-03-24",257.190002,261,257.190002,257.700012,917500,249.743256
"2021-03-25",257.929993,262.130005,253.539993,261.179993,857600,253.115784
"2021-03-26",262.98999,263.410004,259.48999,262.420013,775300,254.31752
"2021-03-29",260,265,260,260.839996,943200,252.786285
"2021-03-30",260.869995,265.899994,260.869995,263.519989,869600,255.383545
"2021-03-31",264.640015,265.959991,259.079987,259.109985,1130300,251.10968
"2021-04-01",259.399994,260.070007,256.200012,257.720001,1248000,249.762634
"2021-04-05",260.290009,262.130005,258.799988,261.519989,939300,253.445267
"2021-04-06",261.820007,265.959991,259.690002,260.160004,901100,252.127289
"2021-04-07",260.220001,261.709991,256.350006,258.170013,772400,250.198761
"2021-04-08",257.529999,258.440002,255.220001,256.940002,1144400,249.006729
"2021-04-09",258.779999,259.929993,256.339996,259.380005,995200,251.371399
"2021-04-12",260.220001,261.51001,258.109985,261.230011,849600,253.164261
"2021-04-13",261.230011,261.230011,256.950012,260.420013,1245900,252.379288
"2021-04-14",262,264.299988,260.290009,261.420013,1045000,253.348419
"2021-04-15",262.339996,264.410004,260.380005,261.959991,934100,253.871704
"2021-04-16",264.609985,266.049988,261.570007,264.350006,1906600,256.187927
"2021-04-19",263.76001,264.429993,260.450012,262.809998,989700,254.695465
