"","HES.Open","HES.High","HES.Low","HES.Close","HES.Volume","HES.Adjusted"
"2020-12-02",47.490002,50.040001,47.099998,49.110001,1927700,47.926388
"2020-12-03",49.599998,52,48.950001,51,1927900,49.77084
"2020-12-04",52.189999,54.389999,52.040001,54.389999,2252300,53.079136
"2020-12-07",53.650002,53.650002,52,52.529999,1979500,51.263958
"2020-12-08",51.630001,53.470001,51.549999,52.75,1648000,51.478657
"2020-12-09",53.509998,54.889999,52.619999,54.09,2123100,52.786362
"2020-12-10",54.169998,58.25,54.169998,57.299999,3807200,55.919003
"2020-12-11",56.75,57.419998,56.009998,56.630001,1947100,55.265148
"2020-12-14",57.439999,58,53.66,53.900002,1839500,52.834187
"2020-12-15",54.73,56.48,54.099998,56.400002,2269600,55.284752
"2020-12-16",56.720001,57.619999,55.279999,56.619999,2928000,55.500397
"2020-12-17",57.299999,57.860001,56.139999,56.669998,2020900,55.549404
"2020-12-18",56.919998,57.540001,55.290001,55.950001,4784800,54.843651
"2020-12-21",53.529999,55,52.830002,54.290001,1892600,53.21648
"2020-12-22",54.189999,54.380001,52.029999,52.09,1942500,51.059975
"2020-12-23",52.689999,54.93,52.689999,54.200001,1214500,53.128254
"2020-12-24",54.189999,54.25,53.279999,53.540001,783100,52.481308
"2020-12-28",53.98,54.869999,52.639999,52.830002,894600,51.785343
"2020-12-29",53.200001,53.560001,52.18,52.57,901400,51.530483
"2020-12-30",52.470001,53.91,52.470001,53.77,1543100,52.706753
"2020-12-31",53.48,53.490002,52.360001,52.790001,1382300,51.746136
"2021-01-04",53.849998,54.599998,52.650002,52.799999,2139400,51.755939
"2021-01-05",53.540001,57.779999,53.540001,56.540001,2360400,55.421986
"2021-01-06",57.459999,59.98,56.689999,59.73,2759500,58.548904
"2021-01-07",60,61.689999,59.650002,61.16,1762500,59.950626
"2021-01-08",61.619999,61.93,59.93,60.25,1710800,59.05862
"2021-01-11",58.599998,60.959999,58.259998,60.939999,1195300,59.734974
"2021-01-12",61.639999,63.900002,61.169998,63.84,1955700,62.577633
"2021-01-13",63.610001,63.799999,61.529999,62.099998,1192800,60.87204
"2021-01-14",62.57,64.830002,62.57,63.779999,1724000,62.518818
"2021-01-15",62.509998,62.560001,60.25,61.040001,1973000,59.833
"2021-01-19",61.84,62.860001,61.049999,62.139999,2057700,60.911243
"2021-01-20",62.93,62.93,61.509998,62.259998,1088100,61.028873
"2021-01-21",62,62.25,59,60.709999,2323000,59.509521
"2021-01-22",58.84,60.360001,58.07,59.93,2053100,58.744949
"2021-01-25",58.849998,59.220001,57.209999,58.049999,2905300,56.902126
"2021-01-26",58.52,60.110001,57.09,57.189999,1908300,56.059128
"2021-01-27",56.700001,59.040001,54.75,55.970001,2622500,54.863255
"2021-01-28",56.57,57.16,54.41,55.900002,2128600,54.79464
"2021-01-29",55.419998,56.139999,53.68,53.98,1736800,52.912598
"2021-02-01",55.02,55.380001,53.43,54.5,1390900,53.422321
"2021-02-02",56.34,56.689999,54.400002,54.48,1556000,53.402714
"2021-02-03",54.84,58.43,54.560001,58.360001,2427400,57.205997
"2021-02-04",58.689999,58.849998,56.330002,57.869999,2387500,56.725681
"2021-02-05",59.200001,59.279999,56.880001,56.939999,2069500,55.814072
"2021-02-08",57.799999,60.549999,57.77,60.380001,1932600,59.18605
"2021-02-09",59.73,59.990002,58.369999,58.450001,2163900,57.294212
"2021-02-10",58.869999,60.5,58.689999,59.700001,2443900,58.519497
"2021-02-11",59.779999,60.200001,57.360001,57.919998,2225200,56.774689
"2021-02-12",57.5,60.130001,57.5,60,2233600,58.81356
"2021-02-16",61.27,62.610001,60.509998,61.75,2202100,60.528957
"2021-02-17",61.639999,63.049999,60.91,61.82,1804900,60.597572
"2021-02-18",61.599998,62.32,60.389999,60.720001,1778000,59.519329
