"","MLM.Open","MLM.High","MLM.Low","MLM.Close","MLM.Volume","MLM.Adjusted"
"2021-07-27",349.279999,354,345.51001,353.290009,225000,351.041748
"2021-07-28",354.959991,370.5,349.26001,367.459991,803600,365.121582
"2021-07-29",372.5,378.98999,360.420013,367.380005,497400,365.042084
"2021-07-30",365.23999,368.76001,358.709991,363.299988,405300,360.988037
"2021-08-02",363.709991,372.619995,361.75,362.829987,414200,360.520966
"2021-08-03",363,364.480011,357.359985,362.529999,288800,360.222961
"2021-08-04",359.290009,369.570007,357.380005,366.200012,321500,363.869629
"2021-08-05",368.880005,369.540009,359.470001,362.579987,231900,360.272583
"2021-08-06",367,368.450012,364.609985,366.630005,210300,364.296814
"2021-08-09",367.450012,373.470001,365.609985,369.299988,214500,366.949829
"2021-08-10",369.899994,382.380005,369.899994,378.170013,480600,375.763428
"2021-08-11",380.459991,391.76001,378.980011,390.420013,508900,387.935425
"2021-08-12",390.019989,391.5,385.769989,388.940002,213600,386.464874
"2021-08-13",391,391,384.220001,385.440002,210200,382.987152
"2021-08-16",383,385.589996,379.01001,380.829987,305100,378.406464
"2021-08-17",379.220001,382.350006,374.519989,377.380005,225800,374.978424
"2021-08-18",375.75,381.190002,374.170013,375.26001,271300,372.871887
"2021-08-19",370,375.209991,367.850006,372.929993,174000,370.556732
"2021-08-20",373.029999,375.640015,370.730011,375,197400,372.613586
"2021-08-23",377.070007,380.369995,373.790009,378.459991,240400,376.051544
"2021-08-24",378.76001,380.700012,375.98999,379.279999,189300,376.866333
"2021-08-25",380.170013,391.48999,379.640015,386.089996,247900,383.633026
"2021-08-26",385.850006,387.01001,382.73999,384.579987,169400,382.132629
"2021-08-27",387.399994,388.670013,383.429993,384.350006,206100,381.904114
"2021-08-30",386.089996,387.579987,382.700012,382.73999,157700,380.304321
"2021-08-31",383,385.339996,379.950012,381.25,229300,379.428528
"2021-09-01",382.799988,383.089996,377.540009,381.190002,143400,379.368805
"2021-09-02",383.390015,385.329987,375.559998,379.429993,272900,377.617218
"2021-09-03",378.859985,379.040009,372.170013,374.480011,248700,372.690887
