"","MKTX.Open","MKTX.High","MKTX.Low","MKTX.Close","MKTX.Volume","MKTX.Adjusted"
"2021-08-06",492.420013,492.420013,481.279999,485.700012,117500,482.703094
"2021-08-09",487.049988,490.01001,482.640015,484.640015,117200,481.649628
"2021-08-10",485,485.040009,465.109985,467.549988,165800,464.66507
"2021-08-11",471.059998,473.079987,459.579987,462.5,141400,459.64624
"2021-08-12",460.540009,465.130005,453.350006,463.309998,129900,460.451233
"2021-08-13",465.480011,467.299988,461.950012,463.420013,128900,460.560577
"2021-08-16",464.829987,470.929993,460.579987,470.049988,113200,467.149628
"2021-08-17",468.529999,476.98999,465.01001,474.529999,105900,471.60202
"2021-08-18",475.269989,475.399994,461.519989,461.839996,133200,458.990295
"2021-08-19",459.970001,475.369995,459.299988,472.269989,128900,469.355957
"2021-08-20",473.200012,481.019989,469.26001,475.5,114800,472.56604
"2021-08-23",478.279999,486.040009,475.720001,476.779999,90600,473.838104
"2021-08-24",477.709991,481.339996,473.220001,480.75,103100,477.78363
"2021-08-25",480.040009,482.279999,466.5,472.329987,155700,469.415558
"2021-08-26",470.230011,479.470001,469.929993,476.529999,116200,473.58963
"2021-08-27",477.98999,487.790009,476.769989,484.769989,233300,481.778809
"2021-08-30",485.709991,487.079987,476.140015,477.519989,165800,474.573547
"2021-08-31",478.420013,482.929993,474.950012,475.920013,219300,472.983459
"2021-09-01",474.73999,481.570007,471.269989,479.540009,155300,476.581116
"2021-09-02",482.820007,482.820007,474.649994,479.470001,108600,476.511536
"2021-09-03",479.029999,485.429993,474.619995,475.220001,134300,472.28775
"2021-09-07",473.399994,473.399994,449.519989,451.299988,474200,448.51532
"2021-09-08",450.079987,456.130005,444,451.850006,248900,449.061951
"2021-09-09",450.5,454.440002,442.820007,443.630005,169100,440.89267
"2021-09-10",441.390015,443.950012,435.649994,438.48999,169000,435.784363
"2021-09-13",440.25,446.559998,429.149994,432.079987,172300,429.41394
"2021-09-14",435.359985,438.049988,420.790009,426.23999,275400,423.609955
"2021-09-15",425.559998,435.019989,421.440002,425.790009,203100,423.162781
"2021-09-16",424.950012,429.390015,422.920013,427.619995,132600,424.981445
"2021-09-17",427.23999,429.890015,423.209991,426,316300,423.37146
"2021-09-20",425.5,430.200012,421.029999,425.480011,198200,422.854675
"2021-09-21",429.170013,430.130005,421.670013,421.809998,180200,419.207306
"2021-09-22",423.130005,426.25,420.01001,425.649994,213300,423.02359
"2021-09-23",425,427.359985,422.059998,425.100006,217000,422.47699
"2021-09-24",424.170013,424.399994,417.700012,424,289100,421.38382
"2021-09-27",419.209991,424.890015,415.410004,417.220001,320100,414.645599
"2021-09-28",414.049988,419.100006,408.799988,418.859985,345400,416.275513
"2021-09-29",419.48999,427.309998,419.48999,423.660004,232300,421.045898
"2021-09-30",425.869995,429.23999,418.410004,420.690002,297600,418.094208
"2021-10-01",421.329987,421.619995,408.01001,417.820007,213700,415.241943
"2021-10-04",417,420.910004,409.299988,417.820007,244400,415.241943
"2021-10-05",419.76001,434.140015,419.079987,431.529999,327800,428.86734
"2021-10-06",415.5,418.329987,403.700012,412.429993,553600,409.885162
"2021-10-07",414.679993,425.559998,414.679993,419.839996,232300,417.249451
"2021-10-08",418.190002,418.600006,410.140015,410.149994,113400,407.619263
"2021-10-11",408.73999,415.73999,402.700012,402.959991,119200,400.473572
"2021-10-12",403.820007,407.040009,397.51001,397.799988,208300,395.345428
"2021-10-13",398.029999,403.850006,396.170013,400.079987,304600,397.611389
"2021-10-14",399.339996,404.420013,398.690002,403.170013,224400,400.682343
"2021-10-15",405.920013,410.720001,404.51001,405.769989,155800,403.266266
"2021-10-18",402.179993,405.98999,400.769989,405,202600,402.501038
"2021-10-19",407.890015,411.190002,405.459991,411.190002,279100,408.652863
"2021-10-20",421.329987,424.040009,399.709991,405.690002,272500,403.186768
"2021-10-21",403.320007,417.640015,403.070007,410.730011,353900,408.195679
"2021-10-22",409.709991,416.679993,408.540009,415.429993,156900,412.866638
"2021-10-25",417.480011,417.480011,406.880005,407.25,109300,404.737152
"2021-10-26",410.200012,412,404.079987,404.540009,155600,402.043884
"2021-10-27",403.359985,406.559998,398.959991,403.470001,270800,400.980469
"2021-10-28",404.359985,410.920013,401.359985,405.059998,129900,402.560669
"2021-10-29",406.709991,409.290009,403.709991,408.670013,259400,406.148376
"2021-11-01",408.790009,410.700012,404.350006,408.609985,161600,406.088745
"2021-11-02",409.01001,412.220001,405.01001,407.109985,159100,405.252563
"2021-11-03",409.429993,409.429993,401.809998,404.540009,197200,402.694336
"2021-11-04",407,408.070007,387.059998,388.529999,407700,386.757355
"2021-11-05",391.630005,391.880005,385.040009,388.309998,291900,386.538361
"2021-11-08",390.950012,391.700012,384.559998,390.059998,203200,388.280365
"2021-11-09",389.470001,393.640015,385.600006,387.190002,210000,385.423462
"2021-11-10",387.190002,392.220001,382.880005,388.73999,168400,386.9664
"2021-11-11",387.940002,387.940002,381.609985,382.720001,161100,380.973846
"2021-11-12",383.670013,393.130005,383.670013,388.820007,231400,387.046051
"2021-11-15",389.26001,391.980011,386.970001,389.269989,216700,387.493958
"2021-11-16",392.410004,393.679993,388.380005,392.579987,281600,390.788849
"2021-11-17",393.380005,393.380005,382.359985,382.829987,221200,381.083344
"2021-11-18",382.209991,382.529999,365,366.829987,374200,365.156342
"2021-11-19",367.429993,368.559998,359.579987,359.790009,277200,358.148499
"2021-11-22",359.179993,368.920013,355.01001,367.25,298000,365.574432
"2021-11-23",367.429993,367.429993,357.279999,362.75,206600,361.094971
"2021-11-24",362.709991,365.329987,359.200012,361.420013,170500,359.771057
"2021-11-26",359.209991,365.230011,358.630005,360.519989,203800,358.875153
"2021-11-29",361.829987,363.170013,352.619995,352.959991,230900,351.34964
"2021-11-30",350.950012,358.790009,341.5,352.690002,718300,351.080872
"2021-12-01",355.059998,357.059998,343.640015,343.730011,261400,342.161774
"2021-12-02",345.290009,353.549988,345.290009,351.070007,351400,349.468292
"2021-12-03",349.320007,353.390015,346.01001,349.079987,331700,347.487305
"2021-12-06",348.859985,364.790009,343.73999,362,347200,360.348389
"2021-12-07",364.279999,384.829987,364.279999,380.679993,429300,378.943176
"2021-12-08",381.190002,387.220001,375.679993,384.869995,365100,383.114044
"2021-12-09",384.720001,387.929993,378.019989,379.779999,218000,378.047272
"2021-12-10",381.549988,387.140015,377.769989,385.839996,244800,384.07962
"2021-12-13",385.600006,403.98999,384.519989,401.869995,445600,400.036499
"2021-12-14",401.440002,402.5,390.769989,395.420013,285200,393.615936
"2021-12-15",399.570007,415.339996,395.48999,414.209991,384800,412.32016
"2021-12-16",414.570007,422.600006,402.549988,408.380005,409200,406.516785
"2021-12-17",407.5,418.98999,403.079987,410.420013,651000,408.547485
"2021-12-20",404.790009,410.179993,399.559998,403.459991,191700,401.619202
"2021-12-21",408.980011,413.75,405.380005,411.559998,210100,409.682281
"2021-12-22",412.040009,412.040009,403.98999,409.019989,154100,407.15387
"2021-12-23",412.170013,420.190002,409.630005,410.670013,163900,408.796356
"2021-12-27",411.290009,416.809998,407.910004,413.609985,139200,411.7229
"2021-12-28",415.25,419.329987,413.459991,414.179993,95200,412.290314
"2021-12-29",414.910004,417.079987,409.109985,411.339996,107000,409.463287
"2021-12-30",412.709991,415.570007,411.850006,412.660004,76900,410.777252
"2021-12-31",412.51001,414.980011,409.660004,411.269989,100900,409.393585
"2022-01-03",411.089996,412.790009,395.140015,396.829987,178600,395.01947
"2022-01-04",396.029999,400.339996,385.200012,394.369995,292700,392.570709
"2022-01-05",391.880005,395.670013,378.649994,379.029999,204500,377.30069
"2022-01-06",373.079987,377,367.649994,373.350006,231400,371.646606
"2022-01-07",372.209991,380.049988,371.570007,378.73999,199500,377.011993
"2022-01-10",375.890015,381.089996,368.209991,380.809998,214100,379.072571
