"","AFL.Open","AFL.High","AFL.Low","AFL.Close","AFL.Volume","AFL.Adjusted"
"2021-03-18",52.080002,52.779999,51.59,51.77,4201500,50.201763
"2021-03-19",51.349998,51.439999,50.700001,51.16,11172400,49.610241
"2021-03-22",50.799999,50.990002,50.41,50.549999,3829100,49.018719
"2021-03-23",50.209999,50.459999,49.34,49.5,3661600,48.000526
"2021-03-24",49.82,50.68,49.73,49.900002,3512100,48.388409
"2021-03-25",50.040001,51.200001,49.610001,51.139999,2682000,49.590847
"2021-03-26",51.349998,51.610001,50.93,51.560001,2726900,49.998123
"2021-03-29",50.84,51.709999,50.799999,51.34,2386800,49.784786
"2021-03-30",51.580002,52.09,51.299999,51.830002,2687200,50.259949
"2021-03-31",51.529999,51.810001,51,51.18,3652100,49.629635
"2021-04-01",50.959999,51.48,50.880001,51.419998,2180800,49.862358
"2021-04-05",51.790001,52.02,51.259998,51.450001,2619800,49.891457
"2021-04-06",51.490002,51.880001,51.310001,51.610001,1975500,50.046604
"2021-04-07",51.639999,51.939999,51.419998,51.720001,1893100,50.153282
"2021-04-08",51.330002,51.619999,51.150002,51.490002,2787900,49.930244
"2021-04-09",51.900002,52.049999,51.349998,51.639999,3644800,50.075699
"2021-04-12",52.009998,52.57,51.75,52.439999,2731200,50.851463
"2021-04-13",52.07,52.529999,51.919998,52.290001,3074600,50.706013
"2021-04-14",52.220001,52.900002,52.139999,52.869999,2255700,51.26844
"2021-04-15",52.889999,52.93,52.5,52.830002,2164500,51.229656
"2021-04-16",53.279999,53.59,53.139999,53.450001,2763400,51.830872
"2021-04-19",53.490002,53.709999,53.290001,53.560001,3330100,51.937538
"2021-04-20",53.349998,53.389999,52.23,52.59,2512600,50.996925
"2021-04-21",52.73,53.560001,52.599998,53.5,3037700,51.87936
"2021-04-22",53.139999,53.360001,52.84,52.939999,3874600,51.336319
"2021-04-23",53.040001,53.57,52.799999,53.369999,2803400,51.753288
"2021-04-26",53.5,54.060001,53.27,53.369999,3473500,51.753288
"2021-04-27",53.400002,53.57,53.18,53.529999,2466700,51.908447
"2021-04-28",53.860001,54,53.5,53.52,2247400,51.898754
"2021-04-29",54.110001,54.869999,53.5,54.220001,3253400,52.577549
"2021-04-30",54.200001,54.23,53.419998,53.73,4143000,52.10239
"2021-05-03",54.290001,54.919998,53.84,54.52,3071000,52.868458
"2021-05-04",54.439999,54.970001,54.02,54.889999,2948400,53.227249
"2021-05-05",54.939999,55.43,54.360001,55.380001,3682200,53.702412
"2021-05-06",55.73,56.200001,55.189999,56.18,3791500,54.478172
"2021-05-07",55.439999,56.169998,55.299999,56.110001,2597200,54.410297
"2021-05-10",56.369999,57.349998,56.029999,56.529999,3480900,54.81757
"2021-05-11",56.23,56.34,55.080002,55.220001,3021000,53.547256
"2021-05-12",55.529999,55.669998,54.400002,54.450001,3251700,52.800579
"2021-05-13",54.189999,55.790001,54.110001,55.5,2979600,53.818768
"2021-05-14",55.77,56.57,55.470001,56.459999,2273900,54.749691
"2021-05-17",56.259998,56.57,55.939999,56.419998,2444000,54.710899
"2021-05-18",55.919998,56.599998,55.84,55.91,2799000,54.535332
"2021-05-19",55.459999,56.049999,54.93,55.759998,3415600,54.389015
"2021-05-20",55.75,55.93,55.220001,55.650002,2690900,54.281723
"2021-05-21",55.849998,56.439999,55.470001,55.990002,3058400,54.613365
"2021-05-24",56.209999,56.529999,55.900002,56.369999,2884100,54.984016
"2021-05-25",56.419998,56.68,55.66,55.759998,3361900,54.389015
"2021-05-26",56,56.32,55.599998,56.25,3077300,54.86697
"2021-05-27",56.759998,57.07,56.150002,56.82,6550200,55.422955
"2021-05-28",57.009998,57.139999,56.110001,56.68,3447300,55.2864
"2021-06-01",57.150002,57.529999,56.68,57.209999,2645200,55.803368
"2021-06-02",57.41,57.540001,56.860001,57.150002,2722500,55.744843
"2021-06-03",56.919998,57.439999,56.709999,57.25,2180100,55.842381
"2021-06-04",57.279999,57.52,56.939999,57.48,1734900,56.066727
"2021-06-07",57.450001,57.57,57.040001,57.389999,3181200,55.978939
"2021-06-08",57.080002,57.380001,56.450001,57.290001,3900700,55.881401
"2021-06-09",57.029999,57.189999,56.580002,56.59,1940900,55.198608
"2021-06-10",57.16,57.279999,56.139999,56.200001,1779800,54.818199
"2021-06-11",56.330002,56.470001,56.07,56.25,1881500,54.86697
"2021-06-14",56.040001,56.25,55.119999,55.43,2770400,54.067131
"2021-06-15",55.439999,55.77,55.16,55.400002,3019600,54.037872
"2021-06-16",55.25,55.43,54.639999,55.099998,2995800,53.745243
"2021-06-17",55.209999,55.330002,53.119999,53.459999,4110400,52.145565
"2021-06-18",52.639999,52.91,52.02,52.080002,6477200,50.7995
"2021-06-21",52.439999,53.09,52.23,53.07,2700600,51.765152
"2021-06-22",52.950001,53.07,52.290001,52.830002,3310100,51.531059
"2021-06-23",52.950001,53.009998,52.68,52.689999,2711500,51.394501
"2021-06-24",52.869999,53.389999,52.630001,53.16,4183600,51.852943
"2021-06-25",53.439999,54.43,53.240002,54.220001,10797300,52.886887
"2021-06-28",54.07,54.099998,53.259998,53.369999,3536400,52.057777
"2021-06-29",53.580002,53.889999,53.330002,53.549999,2765400,52.233356
"2021-06-30",53.349998,53.709999,53.130001,53.66,3213500,52.340652
"2021-07-01",54.029999,54.299999,53.610001,54,3563500,52.672291
"2021-07-02",53.959999,54.209999,53.700001,54.150002,2835900,52.818604
"2021-07-06",54,54.009998,53.029999,53.27,3857300,51.960236
"2021-07-07",52.91,53.799999,52.84,53.759998,3095200,52.43819
"2021-07-08",52.779999,53.040001,52.049999,52.330002,3404300,51.043354
"2021-07-09",53.16,53.57,52.919998,53.349998,4840100,52.038273
"2021-07-12",53.299999,53.939999,52.75,53.669998,5018600,52.350407
"2021-07-13",53.619999,53.950001,52.82,53.09,3557700,51.784664
"2021-07-14",53.049999,53.669998,52.75,53.279999,2663100,51.96999
