"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"2021-01-06",79.32,81.139999,79.220001,80.150002,2981200,78.600281
"2021-01-07",80.739998,81.839996,80.510002,80.949997,2853500,79.384804
"2021-01-08",81.120003,82.059998,80.959999,81.949997,2704700,80.365479
"2021-01-11",81.25,82.099998,79.919998,80.139999,2156600,78.590477
"2021-01-12",80.190002,80.5,78.610001,79.639999,2238300,78.100136
"2021-01-13",80.699997,80.699997,79.32,79.610001,2030300,78.070724
"2021-01-14",79.339996,80.220001,79.07,80.050003,2360500,78.502213
"2021-01-15",79.629997,80.589996,79.190002,80.239998,2174400,78.688538
"2021-01-19",80.389999,80.989998,79.190002,79.760002,2667900,78.217827
"2021-01-20",80.900002,82.110001,80.160004,81.910004,2479400,80.326256
"2021-01-21",82,82.07,80.690002,80.879997,2209200,79.316162
"2021-01-22",80.07,80.940002,79.5,80.559998,1449600,79.00235
"2021-01-25",80,80.43,78.25,80.029999,1757200,78.482597
"2021-01-26",80.580002,80.580002,79.459999,79.550003,2053700,78.011887
"2021-01-27",78.349998,78.730003,75.900002,76.150002,3936600,74.67762
"2021-01-28",76.959999,79.370003,76.660004,78.900002,2992800,77.374451
"2021-01-29",78.980003,79.610001,77.599998,77.949997,3273000,76.442818
"2021-02-01",78.559998,79.589996,78.029999,78.839996,3442300,77.315598
"2021-02-02",78.860001,80.830002,78.860001,80.050003,2738800,78.502213
"2021-02-03",79.790001,80.129997,78.75,79.339996,3483800,77.805939
"2021-02-04",74.339996,75.629997,72.760002,74.690002,8771100,73.245857
"2021-02-05",74.550003,75.550003,74.089996,74.5,4711800,73.059525
"2021-02-08",74.629997,75.889999,74.120003,75.849998,2498600,74.383415
"2021-02-09",75.82,76.949997,75.220001,76.160004,2663000,74.687439
"2021-02-10",76.239998,76.43,75.279999,76.040001,2069800,74.56974
"2021-02-11",76.309998,77.519997,75.75,76.970001,3609200,75.481766
"2021-02-12",76.760002,77.150002,76.220001,76.959999,1880900,75.471962
