"","HUM.Open","HUM.High","HUM.Low","HUM.Close","HUM.Volume","HUM.Adjusted"
"2021-01-25",404.160004,411.290009,401.390015,404,894600,399.983093
"2021-01-26",405.329987,407.070007,395.690002,395.850006,1039200,391.914124
"2021-01-27",389.079987,391.5,374.5,377.929993,2347300,374.172272
"2021-01-28",381.75,395.779999,380,389.790009,906100,385.914368
"2021-01-29",388.290009,390.190002,375.160004,383.109985,1205600,379.300781
"2021-02-01",386.089996,389.290009,378.670013,379.899994,947100,376.122711
"2021-02-02",383.309998,391.299988,376.98999,376.98999,1367000,373.241638
"2021-02-03",373.609985,388.549988,373.570007,379.929993,1301800,376.152405
"2021-02-04",376.709991,385.390015,373.929993,385.089996,1204800,381.261139
"2021-02-05",386.26001,388.220001,374.299988,379.299988,1672200,375.528656
"2021-02-08",381.890015,382,374.640015,378.339996,1399800,374.578217
"2021-02-09",378.779999,384.869995,377,382.589996,1622300,378.78595
"2021-02-10",384.890015,385.559998,376.76001,378,1602300,374.241608
"2021-02-11",379.480011,383.920013,375.01001,381.190002,1594500,377.399902
"2021-02-12",380.140015,381.429993,377.279999,380.640015,1015100,376.855377
"2021-02-16",381.51001,382.25,370.220001,375.149994,2446600,371.419952
"2021-02-17",374.230011,383.23999,372.920013,377.519989,1007600,373.766388
"2021-02-18",378.959991,380.23999,375.380005,378.329987,910400,374.568329
"2021-02-19",377.720001,380,374.829987,376.910004,1006100,373.162445
"2021-02-22",373.5,381.76001,371.459991,379.890015,1028400,376.112854
"2021-02-23",381.220001,382.420013,374.450012,378.290009,982400,374.528748
"2021-02-24",376.910004,385.329987,376.23999,381.399994,1018200,377.607758
"2021-02-25",380,385.570007,377.839996,380.589996,815500,376.805878
"2021-02-26",383.609985,390.029999,379,379.649994,1285000,375.875214
"2021-03-01",381.470001,388,381.470001,384.920013,942800,381.092804
"2021-03-02",386.299988,388.720001,381.98999,386.299988,845400,382.459076
"2021-03-03",384.339996,387.140015,382.200012,382.609985,548900,378.805756
"2021-03-04",382.160004,396.089996,381.01001,388.559998,1453700,384.696594
"2021-03-05",388.839996,400.790009,388.640015,399.390015,1495100,395.418945
"2021-03-08",400,407.390015,397.529999,401.070007,1101800,397.082214
"2021-03-09",402.380005,409.429993,401.529999,402.850006,1029300,398.844513
"2021-03-10",406.299988,408.769989,402.549988,403.01001,841000,399.00296
"2021-03-11",403.299988,407.709991,401.049988,401.410004,928100,397.418854
"2021-03-12",401.920013,406.76001,401.920013,406.529999,723200,402.487946
"2021-03-15",408.839996,409.399994,402.369995,406.059998,637900,402.022583
"2021-03-16",406,407.600006,400.399994,403.119995,871700,399.111847
"2021-03-17",403.98999,408.600006,402.209991,403.130005,921500,399.121735
"2021-03-18",402.070007,411.540009,402.070007,407.75,1019700,403.695801
"2021-03-19",406.649994,413.75,403.26001,409.820007,1923200,405.745239
"2021-03-22",404,405.350006,397.059998,404.369995,1163400,400.349396
"2021-03-23",406.619995,407.820007,402.720001,404.01001,843200,399.993011
"2021-03-24",403.690002,417.859985,403.690002,414.660004,1104400,410.537079
"2021-03-25",413.73999,417.820007,408.459991,416.450012,763200,412.309296
"2021-03-26",419.480011,423.970001,416.48999,423.600006,762400,419.388245
"2021-03-29",423.5,429.850006,422.619995,425.269989,749400,421.041595
"2021-03-30",424.51001,428.480011,423,425.709991,810900,422.172119
"2021-03-31",424.769989,426.320007,418.880005,419.25,829400,415.765839
"2021-04-01",418.679993,419.579987,410.640015,412.820007,776400,409.389282
"2021-04-05",415.769989,417.98999,412.079987,413.149994,760800,409.716492
"2021-04-06",412.950012,412.950012,405.329987,407.329987,1265700,403.944885
"2021-04-07",408.339996,411.730011,406.720001,411.730011,554800,408.308319
"2021-04-08",409.070007,411.290009,406.279999,407.149994,913400,403.766388
"2021-04-09",407.799988,417.73999,407.799988,417.73999,757200,414.268372
"2021-04-12",418.5,421.910004,412.649994,413.209991,790000,409.776001
"2021-04-13",411.549988,420,411.549988,417.109985,687600,413.643616
"2021-04-14",417.839996,424.73999,417.299988,422.75,640200,419.236725
"2021-04-15",423.970001,437.230011,423.970001,433.940002,1151400,430.333801
"2021-04-16",435.730011,436.98999,431.940002,435.279999,1941000,431.662598
"2021-04-19",435.790009,441.529999,434.209991,439.920013,781800,436.264069
"2021-04-20",438.910004,445.190002,437.869995,443,679700,439.31842
"2021-04-21",445.140015,449.200012,443.570007,444.450012,885900,440.756409
"2021-04-22",441.75,445.600006,435.980011,444.660004,740800,440.964661
"2021-04-23",444.01001,450,442.149994,448.640015,462100,444.911621
"2021-04-26",449.529999,451.609985,446,446.140015,549400,442.432343
"2021-04-27",443.119995,450.25,441.25,448.799988,760400,445.070251
"2021-04-28",443.420013,448,435.470001,438.619995,1104600,434.974884
"2021-04-29",440.869995,449.75,439.359985,447.640015,703300,443.919952
"2021-04-30",448.200012,449.5,442.730011,445.23999,830200,441.539825
"2021-05-03",447.559998,453.470001,446.320007,450.600006,539800,446.855255
"2021-05-04",450.869995,463.839996,448.519989,463,1016200,459.152252
"2021-05-05",461.309998,461.309998,453.540009,460.089996,781300,456.266418
"2021-05-06",461.209991,465.769989,458.859985,465.619995,729500,461.750458
"2021-05-07",465,468.470001,461.339996,465.079987,635400,461.214935
"2021-05-10",465.880005,475.440002,465.880005,469.970001,636300,466.064301
"2021-05-11",469.369995,471.220001,454.5,455.76001,827800,451.972443
"2021-05-12",454.429993,458.540009,453.299988,453.75,748500,449.979095
"2021-05-13",453.609985,459.269989,451.470001,455.950012,472200,452.160828
"2021-05-14",457.619995,457.880005,451.170013,452.75,571900,448.987457
"2021-05-17",454.309998,455,449.549988,450.459991,529400,446.716461
"2021-05-18",449.779999,451.5,444.410004,449.459991,1214700,445.724762
"2021-05-19",447.609985,449.130005,440.040009,444.600006,580600,440.905182
"2021-05-20",444.329987,446.839996,438.019989,439.75,1108900,436.095428
"2021-05-21",442.299988,452.820007,441.899994,446,935300,442.293518
"2021-05-24",446.140015,447.299988,441.320007,442.790009,773000,439.110229
"2021-05-25",443.880005,445.040009,437.26001,441.880005,803600,438.207764
"2021-05-26",437.459991,442.76001,437.459991,438.839996,1004500,435.193054
"2021-05-27",440.890015,441,436.73999,439.359985,1639000,435.708679
"2021-05-28",440.5,442.230011,436.950012,437.700012,486600,434.0625
"2021-06-01",437.850006,439.390015,430.429993,431.25,723200,427.666077
"2021-06-02",433.170013,433.390015,427.480011,428.899994,857100,425.335632
"2021-06-03",428.109985,433.269989,428.109985,430.649994,784100,427.071075
"2021-06-04",431.230011,431.790009,424.660004,426.329987,572000,422.786987
"2021-06-07",428.320007,428.320007,414.850006,416,1368700,412.542847
"2021-06-08",415.600006,425.690002,411.359985,422.329987,1206500,418.820221
"2021-06-09",423.869995,427.48999,422.320007,422.75,580900,419.236725
"2021-06-10",422.899994,424.700012,418.040009,420.959991,539700,417.461609
"2021-06-11",422.100006,422.100006,416.320007,419.179993,719400,415.696411
"2021-06-14",420.100006,420.100006,412.929993,415.119995,930700,411.670135
"2021-06-15",415.890015,426.160004,414.609985,424.660004,1072100,421.130859
"2021-06-16",426.279999,435.609985,426.279999,428.119995,1295800,424.562073
"2021-06-17",427.440002,431.459991,424.23999,428.940002,782600,425.375275
