"","CMG.Open","CMG.High","CMG.Low","CMG.Close","CMG.Volume","CMG.Adjusted"
"2021-01-20",1443.819946,1483.640015,1437.400024,1480.619995,296000,1480.619995
"2021-01-21",1477.199951,1508.719971,1476.540039,1503.680054,298300,1503.680054
"2021-01-22",1492.319946,1507.48999,1484.189941,1494.180054,228300,1494.180054
"2021-01-25",1504,1510.189941,1468.5,1486.319946,198200,1486.319946
"2021-01-26",1493.75,1497.050049,1481.439941,1489.25,128600,1489.25
"2021-01-27",1480,1498.219971,1460,1466.359985,277000,1466.359985
"2021-01-28",1471.119995,1501.72998,1465.880005,1480.540039,234400,1480.540039
"2021-01-29",1474.420044,1502.47998,1471.140015,1480,231200,1480
"2021-02-01",1495.099976,1516.689941,1479.540039,1509.02002,255600,1509.02002
"2021-02-02",1525.060059,1553.550049,1521.599976,1523.050049,448500,1523.050049
"2021-02-03",1495.02002,1529.5,1461.300049,1499.98999,648900,1499.98999
"2021-02-04",1506,1510.51001,1474.060059,1479.550049,350200,1479.550049
"2021-02-05",1487.219971,1513.599976,1477.219971,1506.880005,313900,1506.880005
"2021-02-08",1507.77002,1511.900024,1491.699951,1504,208700,1504
"2021-02-09",1501.25,1564.910034,1501.25,1550.48999,384300,1550.48999
"2021-02-10",1560.199951,1560.920044,1525.25,1544.660034,228900,1544.660034
"2021-02-11",1543.300049,1548.530029,1531.900024,1543.109985,168300,1543.109985
"2021-02-12",1540.189941,1543.359985,1522,1527.699951,139100,1527.699951
"2021-02-16",1531,1531,1476.459961,1484,319600,1484
"2021-02-17",1476.459961,1477.52002,1442.939941,1459.5,265300,1459.5
"2021-02-18",1448.160034,1466.040039,1444,1456.310059,174200,1456.310059
"2021-02-19",1468.599976,1483.77002,1457.01001,1473.089966,244100,1473.089966
"2021-02-22",1457.400024,1460.130005,1429.170044,1430.540039,292600,1430.540039
"2021-02-23",1410.810059,1422.98999,1350,1416.23999,376300,1416.23999
"2021-02-24",1417.72998,1450.819946,1398.900024,1449.060059,264600,1449.060059
"2021-02-25",1446.75,1447.959961,1395.290039,1410.73999,236200,1410.73999
"2021-02-26",1429.430054,1460.040039,1411.849976,1442,443500,1442
"2021-03-01",1444.829956,1489.98999,1444.829956,1484.949951,281200,1484.949951
"2021-03-02",1493.410034,1506,1472.339966,1475.569946,258000,1475.569946
"2021-03-03",1466.77002,1477.630005,1405.390015,1408.219971,300600,1408.219971
"2021-03-04",1402.709961,1408.300049,1322.400024,1351.119995,507000,1351.119995
"2021-03-05",1358.849976,1358.849976,1256.27002,1332.280029,535300,1332.280029
