"","PRU.Open","PRU.High","PRU.Low","PRU.Close","PRU.Volume","PRU.Adjusted"
"2021-01-25",81.419998,82.220001,80.589996,81.959999,1983700,76.473412
"2021-01-26",82.370003,82.580002,81.099998,81.220001,1642300,75.782951
"2021-01-27",80,80.209999,78.959999,79.239998,3166500,73.935486
"2021-01-28",80.099998,82.230003,79.919998,81.190002,2157200,75.754959
"2021-01-29",80.660004,80.919998,77.720001,78.279999,3636100,73.039757
"2021-02-01",78.860001,79.099998,77.269997,78.910004,1600400,73.627586
"2021-02-02",80,81.209999,79.400002,80.160004,1885000,74.793915
"2021-02-03",80,81.150002,79.830002,80.959999,1574800,75.540359
"2021-02-04",81.25,83.169998,80.940002,82.779999,2412800,77.23851
"2021-02-05",83.809998,83.809998,79.550003,80.160004,4167400,74.793915
"2021-02-08",80.400002,80.940002,79.32,80.910004,2709000,75.493706
"2021-02-09",80.779999,82,80.440002,81.43,2749600,75.978897
"2021-02-10",81.610001,82.5,81.139999,82.110001,2881900,76.613358
"2021-02-11",82.25,82.690002,80.75,81.330002,2355700,75.885582
"2021-02-12",80.010002,82.169998,80,80.860001,2520100,76.52916
"2021-02-16",81.690002,83.68,81.309998,82.760002,2965800,78.3274
"2021-02-17",82.440002,84.269997,82.309998,83.419998,2051900,78.952057
"2021-02-18",82.790001,83.489998,81.110001,81.910004,2185500,77.522934
"2021-02-19",82.620003,84.370003,82.580002,84.099998,2881100,79.595634
"2021-02-22",83.720001,87.010002,83.720001,86.110001,2969800,81.497978
"2021-02-23",87.019997,87.199997,85.120003,85.370003,2326200,80.797615
"2021-02-24",86.120003,90.589996,85.82,89.910004,4862000,85.09446
"2021-02-25",90.32,91.610001,87.720001,87.910004,3203600,83.201576
"2021-02-26",87.43,88.260002,85.470001,86.720001,2749300,82.075302
"2021-03-01",88.519997,89.550003,88.080002,88.620003,2813800,83.873558
"2021-03-02",89.059998,89.739998,88.839996,89.019997,2003000,84.252121
"2021-03-03",88.379997,90.980003,88.379997,89.370003,3219900,84.583382
"2021-03-04",89.349998,89.830002,86.410004,88.57,2704400,83.826218
"2021-03-05",90,91.029999,87.32,90.660004,2219600,85.804298
"2021-03-08",91.589996,94.529999,91.410004,92.720001,3085800,87.753952
"2021-03-09",91.639999,93.370003,90.269997,91.389999,2777800,86.495186
"2021-03-10",91.300003,93.330002,91.150002,92.800003,2141500,87.829674
"2021-03-11",92.339996,93.989998,91.720001,92.410004,2548000,87.460564
"2021-03-12",93.559998,94.849998,93.110001,93.870003,2525800,88.842361
"2021-03-15",94.019997,94.449997,91.949997,93.800003,2095500,88.776108
"2021-03-16",92.610001,93.029999,90.809998,91.389999,2556600,86.495186
"2021-03-17",92.410004,93.400002,91.839996,93.18,2070500,88.189308
"2021-03-18",94.080002,95.489998,92.889999,93.110001,2988900,88.123062
"2021-03-19",92,93.190002,90.730003,91.980003,9148400,87.053589
"2021-03-22",91.099998,91.720001,90.32,90.860001,2390100,85.993568
"2021-03-23",90.300003,90.730003,88.029999,88.43,2627700,83.693718
"2021-03-24",89.449997,90.949997,88.739998,88.800003,2260200,84.043915
"2021-03-25",88.68,91.230003,87.839996,90.93,1977200,86.059822
"2021-03-26",92,92.269997,90.620003,91.980003,1957300,87.053589
"2021-03-29",90.629997,91.839996,90.099998,90.639999,1955700,85.785347
"2021-03-30",91.300003,92.580002,91.029999,92.080002,1823000,87.148232
"2021-03-31",91.410004,92.199997,91.059998,91.099998,2878400,86.220718
"2021-04-01",90.900002,92.709999,90.809998,92.709999,1895100,87.744484
"2021-04-05",93.790001,94.199997,92.540001,92.75,1925100,87.782341
"2021-04-06",92.790001,93.699997,92.459999,93.040001,1694800,88.056816
"2021-04-07",93.050003,94.160004,93.050003,93.949997,1644700,88.918076
"2021-04-08",93.199997,93.339996,92.18,92.970001,1205900,87.990562
"2021-04-09",93.889999,94.419998,93.480003,94.349998,2436200,89.296646
"2021-04-12",95,95.75,94.510002,95.559998,1848500,90.441841
"2021-04-13",95.199997,95.889999,94.199997,95.279999,2775100,90.176826
"2021-04-14",95.480003,97.849998,95.389999,97.339996,3520000,92.126495
"2021-04-15",97.239998,97.949997,96.739998,97.300003,2882400,92.088646
"2021-04-16",98,99.529999,97.849998,98.879997,2218900,93.584023
"2021-04-19",99.269997,99.870003,98.339996,98.540001,1786500,93.262245
"2021-04-20",97.580002,98,95.269997,96.019997,1939200,90.87719
"2021-04-21",95.660004,98.059998,95.410004,97.93,1989300,92.684898
"2021-04-22",97.449997,97.760002,96.300003,96.739998,1888500,91.558632
"2021-04-23",96.650002,98.860001,96.529999,98.5,1698900,93.22438
"2021-04-26",98.970001,100.209999,98.349998,98.529999,1914800,93.252762
"2021-04-27",98.529999,99.379997,98.529999,99.300003,1390500,93.981529
"2021-04-28",100.139999,100.769997,99.660004,99.809998,1539300,94.464203
"2021-04-29",100.769997,101.550003,100.07,101.199997,1660400,95.779755
"2021-04-30",100.870003,101.360001,99.949997,100.360001,1524600,94.984756
"2021-05-03",101.349998,102.389999,100.580002,101.440002,1760100,96.006905
"2021-05-04",101.410004,102.25,100.18,101.669998,2056600,96.224586
"2021-05-05",102.75,104.610001,101.629997,104.190002,2857200,98.609627
"2021-05-06",104.610001,105.68,103.419998,105.610001,2303100,99.953568
"2021-05-07",103.989998,105.980003,103.849998,105.949997,2130600,100.275352
"2021-05-10",106.699997,108.559998,105.879997,106.720001,2935300,101.00412
"2021-05-11",105.760002,106.480003,103.949997,104.910004,2890800,99.291061
"2021-05-12",105.639999,106.25,102.93,103.199997,2225900,97.672638
"2021-05-13",102.730003,106.650002,102.68,105.800003,2263200,100.1334
"2021-05-14",106.139999,107.889999,106.010002,107.68,1764200,101.912704
"2021-05-17",107.059998,108.209999,106.68,107.959999,1573300,102.177704
"2021-05-18",107.5,107.889999,106.510002,106.589996,2136700,100.881081
"2021-05-19",105.32,106.510002,103.639999,106.449997,2264500,100.748573
"2021-05-20",106.440002,106.849998,104.839996,105.699997,1949600,100.038742
"2021-05-21",106.059998,107.419998,106.059998,106.900002,2028800,101.174484
"2021-05-24",105.949997,106.870003,105.5,106.330002,1693000,101.729385
"2021-05-25",106.400002,107.379997,104.199997,104.370003,1918200,99.854187
"2021-05-26",104.989998,105.260002,103.610001,105.029999,1768100,100.485626
"2021-05-27",106.540001,107.019997,105.599998,106.629997,3026700,102.016403
"2021-05-28",107.099998,107.209999,104.919998,106.970001,2181200,102.341698
"2021-06-01",107.910004,108.639999,107.370003,108.510002,1813900,103.815063
"2021-06-02",108.75,109.169998,107.620003,108.029999,2029500,103.355827
"2021-06-03",107.57,109.089996,107.269997,108.230003,1779100,103.547173
"2021-06-04",108.040001,108.529999,107.32,108.440002,1287000,103.748093
"2021-06-07",108.650002,108.900002,107.730003,108.07,1492000,103.394096
"2021-06-08",107.230003,108.459999,106.089996,108.059998,1287300,103.384529
"2021-06-09",107.410004,107.550003,106.080002,106.089996,1868900,101.499763
"2021-06-10",107.449997,107.900002,104.879997,104.919998,1595000,100.380394
"2021-06-11",105.43,106.279999,105.050003,105.529999,1563700,100.963997
"2021-06-14",105.300003,105.82,103.660004,104.419998,1739300,99.902023
"2021-06-15",104.480003,105.550003,104.019997,104.889999,1707000,100.351685
"2021-06-16",104.510002,105.940002,103.32,105.160004,1745100,100.610001
"2021-06-17",105.529999,105.830002,99.970001,100.639999,2948800,96.285568
"2021-06-18",98.57,99.639999,97.379997,97.620003,5237900,93.39624
"2021-06-21",98.580002,100.769997,98.57,100.769997,1896000,96.409943
"2021-06-22",100.82,100.959999,99.370003,100.419998,1506200,96.075089
"2021-06-23",100.699997,101.660004,100.25,101.029999,1450700,96.658699
"2021-06-24",101.25,102.879997,100.629997,102.510002,1496900,98.074669
"2021-06-25",102.989998,104.57,102.529999,104.330002,1950300,99.81591
"2021-06-28",103.910004,103.910004,101.879997,102.199997,1496400,97.778076
"2021-06-29",102.889999,103.68,101.370003,101.730003,1281800,97.328407
"2021-06-30",101.480003,102.599998,101.209999,102.470001,1289600,98.0364
"2021-07-01",103.290001,103.629997,102.610001,103.300003,1217300,98.830482
"2021-07-02",103.019997,103.489998,102.540001,103.129997,1018900,98.667839
"2021-07-06",102.580002,102.870003,99.480003,100.139999,2362600,95.807205
"2021-07-07",99.290001,100.660004,99.029999,100.400002,1498800,96.055962
"2021-07-08",98.489998,98.919998,96.589996,97.150002,2426900,92.946571
"2021-07-09",99.18,100.849998,98.540001,100.580002,2000100,96.228172
"2021-07-12",99.800003,101.779999,98.900002,101.620003,1501000,97.223167
"2021-07-13",101.620003,101.779999,99.870003,100.139999,1512300,95.807205
"2021-07-14",100.370003,101.610001,98.870003,99.690002,1611500,95.376678
"2021-07-15",99.040001,100.970001,98.68,100.300003,1532300,95.960289
"2021-07-16",100.970001,101.160004,98.43,98.730003,1410700,94.458214
"2021-07-19",96,96.809998,94.510002,95.709999,2666800,91.568886
"2021-07-20",95.589996,99.940002,95.129997,99.059998,2263200,94.773933
"2021-07-21",99.989998,102.43,99.830002,101.209999,2133800,96.830917
"2021-07-22",101,101,99.050003,99.449997,1546900,95.147057
"2021-07-23",100.330002,100.75,99.089996,99.5,1209300,95.194901
"2021-07-26",99.620003,101.230003,99.620003,100.739998,1399100,96.381248
"2021-07-27",99.370003,101.129997,98.889999,100.529999,1381700,96.180328
"2021-07-28",100.629997,101.43,99.300003,100.580002,1557500,96.228172
"2021-07-29",101.839996,102.550003,100.940002,101.43,1556400,97.041397
"2021-07-30",100.959999,102.190002,100.050003,100.279999,2376000,95.941147
"2021-08-02",101,102.919998,99.959999,100.199997,1795100,95.864601
"2021-08-03",101.029999,102.360001,98.739998,102.160004,1990300,97.739807
"2021-08-04",99.800003,102.059998,99.089996,99.900002,2690000,95.577591
"2021-08-05",101.25,102.290001,101.080002,102.080002,1590400,97.663269
"2021-08-06",103.699997,105.459999,103.489998,104.760002,1842600,100.227318
"2021-08-09",104.330002,105.480003,103.540001,104.809998,1733000,100.275146
"2021-08-10",104.690002,106.720001,104.440002,106.059998,1892100,101.471062
"2021-08-11",106.57,107.610001,105.589996,107.540001,1924100,102.887024
"2021-08-12",108,108.480003,107.239998,107.959999,1774900,103.288857
"2021-08-13",108.32,108.540001,107.57,108.010002,1523000,103.336693
"2021-08-16",107.209999,107.809998,105.660004,107.32,1735600,102.676544
"2021-08-17",106.25,107.220001,105.269997,106.540001,1940200,101.93029
"2021-08-18",106,107.239998,104.970001,105.059998,1702800,100.514328
"2021-08-19",103.82,105.050003,102.919998,103.790001,1805800,99.299286
"2021-08-20",103.690002,104.559998,103.370003,104.339996,1917300,99.825485
"2021-08-23",104.019997,105.290001,104,104.519997,1536400,101.112122
"2021-08-24",104.910004,105.739998,104.449997,105.519997,1411300,102.079514
"2021-08-25",105.919998,107.870003,105.550003,106.82,1351400,103.337128
"2021-08-26",106.940002,107.129997,105.309998,105.540001,1462700,102.098869
"2021-08-27",105.919998,107.629997,105.68,107.360001,1544300,103.85952
"2021-08-30",107.300003,107.400002,105.379997,105.830002,1388200,102.379417
"2021-08-31",105.559998,106.900002,105.279999,105.879997,2604000,102.42778
"2021-09-01",106.110001,106.330002,104.57,104.75,1386800,101.334625
"2021-09-02",105,105.400002,104.43,105.029999,1561900,101.605492
"2021-09-03",105.459999,105.809998,104.32,104.889999,1330600,101.470055
"2021-09-07",104.800003,105.769997,104.510002,104.830002,1752300,101.41201
"2021-09-08",104.699997,105.300003,103.980003,104.639999,1338100,101.22821
"2021-09-09",104.379997,106.169998,104.07,104.540001,1410100,101.13147
"2021-09-10",105.419998,105.559998,103.699997,103.75,1269200,100.367226
"2021-09-13",105.019997,105.68,104.110001,105.410004,1400700,101.973114
"2021-09-14",106,106.169998,103.309998,103.720001,1730900,100.338211
"2021-09-15",104.129997,105.339996,103.800003,104.32,2148700,100.91864
"2021-09-16",104.639999,105.389999,103.400002,103.610001,2001000,100.231796
"2021-09-17",103.07,104.82,102.769997,103.139999,4747500,99.777107
"2021-09-20",100.349998,100.660004,97.050003,98.889999,3601800,95.665688
"2021-09-21",99.32,99.889999,97.279999,97.900002,2430700,94.707977
"2021-09-22",99.489998,100.889999,99.370003,100.050003,1963500,96.787872
"2021-09-23",101.260002,104.269997,101.120003,103.209999,1669300,99.844841
"2021-09-24",103.239998,104.809998,103.150002,103.75,1292300,100.367226
"2021-09-27",105,107.540001,104.900002,106.610001,1773900,103.13398
"2021-09-28",106.970001,107.870003,105.5,105.57,1800700,102.127884
"2021-09-29",105.949997,106.370003,105.139999,105.889999,1427100,102.437454
"2021-09-30",106.5,107,104.620003,105.199997,2491000,101.769951
"2021-10-01",105.5,106.900002,104.550003,106.18,1238700,102.717995
"2021-10-04",105.980003,108.089996,105.389999,105.709999,1856600,102.263321
"2021-10-05",106.400002,108.489998,105.349998,108.160004,1916200,104.633446
"2021-10-06",107.080002,108,105.68,107.970001,1525700,104.449631
"2021-10-07",108.93,109.610001,108.309998,108.489998,1518800,104.952682
"2021-10-08",108.779999,110.120003,108.519997,109.720001,1320200,106.142578
"2021-10-11",110.029999,111.910004,109.809998,110.080002,1743000,106.490837
"2021-10-12",109.970001,110.730003,108.669998,108.980003,1491200,105.426712
"2021-10-13",108.5,108.669998,105.470001,107.449997,1568100,103.946587
"2021-10-14",108.650002,109.870003,108.099998,109.779999,1323800,106.200623
"2021-10-15",110.800003,111.489998,110.309998,110.589996,1469400,106.9842
"2021-10-18",110.32,111.260002,109.809998,110.510002,1111100,106.906822
"2021-10-19",111.589996,112.129997,110.949997,111.919998,1191000,108.270844
"2021-10-20",111.690002,114.059998,111.260002,114,1291600,110.283028
"2021-10-21",113.5,114.629997,112.279999,113.269997,1095400,109.57682
"2021-10-22",113.580002,114.540001,112.949997,113.989998,1107300,110.273346
"2021-10-25",114.330002,114.68,113.650002,113.809998,1309000,110.09922
"2021-10-26",114.32,114.739998,113.519997,113.650002,1036000,109.944435
"2021-10-27",113.150002,114.309998,111.669998,111.760002,1217100,108.116066
"2021-10-28",111.980003,113.080002,111.790001,112.580002,1103800,108.909325
"2021-10-29",112.489998,112.830002,109.519997,110.050003,2199700,106.461823
"2021-11-01",111.050003,111.470001,109.910004,111.330002,1272300,107.700081
"2021-11-02",111.169998,112.07,110.57,111.169998,1799000,107.545296
"2021-11-03",109,115.519997,108.400002,113.940002,2970200,110.224991
"2021-11-04",113.349998,113.720001,110.059998,111.800003,2243700,108.154762
"2021-11-05",112.889999,113.440002,110.300003,110.919998,1646700,107.303444
"2021-11-08",111.75,112.790001,110.660004,111.07,1073700,107.448555
"2021-11-09",110.129997,110.610001,108.25,109.160004,1677700,105.600838
"2021-11-10",110.110001,110.93,108.080002,109.580002,2117900,106.007141
"2021-11-11",109.580002,110.739998,109.019997,110.269997,1028700,106.674644
"2021-11-12",110.029999,110.790001,109.470001,110.75,1045300,107.138992
"2021-11-15",110.93,111.449997,110.43,110.849998,1201900,107.235733
"2021-11-16",111.129997,112.480003,110.629997,111.290001,1920000,107.661392
"2021-11-17",111,111.43,110.029999,110.279999,1327000,106.684319
"2021-11-18",110.129997,110.839996,108.510002,109.25,1307700,105.687904
"2021-11-19",107.559998,107.690002,105.669998,106.529999,2251500,103.05658
"2021-11-22",106.269997,108.75,105.75,107.480003,1920900,105.110283
"2021-11-23",108.459999,110.449997,108.199997,110.190002,1953400,107.760536
"2021-11-24",110.040001,110.480003,108.75,109.330002,1558000,106.919495
"2021-11-26",104.5,105.660004,102.220001,105.099998,1737000,102.782753
"2021-11-29",106.720001,106.82,103.970001,105.029999,1847500,102.714294
"2021-11-30",103.470001,103.760002,101.550003,102.260002,4139100,100.005379
"2021-12-01",104.540001,104.870003,100.010002,100.050003,2175500,97.844109
"2021-12-02",101,104.389999,100.400002,103.419998,2056600,101.139793
"2021-12-03",103.32,104.309998,101.699997,102.730003,2329300,100.465019
"2021-12-06",104.059998,105.849998,103.809998,104.199997,2046900,101.902596
"2021-12-07",105,106.300003,104.300003,105.75,1686600,103.418427
"2021-12-08",106.059998,107,105.68,105.709999,1323700,103.379311
"2021-12-09",105.309998,107.080002,104.769997,106.529999,1329700,104.181229
"2021-12-10",107.389999,107.849998,106.330002,107.040001,1424600,104.679985
"2021-12-13",106.370003,106.510002,104.660004,105.080002,1642800,102.763199
"2021-12-14",105.139999,108.059998,105.120003,107.059998,2505500,104.699547
"2021-12-15",107.43,107.669998,104.830002,106.93,2302500,104.572411
"2021-12-16",108.220001,109.120003,107.360001,108.050003,1870700,105.667717
"2021-12-17",107.779999,108,105.279999,105.379997,4717300,103.05658
"2021-12-20",103.699997,103.900002,100.199997,101.610001,2625100,99.369705
"2021-12-21",102.989998,106.510002,102.989998,105.970001,2236400,103.633583
"2021-12-22",105.830002,107.230003,105.68,106.910004,1410000,104.552856
"2021-12-23",107.589996,109.07,107.589996,108.25,1222400,105.863304
"2021-12-27",108.419998,108.860001,107.559998,108.830002,1147200,106.430519
"2021-12-28",108.519997,110.099998,108.330002,109.059998,1934900,106.655441
"2021-12-29",109.769997,110.050003,109,109.080002,842200,106.675003
"2021-12-30",109.43,110.040001,108.529999,108.629997,853600,106.234924
"2021-12-31",108.32,109.110001,108.059998,108.239998,1001700,105.853523
"2022-01-03",108.82,110.830002,108.82,109.919998,1447600,107.496483
"2022-01-04",111.18,114.440002,111.059998,113.709999,2216600,111.202919
