"","APA.Open","APA.High","APA.Low","APA.Close","APA.Volume","APA.Adjusted"
"2021-01-20",18,18.200001,17.18,17.469999,7111800,17.177317
"2021-01-21",17.290001,17.5,16.129999,16.639999,10325200,16.384665
"2021-01-22",16.1,16.440001,15.74,16.379999,8273800,16.128654
"2021-01-25",16.18,16.18,15.31,15.73,9155500,15.488628
"2021-01-26",16.17,16.610001,15.29,15.3,8334100,15.065227
"2021-01-27",15.02,15.98,14.55,14.6,12474800,14.37597
"2021-01-28",15,15.41,14.63,14.94,8292700,14.710751
"2021-01-29",14.82,15.44,14.03,14.28,11384700,14.060879
"2021-02-01",14.82,15.37,14.57,15.12,10580300,14.88799
"2021-02-02",15.8,16.41,15.54,15.56,12371600,15.321238
"2021-02-03",15.86,16.709999,15.71,16.43,9494000,16.177887
"2021-02-04",16.549999,16.620001,15.75,16.32,9448100,16.069574
"2021-02-05",16.620001,16.85,16.09,16.219999,7742700,15.971107
"2021-02-08",16.559999,17.91,16.5,17.84,10826300,17.56625
"2021-02-09",17.65,17.65,17.09,17.23,7619900,16.965612
"2021-02-10",17.41,17.99,17.190001,17.610001,8233600,17.339781
"2021-02-11",17.379999,17.559999,16.43,16.98,7671400,16.719448
"2021-02-12",16.709999,17.540001,16.540001,17.48,6788400,17.211775
"2021-02-16",18.18,19.040001,17.940001,18.58,12008700,18.294895
"2021-02-17",18.84,19.059999,18.23,18.690001,9434100,18.40321
"2021-02-18",18.459999,18.530001,17.6,17.629999,7963400,17.359472
"2021-02-19",17.639999,18.290001,17.440001,18.02,7340000,17.74349
"2021-02-22",18.35,19.6,18.209999,19.08,9793800,18.787224
"2021-02-23",19.26,19.85,17.629999,19.75,10431400,19.446945
"2021-02-24",19.76,20.950001,19.450001,20.809999,10985000,20.490681
"2021-02-25",21.5,21.889999,20,20.129999,11286600,19.821114
"2021-02-26",19.860001,20.110001,18.629999,19.73,9259600,19.427252
"2021-03-01",20.08,20.34,19.43,19.52,10287300,19.220472
"2021-03-02",19.200001,20.379999,19.15,19.5,7414900,19.200781
"2021-03-03",19.74,20.59,19.719999,19.91,7557200,19.604486
"2021-03-04",20.379999,21.58,19.98,20.98,13253200,20.65807
"2021-03-05",22.1,23.299999,21.02,23.25,13114600,22.893236
"2021-03-08",23.6,23.85,22.49,23.17,8328800,22.814465
"2021-03-09",22.809999,23.01,21.57,21.6,9781400,21.268557
"2021-03-10",21.75,21.860001,21.08,21.629999,9020800,21.298096
"2021-03-11",22.110001,22.200001,21.66,21.889999,7357100,21.554108
"2021-03-12",22.1,22.139999,20.98,21.23,7688300,20.904232
"2021-03-15",21.290001,21.549999,20.889999,21.530001,6558100,21.199633
"2021-03-16",21,21.43,20.709999,20.75,7563200,20.431597
"2021-03-17",20.51,21.110001,20.08,20.99,8201300,20.667915
"2021-03-18",20.67,20.74,19.120001,19.24,9486700,18.944771
"2021-03-19",19.190001,19.889999,18.83,19.48,13697100,19.181086
"2021-03-22",19.379999,19.43,18.77,18.860001,6599900,18.570601
"2021-03-23",18.219999,18.969999,17.9,18.27,7285900,17.989655
"2021-03-24",18.74,19.23,18.540001,18.58,7241800,18.294895
"2021-03-25",17.940001,18.42,17.450001,18.34,8270300,18.05858
"2021-03-26",18.9,19.01,18,18.790001,9273300,18.501673
"2021-03-29",18.450001,18.57,17.65,17.959999,7505500,17.68441
"2021-03-30",17.58,17.98,17.1,17.83,6172500,17.556406
"2021-03-31",17.68,18.07,17.57,17.9,5195400,17.625328
"2021-04-01",18.25,18.92,17.940001,18.85,10303900,18.560753
"2021-04-05",18.809999,18.809999,17.370001,17.540001,9746400,17.270855
"2021-04-06",17.75,18.379999,17.719999,17.860001,6903600,17.585945
"2021-04-07",17.93,18.190001,17.73,18.02,6274000,17.74349
"2021-04-08",17.860001,17.860001,17.219999,17.549999,6176200,17.280699
"2021-04-09",17.559999,17.68,17.139999,17.26,6211300,16.995152
"2021-04-12",17.5,17.809999,17.1,17.25,5602600,16.985304
"2021-04-13",17.25,17.59,17.17,17.280001,5616600,17.014847
"2021-04-14",17.549999,18.68,17.49,18.139999,8779600,17.861647
"2021-04-15",18.15,18.16,17.74,18.07,4932100,17.792723
"2021-04-16",18.190001,18.27,17.59,17.799999,6245100,17.526865
"2021-04-19",17.9,18.389999,17.780001,18.07,4804200,17.792723
"2021-04-20",17.950001,18.040001,16.76,17,10523100,16.73914
"2021-04-21",16.41,17.299999,16.27,17.139999,5866400,16.901848
"2021-04-22",17.190001,17.719999,16.959999,17.610001,8087000,17.36532
"2021-04-23",17.530001,18.209999,17.4,18.18,5749100,17.927399
"2021-04-26",18.129999,18.85,18.07,18.65,8056800,18.390867
"2021-04-27",18.799999,19.15,18.620001,19.030001,6841300,18.765589
"2021-04-28",19.27,20.66,19.209999,20.49,8665600,20.205301
"2021-04-29",20.870001,21.25,20.32,20.68,6427700,20.39266
"2021-04-30",20.33,20.719999,19.74,20,8839500,19.722111
"2021-05-03",20.290001,20.549999,20,20.459999,5872100,20.175716
"2021-05-04",20.629999,20.860001,19.860001,20.18,9097600,19.899611
"2021-05-05",20.440001,21.49,20.290001,20.969999,7554500,20.678631
"2021-05-06",21,21.51,20.34,21.43,9020000,21.13224
"2021-05-07",20.83,21.65,20.540001,21.59,8196700,21.290018
"2021-05-10",22,22.48,21.82,21.889999,7194900,21.58585
"2021-05-11",21.129999,21.540001,20.67,21.040001,7088100,20.74766
"2021-05-12",21.4,22.24,21.049999,21.129999,7241600,20.836409
"2021-05-13",20.65,21.219999,19.950001,20.4,6930200,20.11655
"2021-05-14",20.75,21.719999,20.75,21.559999,5557300,21.260435
"2021-05-17",21.360001,22.200001,21.25,22.16,8490700,21.852098
"2021-05-18",22.25,22.41,21.549999,21.67,6683700,21.368908
"2021-05-19",20.790001,21.200001,20.379999,20.82,6693300,20.530714
"2021-05-20",20.790001,20.82,20.25,20.629999,4197300,20.343355
"2021-05-21",21.07,21.18,20.74,20.889999,6632800,20.599743
"2021-05-24",21.18,21.26,20.639999,20.879999,6505000,20.589882
"2021-05-25",20.77,20.950001,19.870001,19.940001,7527400,19.662945
"2021-05-26",19.99,20.51,19.82,20.48,5602000,20.195438
"2021-05-27",20.51,20.959999,20.459999,20.83,6133700,20.540575
"2021-05-28",21,21.049999,20.620001,20.799999,4630000,20.510994
"2021-06-01",21.940001,23.059999,21.73,23.059999,11977000,22.739594
"2021-06-02",23.209999,23.860001,22.75,23.52,9445700,23.193203
"2021-06-03",23.299999,23.52,22.959999,23.26,6018200,22.936815
"2021-06-04",23.639999,23.85,23.129999,23.42,6710600,23.094591
"2021-06-07",23.77,24.299999,23.299999,23.42,7719700,23.094591
"2021-06-08",23.459999,23.459999,22.73,23.139999,8693000,22.818483
"2021-06-09",23.26,23.58,22.790001,22.84,5764000,22.522652
"2021-06-10",23.280001,23.549999,22.4,22.68,7006500,22.364872
"2021-06-11",22.790001,23.09,22.530001,22.629999,5809100,22.315565
"2021-06-14",22.84,23.200001,22.26,22.42,6000500,22.108486
"2021-06-15",22.58,23.059999,22.469999,22.860001,6587700,22.542372
"2021-06-16",22.77,22.940001,22.299999,22.57,7208300,22.256401
"2021-06-17",22.42,22.690001,20.620001,21.129999,10517000,20.836409
"2021-06-18",20.77,21.379999,20.48,20.65,8158800,20.363077
"2021-06-21",21.24,22.209999,20.969999,22.16,7390100,21.852098
"2021-06-22",22.049999,22.15,21.73,21.950001,5414600,21.645016
"2021-06-23",22.379999,22.690001,21.879999,21.9,5931200,21.595711
"2021-06-24",21.959999,22.299999,21.540001,22.26,6218800,21.950708
"2021-06-25",22.200001,22.440001,21.809999,22.200001,8230900,21.891542
"2021-06-28",22.049999,22.09,20.92,21.030001,6877300,20.737799
"2021-06-29",21.280001,21.59,20.959999,21.030001,4590400,20.737799
"2021-06-30",21.24,21.790001,21.219999,21.629999,4971400,21.329462
"2021-07-01",22.41,22.610001,21.700001,21.92,7975700,21.615431
"2021-07-02",21.73,21.75,21.43,21.469999,4069100,21.171686
"2021-07-06",21.690001,21.690001,20.51,20.540001,5740200,20.254606
"2021-07-07",20.68,20.940001,19.540001,20.049999,5890500,19.771414
"2021-07-08",19.870001,20.32,19.540001,20.030001,6100800,19.751694
"2021-07-09",20.41,20.709999,20.030001,20.57,4254800,20.284189
"2021-07-12",20.110001,20.610001,19.860001,20.41,3879000,20.126413
"2021-07-13",20.379999,20.5,20.01,20.17,3838700,19.889748
"2021-07-14",20.440001,20.58,18.790001,19.040001,9543600,18.775448
"2021-07-15",18.610001,19.040001,18.299999,18.469999,9197400,18.213371
"2021-07-16",18.700001,18.74,17.870001,17.98,8576100,17.730179
"2021-07-19",17.01,17.6,16.93,17.209999,10839700,16.970875
"2021-07-20",16.950001,17.66,16.83,17.559999,9180700,17.316011
"2021-07-21",17.68,18.58,17.68,18.42,8640300,18.18996
"2021-07-22",18.360001,18.440001,17.82,18.25,9160700,18.022081
"2021-07-23",18.32,18.450001,17.73,18.209999,6257400,17.98258
"2021-07-26",18.23,18.98,18.219999,18.84,8706200,18.604717
"2021-07-27",18.65,18.799999,18.34,18.559999,8188000,18.328211
"2021-07-28",18.75,19.27,18.459999,19.040001,4937100,18.802219
