"","ROP.Open","ROP.High","ROP.Low","ROP.Close","ROP.Volume","ROP.Adjusted"
"2021-01-27",414.049988,421.329987,409.829987,420,588600,416.653778
"2021-01-28",421.529999,429.570007,421.529999,422.829987,618500,419.461212
"2021-01-29",420,425.579987,392.559998,392.910004,1192700,389.779602
"2021-02-01",395.859985,403.059998,389.350006,391.359985,817400,388.241974
"2021-02-02",393.470001,402.079987,391.119995,398,888800,394.829102
"2021-02-03",395.790009,403.5,394.079987,401.690002,619200,398.489655
"2021-02-04",403.480011,406,400.980011,403.75,437800,400.533295
"2021-02-05",406.600006,411.690002,404.25,404.950012,494500,401.723724
"2021-02-08",405.690002,409.140015,403.209991,407.160004,378900,403.916107
"2021-02-09",407.339996,409.380005,402.230011,403.730011,677100,400.513458
"2021-02-10",407.549988,407.549988,400.630005,401.850006,742100,398.648407
"2021-02-11",402.769989,404.649994,397.76001,400.01001,341000,396.823029
"2021-02-12",397.51001,402.089996,395,396.019989,716200,392.864838
"2021-02-16",397.980011,398.149994,383.609985,383.799988,774700,380.742188
"2021-02-17",383.799988,388.179993,376.940002,387.119995,1517100,384.035736
"2021-02-18",385.850006,396.350006,384.559998,395.549988,574100,392.39856
"2021-02-19",395.549988,396.790009,386.769989,388.910004,736000,385.811493
"2021-02-22",386.929993,390.149994,382.559998,383.920013,813400,380.861267
"2021-02-23",386.109985,391.869995,377.190002,387.839996,1053100,384.75
"2021-02-24",387.070007,388.350006,373.25,378.820007,1298500,375.80188
"2021-02-25",377.940002,381.23999,373.320007,379.109985,747400,376.089569
"2021-02-26",381.799988,385.519989,377.619995,377.619995,531700,374.61142
"2021-03-01",379.730011,388.230011,379.730011,384.920013,819200,381.853302
"2021-03-02",387.019989,387.380005,378.040009,381.089996,502900,378.053772
"2021-03-03",379.779999,386,378.700012,380.589996,796500,377.55777
"2021-03-04",379.890015,380.459991,365.230011,371.890015,619100,368.927094
"2021-03-05",374.839996,378.670013,367.200012,376.940002,637100,373.93689
"2021-03-08",378.339996,391.029999,375.920013,385.380005,909100,382.309631
"2021-03-09",386.23999,396.059998,386.23999,389.670013,731500,386.56546
"2021-03-10",391.579987,391.700012,384.329987,386.059998,556900,382.984192
"2021-03-11",386.359985,391.23999,384.040009,387.440002,395300,384.35318
"2021-03-12",389.320007,390.5,384.769989,386.369995,493100,383.291687
"2021-03-15",387.119995,394.179993,385.529999,390.859985,543000,387.745911
"2021-03-16",390.980011,392.480011,385.019989,387.980011,574900,384.888885
"2021-03-17",392.5,399.279999,389.790009,393.549988,671500,390.41452
"2021-03-18",399.160004,407.98999,397.450012,401.269989,794800,398.072998
"2021-03-19",400.720001,402.329987,394.570007,395,1157800,391.852966
"2021-03-22",393.390015,403.570007,391.019989,401.290009,488300,398.092865
"2021-03-23",398.5,406.75,398.5,404.660004,547400,401.435974
"2021-03-24",404.01001,410.23999,403.649994,406.279999,690700,403.043121
"2021-03-25",406.209991,406.25,397.880005,403.350006,631100,400.136475
"2021-03-26",404.200012,410.570007,401.790009,410.359985,448000,407.090607
"2021-03-29",407.700012,409.809998,401.769989,408.350006,430500,405.096619
"2021-03-30",408,408.390015,401.880005,403.01001,347100,399.799164
"2021-03-31",404.690002,407.089996,401.709991,403.339996,609900,400.126495
"2021-04-01",405.329987,411.529999,403.549988,410.350006,421800,407.649689
"2021-04-05",412.200012,416.98999,412.200012,414.839996,249400,412.110138
"2021-04-06",417.040009,420.339996,414.190002,415.640015,479200,412.904907
"2021-04-07",414.079987,418.519989,414.079987,414.73999,329000,412.010773
"2021-04-08",417.440002,422.040009,416.970001,418.200012,381700,415.448059
"2021-04-09",420,422.98999,418.470001,421.579987,339400,418.805756
"2021-04-12",420.540009,425.799988,420.540009,425.649994,436900,422.848999
"2021-04-13",425.540009,425.540009,420.570007,421.619995,285200,418.845551
"2021-04-14",421.549988,425.51001,418.119995,419,358800,416.242737
"2021-04-15",421.160004,425,420.170013,424.950012,359400,422.153656
"2021-04-16",428.559998,428.559998,420.190002,423.290009,477200,420.504547
"2021-04-19",424.299988,426.640015,421.279999,425.459991,533700,422.660248
"2021-04-20",424.149994,427.959991,421.75,426.549988,368700,423.743103
"2021-04-21",427.01001,432.600006,425.399994,429.649994,387000,426.822693
"2021-04-22",429.48999,434.730011,428.279999,431.130005,447400,428.292969
"2021-04-23",432.589996,435.899994,429.970001,434.220001,346600,431.362579
