"","NEM.Open","NEM.High","NEM.Low","NEM.Close","NEM.Volume","NEM.Adjusted"
"2021-04-08",62.330002,62.849998,61.709999,61.799999,6986100,59.258167
"2021-04-09",60.919998,61.790001,60.82,61.509998,4883700,58.980095
"2021-04-12",61.25,61.369999,60.43,60.610001,5368100,58.117111
"2021-04-13",60.880001,62.419998,60.790001,62.25,6028300,59.689659
"2021-04-14",62.380001,62.66,61.669998,61.849998,3976100,59.306114
"2021-04-15",62.599998,65.209999,62.43,64.779999,7805200,62.115597
"2021-04-16",65.559998,65.870003,64.900002,65.410004,6398600,62.719692
"2021-04-19",65.199997,65.290001,64.129997,64.849998,5471500,62.182724
"2021-04-20",64.959999,66.32,64.720001,65.839996,5788900,63.132
"2021-04-21",66.029999,66.989998,65.610001,66.82,5169400,64.071701
"2021-04-22",66.220001,66.389999,65.220001,65.699997,4785800,62.997757
"2021-04-23",66.400002,66.639999,65.489998,65.720001,4877800,63.016941
"2021-04-26",65.730003,65.809998,65.160004,65.279999,4052700,62.595036
"2021-04-27",65.18,65.370003,64.139999,64.209999,4396100,61.569042
"2021-04-28",63.779999,64.75,63.540001,64.199997,5609200,61.559456
"2021-04-29",63.240002,63.549999,60.849998,62.310001,8363300,59.747192
"2021-04-30",62.040001,63.060001,61.970001,62.41,5186000,59.843079
"2021-05-03",63.48,64.870003,63.139999,64.459999,5898800,61.808758
"2021-05-04",64.349998,65.410004,63.439999,64.019997,5960300,61.38686
"2021-05-05",64.529999,65.010002,63.610001,64.839996,5450800,62.17313
"2021-05-06",65.559998,67.019997,65.559998,66.889999,8615700,64.138809
"2021-05-07",67.610001,67.959999,66.580002,67.330002,8077200,64.560722
"2021-05-10",68.5,69.470001,68.089996,68.349998,9143400,65.538765
"2021-05-11",67.660004,68.879997,67.019997,68.779999,6323200,65.951073
"2021-05-12",69.169998,69.389999,67.760002,67.860001,5649700,65.068924
"2021-05-13",67.5,69.330002,67.169998,68.919998,5325200,66.085312
"2021-05-14",69.610001,70.919998,69.220001,70.75,6538700,67.840057
"2021-05-17",71.25,74.239998,70.709999,74,17584300,70.956375
"2021-05-18",73.879997,74.779999,73.029999,74.379997,8940800,71.320747
"2021-05-19",73.900002,75.309998,72.940002,73.660004,11686800,70.630371
"2021-05-20",73.459999,74.339996,73.099998,73.849998,6743400,70.812553
"2021-05-21",74.25,74.459999,73.129997,73.529999,5927900,70.505714
"2021-05-24",73.849998,74.510002,73.489998,74.080002,5758600,71.033104
"2021-05-25",73.949997,74.050003,72.93,73.199997,6916900,70.189278
"2021-05-26",73.470001,74.040001,72.75,73.190002,5864900,70.179695
"2021-05-27",73.139999,73.739998,72.82,73.089996,9091100,70.083809
"2021-05-28",73.300003,73.769997,72.989998,73.480003,5352700,70.457779
"2021-06-01",73.599998,74.230003,73.089996,73.949997,5954300,70.908424
"2021-06-02",73.449997,73.779999,72.57,72.699997,6222400,70.232201
"2021-06-03",71.269997,71.379997,70.419998,71.059998,7614800,68.647865
"2021-06-04",71.489998,72.18,71.139999,71.449997,5032700,69.024628
"2021-06-07",70.93,71.720001,70.519997,71.510002,4548500,69.082588
"2021-06-08",71.330002,71.419998,69.889999,69.93,6739000,67.556221
"2021-06-09",70.019997,70.760002,69.980003,69.989998,4105900,67.614189
"2021-06-10",70.25,71.199997,70.019997,71.059998,4872400,68.647865
"2021-06-11",70.919998,71,69.919998,70.309998,4827200,67.923325
"2021-06-14",69.389999,70.18,69.07,69.830002,5654300,67.459633
"2021-06-15",69.949997,70.120003,68.75,69.080002,4858700,66.735085
"2021-06-16",69,69.669998,67.889999,68.449997,9296800,66.126465
"2021-06-17",66.82,67.050003,63.400002,63.669998,20424800,61.50872
"2021-06-18",63.43,63.869999,62.540001,62.619999,17015300,60.494362
"2021-06-21",63.240002,63.75,62.299999,63.43,10795500,61.276867
"2021-06-22",63.400002,63.75,62.77,62.919998,8930700,60.784184
"2021-06-23",63.450001,63.880001,62.619999,62.66,5248000,60.533005
"2021-06-24",63.060001,63.220001,62.27,62.299999,5388400,60.18523
"2021-06-25",62.939999,63.110001,62.549999,62.68,6138700,60.55233
