"","LNC.Open","LNC.High","LNC.Low","LNC.Close","LNC.Volume","LNC.Adjusted"
"2021-03-10",60.419998,62.07,59.98,61.52,1341300,58.965889
"2021-03-11",61,62.619999,60.700001,61.709999,1294500,59.147999
"2021-03-12",62.720001,63.139999,61.970001,62.799999,1113900,60.192745
"2021-03-15",62.630001,63.689999,61.439999,63.639999,2511100,60.997868
"2021-03-16",63.07,63.07,60.84,61.029999,3247700,58.496231
"2021-03-17",61.439999,63.16,61.200001,62.959999,1776100,60.346104
"2021-03-18",63.66,67.370003,63.490002,64.459999,4298300,61.783825
"2021-03-19",63.740002,64.980003,62.639999,63.740002,2522200,61.093727
"2021-03-22",63.18,63.380001,61.619999,62.389999,1589700,59.79977
"2021-03-23",61.68,62.18,59.09,59.540001,1646800,57.068092
"2021-03-24",60.59,61.709999,58.419998,58.509998,1423200,56.080856
"2021-03-25",58.41,60.990002,57.439999,60.919998,1224400,58.390797
"2021-03-26",61.779999,62.650002,60.66,62.139999,981100,59.560146
"2021-03-29",60.849998,61.73,59.540001,60.799999,1223200,58.275784
"2021-03-30",61.419998,63.299999,61.099998,62.709999,1311600,60.106483
"2021-03-31",62.540001,63.27,61.919998,62.27,980700,59.684753
"2021-04-01",62,62.990002,61.830002,62.900002,1125100,60.288593
"2021-04-05",63.799999,64.290001,62.18,62.549999,1484800,59.953129
"2021-04-06",62.34,63.169998,62.09,62.959999,1187000,60.346104
"2021-04-07",63.189999,63.880001,62.950001,63.779999,1044400,61.132057
"2021-04-08",63.009998,63.32,61.900002,62.970001,1142900,60.35569
"2021-04-09",63.240002,63.470001,62.189999,62.700001,874800,60.500427
"2021-04-12",63.18,63.720001,62.73,63.639999,719700,61.407452
"2021-04-13",63.16,63.32,61.91,62.889999,961100,60.683762
"2021-04-14",63.02,65.080002,62.799999,64.440002,923300,62.179386
"2021-04-15",64.610001,64.779999,63.529999,64.190002,1524100,61.93816
"2021-04-16",65,65.760002,64.610001,65.010002,1298500,62.729393
"2021-04-19",65.190002,66.25,64.57,64.779999,1097800,62.507458
"2021-04-20",63.950001,64.110001,61.279999,62.400002,1255300,60.210953
"2021-04-21",62.18,63.639999,61.599998,63.580002,1227500,61.349556
"2021-04-22",63.25,63.419998,62.240002,62.240002,1014500,60.056568
"2021-04-23",62.400002,63.98,62.18,63.619999,1537000,61.388153
"2021-04-26",64.199997,65.5,63.450001,63.900002,1075700,61.658329
"2021-04-27",63.860001,64.610001,63.57,64.550003,863500,62.28553
"2021-04-28",64.900002,65.410004,64.459999,64.790001,721500,62.517105
"2021-04-29",65.5,66.150002,64.699997,65.379997,684000,63.086411
"2021-04-30",65.010002,65.25,63.91,64.129997,1047700,61.880257
"2021-05-03",64.959999,65.589996,64.309998,64.620003,1425400,62.353069
"2021-05-04",64.32,64.739998,63.119999,64.68,941300,62.410973
"2021-05-05",65,66.629997,64.019997,66.330002,1626600,64.003082
"2021-05-06",66.949997,68.699997,65.410004,68.599998,1429100,66.193451
"2021-05-07",66.889999,69.370003,66.639999,69.300003,1541400,66.868896
"2021-05-10",70,71.190002,69.300003,69.360001,1499200,66.926788
"2021-05-11",68.75,70.059998,67.839996,68.110001,1172800,65.720634
"2021-05-12",68.760002,69.650002,66.550003,66.690002,1265100,64.350456
"2021-05-13",66.330002,69.32,66.089996,68.800003,1138700,66.386436
"2021-05-14",68.93,70.760002,68.699997,70.449997,1090600,67.978539
"2021-05-17",69.75,70.699997,69.290001,70.169998,1088500,67.708366
"2021-05-18",69.959999,70.800003,69.260002,69.339996,1795300,66.907486
"2021-05-19",68.449997,69.690002,67.029999,69.629997,1509200,67.187309
"2021-05-20",69.720001,70.050003,67.860001,68.32,1167800,65.923264
"2021-05-21",68.730003,69.739998,68.540001,68.650002,1516000,66.241692
"2021-05-24",68.900002,69.650002,68.449997,69.279999,1146700,66.849586
"2021-05-25",69.449997,70.529999,66.919998,67.160004,1607400,64.80397
"2021-05-26",67.720001,68.650002,67.150002,68.389999,1333400,65.990807
"2021-05-27",69.279999,70.239998,69.190002,69.839996,2114500,67.389938
"2021-05-28",70,70.010002,68.470001,69.790001,1013900,67.341705
"2021-06-01",70.989998,71.370003,70.32,70.839996,1273500,68.354874
"2021-06-02",71.010002,71.43,70.169998,70.93,833100,68.441711
"2021-06-03",70.519997,71.629997,70.190002,70.970001,911600,68.480316
"2021-06-04",71,71.43,70.18,71.129997,1003700,68.634689
"2021-06-07",71.370003,71.68,70.610001,71.040001,1048000,68.547859
"2021-06-08",70.290001,70.940002,68.790001,70.769997,1197900,68.287323
"2021-06-09",70.110001,70.269997,68.230003,68.279999,1484500,65.884674
