"","MAA.Open","MAA.High","MAA.Low","MAA.Close","MAA.Volume","MAA.Adjusted"
"2021-07-07",173.949997,176.990005,172.690002,176.110001,665600,171.136826
"2021-07-08",175.360001,177.839996,175.039993,177.75,530900,172.730515
"2021-07-09",178.869995,180.809998,177.559998,180.699997,481800,175.597183
"2021-07-12",180.699997,182.690002,180.330002,182.509995,543900,177.356094
"2021-07-13",182.330002,182.759995,179.759995,180.649994,397800,175.548615
"2021-07-14",179.630005,182.509995,179.630005,182.410004,359100,178.270432
"2021-07-15",182.190002,183.889999,181.839996,183.559998,282700,179.394302
"2021-07-16",184.100006,185.649994,183.940002,184.720001,384400,180.527985
"2021-07-19",183.479996,184,181.240005,182.990005,540100,178.837265
"2021-07-20",184.080002,187.350006,182.179993,186.630005,546900,182.394653
"2021-07-21",186.389999,187.330002,185.589996,185.759995,328900,181.544388
"2021-07-22",185.360001,186,184.419998,185.339996,846000,181.133926
"2021-07-23",186.110001,187.910004,185.520004,187.600006,568100,183.342636
"2021-07-26",187.050003,187.770004,185.690002,186.800003,319000,182.560791
"2021-07-27",186.440002,189.190002,185.470001,188.210007,518200,183.938812
"2021-07-28",188.580002,188.949997,187.020004,187.690002,844200,183.430603
"2021-07-29",189.800003,194.419998,188.919998,193.009995,711300,188.629837
"2021-07-30",192.710007,196.440002,191.940002,193.100006,663100,188.717834
"2021-08-02",193.919998,195.809998,193.580002,195.149994,619800,190.721283
"2021-08-03",191.160004,192.940002,190.869995,191.449997,1248500,187.105255
"2021-08-04",192.410004,192.550003,189.720001,190.259995,952400,185.942261
"2021-08-05",191.759995,192.25,188.75,191.479996,492900,187.134583
"2021-08-06",192.179993,192.339996,190.679993,191.070007,420100,186.733902
"2021-08-09",190.75,190.759995,188.919998,189.820007,290600,185.512253
"2021-08-10",189.970001,190.309998,184.770004,185.139999,795500,180.938477
"2021-08-11",185.850006,187.729996,185.410004,186.149994,390600,181.925537
"2021-08-12",186.479996,187.020004,185.550003,186.369995,535000,182.140549
"2021-08-13",186.690002,188.460007,186.309998,188.309998,323000,184.036514
"2021-08-16",188.529999,190.679993,188.210007,189.550003,393400,185.248398
"2021-08-17",188.820007,189.660004,187.380005,189.229996,390100,184.935638
"2021-08-18",188.130005,188.979996,185.619995,186.699997,663500,182.463058
"2021-08-19",185.860001,188.300003,185.610001,188.289993,311900,184.016968
"2021-08-20",188.309998,190.580002,186.479996,190.279999,864700,185.961823
"2021-08-23",190.289993,191.220001,188.149994,188.559998,510700,184.280838
"2021-08-24",188.399994,188.880005,185.770004,186.270004,438600,182.042831
"2021-08-25",186.360001,189.149994,185.669998,187.600006,368700,183.342636
"2021-08-26",187.899994,189.550003,187.449997,188.979996,316400,184.691315
"2021-08-27",190,190.820007,189.130005,189.210007,367700,184.916122
"2021-08-30",189.509995,192.720001,189.110001,192.630005,402800,188.258484
"2021-08-31",192.369995,193.119995,191.270004,192.369995,690600,188.004379
"2021-09-01",192.809998,196.639999,192.449997,196.179993,646200,191.727921
"2021-09-02",196.960007,197.5,194.240005,196.279999,686000,191.825653
"2021-09-03",195.759995,196.539993,193.389999,196.139999,527000,191.688828
"2021-09-07",196,196,191.080002,192.419998,521000,188.053253
"2021-09-08",191.470001,196.009995,191.470001,195.460007,438600,191.024277
"2021-09-09",194.740005,195.419998,191.770004,191.860001,320600,187.505951
"2021-09-10",192.229996,192.229996,189.460007,189.490005,346300,185.189758
"2021-09-13",191.389999,191.990005,189.610001,190.110001,332600,185.795685
"2021-09-14",190.220001,192.300003,190.139999,191.580002,534700,187.232315
"2021-09-15",191.779999,193.830002,190.949997,191.149994,557400,186.812057
"2021-09-16",191.050003,192.520004,189.320007,191.350006,402700,187.007553
"2021-09-17",190.910004,191.470001,187.460007,187.479996,1171300,183.225372
"2021-09-20",186.139999,189.490005,185.389999,188.100006,629400,183.831299
"2021-09-21",189.440002,190.429993,187.970001,188.009995,398800,183.743317
"2021-09-22",189.550003,191.229996,189.020004,190.279999,687500,185.961823
"2021-09-23",191.070007,192.740005,190.649994,191.220001,379500,186.880463
"2021-09-24",190.410004,191.979996,189.119995,189.279999,394900,184.984512
"2021-09-27",189.729996,191.529999,186.029999,186.100006,416400,181.876678
"2021-09-28",184.899994,187.350006,183.710007,186.589996,452600,182.35556
"2021-09-29",187.589996,190.679993,187.589996,189.949997,382100,185.639313
"2021-09-30",190.919998,190.940002,186.690002,186.75,654500,182.511917
"2021-10-01",188.020004,190.289993,185.320007,189.220001,372300,184.925858
"2021-10-04",188.850006,191.589996,187.350006,190.580002,561200,186.255005
"2021-10-05",191.449997,191.449997,188.070007,189.669998,558300,185.365662
"2021-10-06",188.800003,192.169998,185.330002,192.100006,433300,187.740524
"2021-10-07",193.419998,194.350006,191.160004,191.839996,376700,187.486404
"2021-10-08",191.429993,193.559998,190.710007,191.179993,375700,186.8414
"2021-10-11",191.169998,192.320007,189.470001,191.059998,279400,186.724121
"2021-10-12",192.259995,194.419998,190.889999,193.539993,376600,189.147827
"2021-10-13",191.529999,196.309998,191.529999,196.169998,378200,191.718155
"2021-10-14",196.169998,198.789993,195.380005,198.699997,336100,195.210709
"2021-10-15",199.720001,200.059998,196.389999,197.559998,321700,194.090744
"2021-10-18",196.649994,199.089996,195.75,198.559998,289700,195.073181
"2021-10-19",199.149994,199.410004,196.729996,197.210007,234600,193.746902
