"","EXC.Open","EXC.High","EXC.Low","EXC.Close","EXC.Volume","EXC.Adjusted"
"2021-01-04",30.256777,30.342367,29.136948,29.365192,7057107,27.960632
"2021-01-05",29.393723,29.579172,29.129814,29.322397,5563557,27.919882
"2021-01-06",29.529243,30.53495,29.472183,30.278173,8847461,28.829943
"2021-01-07",30.278173,30.356632,29.764622,29.978601,7322786,28.544699
"2021-01-08",29.964336,30.249643,29.885878,30.106991,6425086,28.666946
"2021-01-11",30.135521,30.356632,29.679029,29.857347,7070146,28.429245
"2021-01-12",29.793154,30.085592,29.536377,30.014265,7343396,28.578657
"2021-01-13",29.964336,30.634808,29.921541,30.527817,6263155,29.067646
"2021-01-14",30.520685,30.677603,30.192581,30.370899,6068557,28.918232
"2021-01-15",30.192581,31.012838,30.05706,30.927246,7095382,29.447971
"2021-01-19",31.034237,31.126961,30.542084,30.542084,5806383,29.081232
"2021-01-20",30.427959,30.756063,30.271042,30.706135,5904663,29.237434
"2021-01-21",30.527817,30.870186,30.306705,30.684736,5138751,29.21706
"2021-01-22",30.542084,30.634808,30.228245,30.342367,5874100,28.891066
"2021-01-25",30.249643,30.955776,30.014265,30.920115,8490232,29.441179
"2021-01-26",30.870186,30.870186,30.278173,30.56348,6246891,29.101603
"2021-01-27",30.349501,30.549215,29.201141,29.258204,10024861,27.858761
"2021-01-28",29.365192,30.556349,29.243937,29.985735,7455275,28.551493
"2021-01-29",29.679029,29.950071,29.243937,29.643368,9616178,28.2255
"2021-02-01",29.864479,30.18545,29.400856,30.014265,5117580,28.578657
"2021-02-02",30.292439,30.984308,30.014265,30.56348,5452799,29.101603
"2021-02-03",30.56348,30.613409,30.085592,30.299572,6773623,28.850317
"2021-02-04",30.313837,31.155493,30.228245,31.148359,6345873,29.658508
"2021-02-05",31.362341,31.412268,30.877317,31.155493,5577717,29.6653
"2021-02-08",31.212553,31.362341,31.034237,31.198288,6049209,29.706047
"2021-02-09",31.333809,31.383738,30.891582,31.077032,6179876,29.590591
"2021-02-10",31.262482,31.298145,30.706135,30.898716,5971118,29.420805
"2021-02-11",30.991442,30.991442,30.427959,30.485022,4844050,29.026896
"2021-02-12",30.399429,30.649073,29.964336,30.106991,4825684,28.666946
"2021-02-16",30.064194,30.235378,29.871613,29.94294,4501121,28.510744
"2021-02-17",29.907274,30.171185,29.614836,30.078459,4434526,28.63978
"2021-02-18",30.05706,30.663338,30,30.456491,4895924,28.999735
"2021-02-19",29.964336,30.171185,29.379457,29.514978,7477847,28.103251
"2021-02-22",29.379457,29.393723,28.651926,28.958632,8769931,27.573517
"2021-02-23",29.136948,29.272469,28.766048,29.101284,7161696,27.709345
"2021-02-24",28.552069,29.429386,28.53067,28.666191,10911345,27.295063
"2021-02-25",28.466476,28.53067,27.353781,27.760342,12977333,26.432543
"2021-02-26",27.853067,28.159773,27.510698,27.532097,12291334,26.215214
"2021-03-01",27.845934,28.445078,27.817404,28.038515,7502523,26.697409
"2021-03-02",28.024252,28.31669,28.009987,28.038515,8090101,26.697409
"2021-03-03",27.895863,28.345221,27.710415,28.195435,8686091,26.846825
"2021-03-04",28.345221,28.908703,28.052782,28.366619,11423776,27.009821
"2021-03-05",28.195435,28.373753,27.910128,28.273893,10990839,27.183315
"2021-03-08",28.238232,29.365192,28.138374,29.022825,12526730,27.903358
"2021-03-09",29.258204,29.750357,28.915834,29.621969,10012523,28.479393
"2021-03-10",29.728958,30.014265,29.43652,29.857347,10598279,28.705692
"2021-03-11",29.807419,30.456491,29.736092,29.978601,8443685,28.822268
"2021-03-12",30.21398,30.435093,29.985735,30.378031,6687260,29.206291
"2021-03-15",30.577745,30.948645,30.420828,30.927246,7007336,29.734324
"2021-03-16",30.741796,31.041368,30.56348,30.927246,7854845,29.734324
"2021-03-17",31.019972,31.019972,30.492153,30.649073,7675389,29.466877
"2021-03-18",30.470757,30.877317,30.328102,30.456491,8114355,29.281729
"2021-03-19",30.56348,30.841656,30.092726,30.649073,11841572,29.466877
"2021-03-22",30.492153,30.663338,30.306705,30.520685,7443218,29.343445
"2021-03-23",30.584879,30.770329,30.335236,30.527817,6781194,29.3503
"2021-03-24",30.449358,30.984308,30.406563,30.620543,6212542,29.439447
"2021-03-25",30.884451,31.084166,30.542084,30.93438,5877044,29.741182
"2021-03-26",31.019972,31.134094,30.684736,31.048502,5602532,29.850903
"2021-03-29",30.848787,31.369473,30.848787,31.205421,6158005,30.001768
"2021-03-30",31.048502,31.134094,30.734665,31.027103,6022011,29.830328
"2021-03-31",30.927246,31.305279,30.884451,31.198288,8414524,29.994909
"2021-04-01",31.176889,31.369473,31.034237,31.319544,5773716,30.11149
"2021-04-05",31.390869,31.918688,31.348074,31.726107,6254883,30.502371
"2021-04-06",31.640514,31.897289,31.512127,31.783167,5674315,30.557228
"2021-04-07",31.868759,32.146935,31.811699,32.06134,6451864,30.824673
"2021-04-08",32.139801,32.296719,32.00428,32.025677,8359145,30.790384
"2021-04-09",32.00428,32.182594,31.897289,31.975748,6180296,30.742384
"2021-04-12",32.097004,32.239658,31.825962,31.911554,6505280,30.680666
"2021-04-13",31.811699,32.325249,31.740372,32.218262,7324889,30.975542
"2021-04-14",32.261055,32.425106,32.125534,32.417973,5405411,31.167549
"2021-04-15",32.396576,32.703281,32.289585,32.646221,8309654,31.386992
"2021-04-16",32.824535,33.074181,32.667618,32.924393,6949574,31.654436
"2021-04-19",32.960056,33.009987,32.396576,32.453636,6734787,31.201838
"2021-04-20",32.389442,32.753208,32.389442,32.667618,8702635,31.407566
"2021-04-21",32.653351,32.810272,32.453636,32.582027,6731563,31.325277
"2021-04-22",32.610558,32.624821,32.111271,32.154064,6306617,30.91382
"2021-04-23",32.196861,32.303852,32.011414,32.03281,6089867,30.797243
"2021-04-26",32.025677,32.08987,31.7903,31.847361,4333442,30.618946
"2021-04-27",31.854494,31.918688,31.661913,31.768902,5104542,30.543512
"2021-04-28",31.690441,31.854494,31.547789,31.81883,6548602,30.591516
"2021-04-29",31.654779,32.168331,31.654779,32.018543,6000700,30.783527
"2021-04-30",32.018543,32.082741,31.833096,32.054207,7245676,30.817814
"2021-05-03",32.268188,32.417973,31.947218,32.018543,6877651,30.783527
"2021-05-04",32.00428,32.075607,31.733238,31.940086,9035469,30.708097
"2021-05-05",31.569187,31.990013,30.670471,31.048502,11871996,29.850903
"2021-05-06",31.034237,31.754637,30.770329,31.726107,6996681,30.502371
"2021-05-07",31.804565,32.203995,31.68331,31.868759,6813019,30.639519
"2021-05-10",31.990013,32.225391,31.726107,31.754637,9615337,30.5298
"2021-05-11",31.847361,31.940086,31.262482,31.697575,8099775,30.474939
"2021-05-12",31.483595,31.804565,30.634808,30.74893,9175109,29.562885
"2021-05-13",30.606277,31.754637,30.527817,31.676176,10308485,30.727354
"2021-05-14",31.776033,32.196861,31.704708,32.161198,8367136,31.197849
"2021-05-17",32.08987,32.275322,31.875893,32.161198,10440133,31.197849
"2021-05-18",32.097004,32.617687,32.018543,32.560627,11618094,31.585312
"2021-05-19",32.46077,32.91013,32.139801,32.482166,21836290,31.509203
"2021-05-20",32.482166,32.831669,32.417973,32.624821,7008177,31.647585
"2021-05-21",32.760342,32.91013,32.43224,32.696148,7028927,31.716774
"2021-05-24",32.817406,33.002853,32.603424,32.831669,7096644,31.848236
"2021-05-25",32.895863,32.895863,31.961485,32.03281,7094400,31.073307
"2021-05-26",32.03281,32.389442,32.00428,32.218262,8287643,31.253202
"2021-05-27",32.43224,32.43224,31.776033,31.811699,11264649,30.858816
"2021-05-28",32.018543,32.289585,31.918688,32.182594,6815963,31.218601
"2021-06-01",32.08987,32.282455,31.975748,32.196861,7371015,31.232443
"2021-06-02",32.282455,32.467903,32.097004,32.239658,5738106,31.273958
"2021-06-03",31.291014,32.738945,31.205421,32.646221,10669781,31.668343
"2021-06-04",32.574894,32.731812,32.425106,32.524963,5791662,31.550718
"2021-06-07",32.574894,32.753208,32.5107,32.710415,4829750,31.730616
"2021-06-08",32.738945,32.788872,32.546364,32.631954,5589634,31.654505
"2021-06-09",32.796005,33.131241,32.617687,33.067047,5777922,32.076565
"2021-06-10",33.316689,33.495007,33.08131,33.316689,7587344,32.318726
"2021-06-11",33.281029,33.466476,33.138374,33.459343,6427189,32.457108
"2021-06-14",33.509274,33.616261,33.181171,33.601997,6991634,32.595493
"2021-06-15",33.666191,33.694721,33.466476,33.601997,9044723,32.595493
"2021-06-16",33.544937,33.780315,32.767475,32.952923,8575473,31.96586
"2021-06-17",32.981457,33.238232,32.803139,32.810272,6573838,31.82748
"2021-06-18",32.703281,32.731812,31.733238,31.776033,16531543,30.824221
"2021-06-21",31.7903,32.054207,31.740372,31.890158,7466772,30.934927
"2021-06-22",31.81883,31.897289,31.583452,31.619116,5861482,30.672003
