"","HAL.Open","HAL.High","HAL.Low","HAL.Close","HAL.Volume","HAL.Adjusted"
"2021-06-04",24.83,25,24.27,24.719999,10380000,24.458118
"2021-06-07",24.68,24.959999,24.18,24.299999,5643600,24.042564
"2021-06-08",24.110001,24.52,23.780001,24.41,6459300,24.151402
"2021-06-09",24.5,24.65,24.190001,24.26,5067900,24.002991
"2021-06-10",24.530001,24.700001,23.66,23.91,5863600,23.656698
"2021-06-11",24.110001,24.309999,23.870001,24.030001,4832100,23.775429
"2021-06-14",24.17,24.360001,23.440001,23.6,5402300,23.349983
"2021-06-15",23.5,24.33,23.5,24.190001,10108100,23.933731
"2021-06-16",24.030001,24.440001,23.690001,24.1,8582500,23.844687
"2021-06-17",24.07,24.32,22.25,22.719999,12237900,22.479303
"2021-06-18",22.219999,22.5,21.92,21.99,11542200,21.757038
"2021-06-21",22.26,23.49,22.219999,23.35,9360000,23.102633
"2021-06-22",23.200001,23.59,22.92,23.49,5495400,23.241148
"2021-06-23",23.82,24.4,23.5,23.51,8914400,23.260937
"2021-06-24",23.66,23.889999,23.309999,23.799999,7406100,23.547863
"2021-06-25",23.84,24.09,23.809999,23.940001,7052200,23.686382
"2021-06-28",23.82,23.84,22.639999,22.709999,8073800,22.469412
"2021-06-29",22.870001,23.26,22.65,22.67,6486300,22.429834
"2021-06-30",22.83,23.15,22.67,23.120001,6027600,22.875069
"2021-07-01",23.950001,24.17,23.57,23.799999,8785800,23.547863
"2021-07-02",23.690001,23.940001,23.530001,23.780001,5886300,23.528076
"2021-07-06",23.620001,23.700001,22.120001,22.23,11093800,21.994495
"2021-07-07",22.040001,22.459999,21.33,21.620001,11298900,21.390959
"2021-07-08",21.120001,21.790001,21.030001,21.610001,8139700,21.381065
"2021-07-09",22.01,22.469999,21.709999,22.379999,7624600,22.142908
"2021-07-12",22.040001,22.65,21.68,22.42,6528000,22.182484
"2021-07-13",22.25,22.459999,21.940001,22.09,5851900,21.85598
"2021-07-14",22.34,22.66,21.290001,21.450001,8623800,21.222761
"2021-07-15",21.139999,21.49,20.639999,20.690001,10354700,20.470812
"2021-07-16",21,21.059999,20.01,20.059999,9972900,19.847485
"2021-07-19",19.129999,19.639999,18.889999,19.360001,15725000,19.154902
"2021-07-20",19.6,20.48,19.25,20.07,14655300,19.857376
"2021-07-21",20.92,21.15,20.51,20.77,14650800,20.549967
"2021-07-22",20.780001,20.809999,20.18,20.549999,8388000,20.332291
"2021-07-23",20.620001,20.66,19.82,20.110001,12404500,19.896957
"2021-07-26",20.07,20.790001,20.07,20.690001,8904700,20.470812
"2021-07-27",20.379999,20.82,20.209999,20.639999,10540600,20.421341
"2021-07-28",20.73,21.389999,20.57,21.09,12236800,20.866573
"2021-07-29",21.360001,21.51,21.040001,21.25,6322700,21.024878
"2021-07-30",21.09,21.280001,20.540001,20.68,8744200,20.460917
"2021-08-02",20.700001,21.370001,20.139999,20.16,10261800,19.946424
"2021-08-03",20,20.379999,19.52,20.370001,11351700,20.154202
"2021-08-04",19.860001,20.030001,19.15,19.200001,15275900,18.996597
"2021-08-05",19.41,19.73,19.24,19.48,8275900,19.273628
"2021-08-06",19.73,20.110001,19.6,20,7102600,19.78812
"2021-08-09",19.58,19.84,19.26,19.690001,7579400,19.481403
"2021-08-10",19.809999,20.360001,19.73,20.209999,6891200,19.995893
"2021-08-11",20.049999,20.700001,19.85,20.629999,5926900,20.411448
"2021-08-12",20.65,20.780001,20.02,20.440001,6859100,20.223459
"2021-08-13",20.370001,20.450001,20.049999,20.129999,6133600,19.916742
"2021-08-16",19.74,19.799999,19.33,19.65,6993700,19.441828
"2021-08-17",19.459999,19.76,18.91,19.17,6375200,18.966913
"2021-08-18",19.299999,19.49,18.860001,18.9,7223300,18.699774
"2021-08-19",18.549999,18.690001,17.860001,18.15,12278900,17.95772
"2021-08-20",17.870001,18.309999,17.82,18.209999,6870500,18.017082
"2021-08-23",18.82,19.34,18.73,19.209999,8109900,19.006489
"2021-08-24",19.51,20.24,19.49,20.049999,9608500,19.837591
"2021-08-25",20.049999,20.290001,19.799999,20.17,6311700,19.956318
"2021-08-26",19.950001,20.190001,19.709999,19.77,4930500,19.560558
"2021-08-27",20.059999,20.75,20.02,20.549999,6450700,20.332291
"2021-08-30",20.940001,20.98,20.16,20.16,5833000,19.946424
"2021-08-31",20,20.389999,19.9,19.98,8305000,19.812557
"2021-09-01",19.969999,20.059999,19.620001,19.690001,5499900,19.524986
"2021-09-02",19.950001,20.559999,19.950001,20.459999,6887000,20.288534
"2021-09-03",20.370001,20.66,20.07,20.17,4740500,20.000963
"2021-09-07",19.959999,20.370001,19.870001,19.91,6024700,19.743145
"2021-09-08",20.120001,20.35,19.290001,19.35,6859800,19.187838
"2021-09-09",19.290001,19.809999,19.09,19.32,7402800,19.158089
"2021-09-10",19.610001,19.77,19.309999,19.530001,5719500,19.366329
"2021-09-13",19.84,20.540001,19.84,20.440001,7631600,20.268703
"2021-09-14",20.700001,20.74,19.98,20.07,6438900,19.9018
"2021-09-15",20.370001,21.059999,20.27,20.799999,9577400,20.625685
"2021-09-16",20.68,20.76,20.299999,20.59,5919400,20.417444
"2021-09-17",20.49,20.85,20.18,20.27,12225900,20.100126
"2021-09-20",19.559999,19.92,19.120001,19.6,7875800,19.435741
"2021-09-21",19.9,20.049999,19.290001,19.48,6127000,19.316746
"2021-09-22",19.85,20.25,19.73,19.75,8456500,19.584484
"2021-09-23",19.91,20.959999,19.76,20.809999,7937100,20.635601
"2021-09-24",20.690001,21.190001,20.67,21,6122100,20.824009
