"","EXR.Open","EXR.High","EXR.Low","EXR.Close","EXR.Volume","EXR.Adjusted"
"2020-12-28",114.800003,114.800003,112.730003,113.800003,464000,108.925079
"2020-12-29",114,114.839996,112.610001,113.809998,362200,108.934654
"2020-12-30",113.989998,115.199997,113.769997,114.709999,622300,109.796097
"2020-12-31",114.889999,116.010002,113.260002,115.860001,603100,110.896835
"2021-01-04",115.730003,116.150002,110.199997,110.290001,772900,105.565437
"2021-01-05",110.050003,111,108.519997,108.879997,794800,104.215836
"2021-01-06",108.540001,109.480003,106.559998,108.709999,948900,104.053123
"2021-01-07",108.419998,109.190002,107.779999,108.970001,885000,104.301987
"2021-01-08",109.349998,112.220001,109.269997,112.050003,731000,107.250046
"2021-01-11",111.639999,112.010002,110.129997,111.349998,504300,106.580032
"2021-01-12",110.970001,112.629997,110.360001,111.900002,601300,107.106476
"2021-01-13",111.25,112.959999,111.010002,111.860001,946100,107.068184
"2021-01-14",112.160004,112.18,109.419998,110.279999,1021700,105.555862
"2021-01-15",110.57,112.339996,109.860001,112.18,1147900,107.374481
"2021-01-19",112.459999,112.57,110.93,111.660004,560400,106.876755
"2021-01-20",111.25,115.190002,110.57,114.809998,820100,109.891815
"2021-01-21",113.800003,115.220001,113.440002,114.690002,631300,109.776955
"2021-01-22",114.699997,115.940002,113.989998,115.410004,960500,110.466118
"2021-01-25",115.25,116.809998,114.190002,115.949997,659200,110.982964
"2021-01-26",115.940002,117.459999,115.480003,116.980003,818600,111.968857
"2021-01-27",116.43,117.93,114.470001,115.120003,760900,110.18853
"2021-01-28",115.010002,116.330002,113.230003,113.279999,724600,108.427361
"2021-01-29",112.620003,115.290001,111.540001,113.790001,1106700,108.915512
"2021-02-01",114.82,116.699997,112.730003,116.620003,775200,111.624275
"2021-02-02",116.580002,117.580002,115.139999,117.120003,811200,112.102859
"2021-02-03",116.32,116.690002,114.5,116.010002,569300,111.040413
"2021-02-04",116.589996,118.169998,115.82,116.940002,600300,111.930573
"2021-02-05",117.339996,117.339996,116.18,116.620003,679900,111.624275
"2021-02-08",116.419998,117.25,115.730003,117.18,435200,112.160286
"2021-02-09",117.690002,119.709999,117.290001,119.650002,403800,114.524475
"2021-02-10",120.870003,120.989998,117.629997,118.309998,537900,113.241882
"2021-02-11",117.629997,118.400002,117.089996,117.730003,663100,112.686729
"2021-02-12",117.550003,117.550003,115.870003,116.879997,468500,111.873138
"2021-02-16",116.800003,117.93,115.129997,117.190002,939800,112.169868
"2021-02-17",117.269997,118.440002,116.489998,117.779999,642100,112.734581
"2021-02-18",117.169998,119.93,117.169998,118.330002,692200,113.261032
"2021-02-19",118.699997,120.370003,117.349998,119.629997,2001200,114.505333
"2021-02-22",119.360001,121.830002,118.389999,120.739998,1224300,115.567795
"2021-02-23",126,131.059998,125.18,126.5,1260300,121.081047
"2021-02-24",126.440002,129.520004,125.949997,127.099998,864000,121.655334
"2021-02-25",126.870003,131.589996,126.870003,129.529999,941100,123.981247
"2021-02-26",129.190002,130.600006,125.559998,125.699997,1144400,120.315315
"2021-03-01",126.82,128.589996,123.730003,123.790001,900400,118.487137
