"","RMD.Open","RMD.High","RMD.Low","RMD.Close","RMD.Volume","RMD.Adjusted"
"2021-03-17",191.259995,192.100006,189.610001,191.470001,584800,189.755554
"2021-03-18",190.009995,191.100006,184.850006,185.089996,627300,183.432648
"2021-03-19",185.619995,186.410004,184.610001,185.600006,1036700,183.93811
"2021-03-22",185.169998,189.839996,184.729996,189.789993,451000,188.090591
"2021-03-23",191.070007,192.229996,188.929993,190.740005,574200,189.032089
"2021-03-24",193.509995,195.460007,191.389999,192.179993,860700,190.459167
"2021-03-25",191.990005,191.990005,186.089996,187.529999,661500,185.8508
"2021-03-26",186.639999,191.039993,185.610001,190.929993,418700,189.220352
"2021-03-29",190,192.419998,189.589996,191.050003,597800,189.339294
"2021-03-30",190.029999,191.190002,187.190002,189.309998,495400,187.614883
"2021-03-31",191.339996,195.869995,190.410004,194.020004,827100,192.2827
"2021-04-01",194.139999,194.979996,192.470001,194.440002,485700,192.698944
"2021-04-05",196.149994,196.520004,194.089996,195.110001,470300,193.362946
"2021-04-06",195.330002,197.289993,194.889999,196.289993,678000,194.532379
"2021-04-07",196.990005,198.699997,195.789993,197.119995,637200,195.354935
"2021-04-08",198.610001,198.809998,196.570007,197.240005,579200,195.473892
"2021-04-09",198.089996,199.169998,197.440002,199.160004,392900,197.376694
"2021-04-12",198.470001,201.839996,198.470001,201.740005,453100,199.933578
"2021-04-13",202,206.089996,201.169998,205.449997,657800,203.610352
"2021-04-14",205.080002,208.929993,205.080002,207.679993,933400,205.820404
"2021-04-15",207.449997,208.279999,203.75,204.199997,690300,202.371536
"2021-04-16",205.630005,207.820007,204.479996,207.509995,475400,205.651886
"2021-04-19",206.630005,207,204.600006,205.660004,398500,203.818481
"2021-04-20",206.050003,207.380005,204.889999,205.699997,349500,203.858124
"2021-04-21",206.880005,208.990005,206.389999,208.509995,267400,206.642944
"2021-04-22",208.380005,209.869995,207.320007,208.220001,327300,206.355576
"2021-04-23",208.800003,209.570007,207.229996,209.300003,280500,207.425888
