"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume","FMC.Adjusted"
"2021-03-17",108.260002,110.169998,107.93,109.370003,601400,106.391632
"2021-03-18",109.300003,111.959999,108.75,110.099998,743600,107.101753
"2021-03-19",110.5,110.910004,108.660004,109.889999,1238100,106.897476
"2021-03-22",109.970001,110.68,108.57,110.300003,828400,107.29631
"2021-03-23",109.629997,110.370003,107.480003,108.019997,902200,105.0784
"2021-03-24",108.300003,111.050003,108.300003,109.510002,751100,106.527824
"2021-03-25",109.07,111.580002,108.220001,110.849998,741100,107.831337
"2021-03-26",111.769997,113.910004,111.300003,113.769997,667400,110.671806
"2021-03-29",113.410004,113.989998,111.93,112.699997,1009600,109.630943
"2021-03-30",111.989998,112.599998,110.279999,111.019997,690300,108.458633
"2021-03-31",111.019997,111.489998,109.620003,110.610001,807700,108.058098
"2021-04-01",111.389999,112.360001,109.949997,111.919998,660600,109.337868
"2021-04-05",112.690002,114.169998,112.139999,113.830002,708400,111.203812
"2021-04-06",113.370003,114.220001,112.550003,112.830002,784300,110.226883
"2021-04-07",112.989998,113.160004,111.239998,111.529999,610900,108.956871
"2021-04-08",111.580002,112.129997,110.849998,111.489998,652600,108.917778
"2021-04-09",112.010002,112.220001,111.040001,111.879997,580200,109.29879
"2021-04-12",112.269997,113.160004,111.690002,112.400002,789900,109.806801
"2021-04-13",112.160004,112.739998,110.309998,110.75,618900,108.194878
"2021-04-14",110.57,111.989998,110.57,111.190002,591800,108.624718
"2021-04-15",112.07,112.779999,111.779999,112.470001,611800,109.875175
"2021-04-16",113.629997,115.080002,112.870003,113.639999,755400,111.018188
"2021-04-19",113.889999,114.169998,111.800003,112.82,548500,110.217102
"2021-04-20",112.93,113.949997,112.029999,113,548200,110.39296
"2021-04-21",112.769997,114.919998,112.559998,114.860001,425700,112.210045
"2021-04-22",114.599998,114.800003,113.150002,113.459999,569800,110.842346
"2021-04-23",113.879997,116.239998,113.339996,115.900002,472500,113.226051
"2021-04-26",116.489998,117.769997,116.230003,117.68,973500,114.964989
"2021-04-27",117.540001,119.150002,117.209999,118.669998,688300,115.932144
"2021-04-28",118.75,119.849998,118.300003,119.230003,802700,116.479233
"2021-04-29",120,120.720001,118.910004,120.230003,750600,117.456154
"2021-04-30",119.940002,120.440002,117.510002,118.239998,969600,115.512062
