"","STE.Open","STE.High","STE.Low","STE.Close","STE.Volume","STE.Adjusted"
"2021-06-08",195.270004,195.880005,190.860001,195.710007,1045800,194.211426
"2021-06-09",195.910004,196.550003,194.639999,195.539993,771100,194.042709
"2021-06-10",195.800003,199,195.800003,198.229996,1007900,196.712112
"2021-06-11",198.820007,200.119995,197.649994,198.529999,558900,197.009811
"2021-06-14",198.710007,199.479996,197.440002,198.369995,1027900,196.851044
"2021-06-15",198.979996,199.419998,196.720001,198.220001,718800,196.702179
"2021-06-16",198.429993,200.820007,198.080002,198.839996,517500,197.317429
"2021-06-17",198.839996,201.949997,198.559998,200.279999,535200,198.746429
"2021-06-18",199.600006,200.389999,197.539993,199.119995,849900,197.595291
"2021-06-21",200.070007,201.550003,197.649994,201.360001,654100,199.818146
"2021-06-22",201.990005,205.300003,201.360001,204.5,539200,202.934097
"2021-06-23",204.220001,206.440002,203.059998,205.580002,524600,204.005829
"2021-06-24",207.270004,207.270004,204.089996,204.130005,616200,202.566925
"2021-06-25",204.559998,207.240005,204.559998,206.800003,514900,205.216492
"2021-06-28",207,207.820007,205.660004,207.229996,414500,205.643204
"2021-06-29",208,208.130005,205.720001,206.460007,421800,204.879089
"2021-06-30",206.509995,207.110001,204.589996,206.300003,534700,204.720337
"2021-07-01",206.029999,209.050003,206.029999,208.949997,412000,207.350037
"2021-07-02",209.699997,210,207.850006,209.630005,341500,208.024826
"2021-07-06",208.940002,210.759995,207.929993,210.720001,581800,209.106476
"2021-07-07",210.970001,213.440002,209.279999,213.350006,476200,211.716354
"2021-07-08",211.75,211.949997,210.100006,211.300003,367900,209.682037
"2021-07-09",211.710007,212.949997,210.279999,211.240005,439000,209.622498
"2021-07-12",210.75,211.899994,210.020004,210.800003,489700,209.185867
"2021-07-13",210.619995,211.029999,208.220001,208.720001,300800,207.12178
"2021-07-14",208.949997,209.570007,207,208,342800,206.407303
"2021-07-15",206.529999,207.699997,204.270004,206.539993,379400,204.958481
"2021-07-16",207.740005,209.240005,206.520004,207.699997,305600,206.109589
"2021-07-19",205.970001,207.580002,202.960007,204.300003,404800,202.735641
"2021-07-20",204.789993,210.110001,204.789993,208.350006,402200,206.754639
"2021-07-21",209.520004,209.949997,206.830002,209.850006,315400,208.243149
"2021-07-22",210.470001,212.25,209.729996,212.169998,295600,210.54538
"2021-07-23",213.259995,213.889999,211.729996,212.470001,354000,210.843063
"2021-07-26",211.610001,213.520004,209.880005,211.690002,255700,210.069061
"2021-07-27",211.679993,214.970001,211.309998,214.860001,315400,213.214783
"2021-07-28",214.960007,215.5,213.610001,214.279999,433600,212.639221
"2021-07-29",215.289993,217.339996,214.399994,216.770004,423500,215.110168
"2021-07-30",216.770004,219.539993,216.100006,217.949997,349700,216.281113
"2021-08-02",219.029999,219.979996,217.860001,218.330002,376900,216.658218
"2021-08-03",218.429993,219.339996,216.410004,218.940002,363200,217.263535
"2021-08-04",218.289993,219.509995,216.039993,216.470001,360700,214.812439
"2021-08-05",217.059998,217.259995,214.179993,215.529999,578600,213.879639
"2021-08-06",214.929993,216.770004,214.289993,216.289993,688800,214.633835
"2021-08-09",217.130005,217.130005,214.619995,215.009995,700300,213.363617
"2021-08-10",217,225.479996,214.880005,217.619995,755800,215.953629
"2021-08-11",217.410004,219.259995,216.669998,217.580002,429600,215.913956
"2021-08-12",216.889999,218.610001,216.190002,218.169998,489200,216.49942
"2021-08-13",218.440002,220.339996,217.910004,218.850006,294100,217.17424
"2021-08-16",219.119995,222.259995,218.199997,221.960007,409600,220.260422
"2021-08-17",221.770004,226,221.580002,225.820007,540900,224.090866
"2021-08-18",225.300003,225.669998,216.160004,216.279999,695700,214.623901
