"","MET.Open","MET.High","MET.Low","MET.Close","MET.Volume","MET.Adjusted"
"2020-11-19",45.189999,45.650002,44.59,45.509998,5361700,43.445984
"2020-11-20",45.290001,46,44.75,45.869999,8213400,43.789661
"2020-11-23",46.470001,47.360001,46.369999,47.169998,4406800,45.030701
"2020-11-24",48,48.84,47.509998,48.669998,6510700,46.462669
"2020-11-25",48.080002,48.18,47.27,47.759998,4933300,45.593941
"2020-11-27",47.720001,48.150002,47.16,47.450001,2378400,45.298004
"2020-11-30",46.98,47.299999,46.049999,46.169998,6815300,44.07605
"2020-12-01",47.290001,47.41,46.810001,46.91,5187800,44.78249
"2020-12-02",46.639999,47.84,46.450001,47.709999,6364800,45.546211
"2020-12-03",47.619999,48.27,47.380001,47.709999,3924100,45.546211
"2020-12-04",48.139999,48.889999,48.009998,48.470001,5154400,46.271748
"2020-12-07",47.970001,48,47.16,47.580002,5406600,45.422108
"2020-12-08",47.66,47.849998,47.099998,47.52,7708300,45.36483
"2020-12-09",48.25,48.330002,47.529999,47.639999,4688000,45.479389
"2020-12-10",47.060001,47.700001,46.740002,47.549999,10610400,45.393463
"2020-12-11",46.939999,47.220001,46.57,47.189999,4238300,45.049793
"2020-12-14",47.91,48.099998,45.830002,45.84,7001600,43.761017
"2020-12-15",46.400002,46.5,45.279999,46.240002,5522700,44.142879
"2020-12-16",46.220001,46.560001,45.82,46.32,7155500,44.219254
"2020-12-17",46.68,46.720001,45.810001,46.490002,4253700,44.381542
"2020-12-18",46.560001,46.779999,45.290001,45.650002,9359400,43.579636
"2020-12-21",45.349998,45.68,44.619999,45.459999,6421800,43.398251
"2020-12-22",45.540001,45.950001,45.18,45.209999,4954100,43.159595
"2020-12-23",45.740002,46.599998,45.52,46.130001,3946300,44.037868
"2020-12-24",46.060001,46.32,45.799999,46.310001,1580600,44.209705
"2020-12-28",46.650002,47.279999,46.169998,46.25,3270000,44.152424
"2020-12-29",46.57,46.799999,45.950001,46.009998,3025400,43.923309
"2020-12-30",46.02,46.82,46.02,46.400002,3146600,44.29562
"2020-12-31",46.48,47.130001,46.290001,46.950001,2856400,44.820683
"2021-01-04",47.029999,47.240002,45.73,46.080002,7752200,43.990139
"2021-01-05",46.139999,47.18,46,46.650002,6121900,44.534286
"2021-01-06",48.099998,50.119999,47.619999,49.43,9356500,47.188202
"2021-01-07",49.689999,50.139999,49.459999,49.580002,5077000,47.331406
"2021-01-08",49.630001,49.98,48.52,49.41,4415600,47.169109
"2021-01-11",48.759998,49.599998,48.389999,49.400002,4700000,47.159569
"2021-01-12",49.799999,50.59,49.619999,50.200001,4347900,47.923279
"2021-01-13",50.029999,50.669998,49.93,50.330002,4517500,48.04739
"2021-01-14",50.650002,51.66,50.549999,51.57,6249400,49.231152
"2021-01-15",51.02,51.630001,50.299999,51.139999,4568900,48.820652
"2021-01-19",51.470001,52.380001,51.299999,52.119999,7029400,49.756199
"2021-01-20",52.080002,52.18,51.43,51.650002,4805100,49.307522
"2021-01-21",51.650002,51.900002,51.040001,51.07,5222700,48.753822
"2021-01-22",50.360001,51.040001,50.209999,50.860001,5322900,48.553349
"2021-01-25",50.209999,50.619999,49.830002,50.610001,4081300,48.314682
"2021-01-26",50.880001,51.080002,50.009998,50.110001,4588000,47.83736
"2021-01-27",49.279999,49.639999,48.330002,48.41,8023100,46.214462
"2021-01-28",49.060001,50.130001,48.98,49.57,5444300,47.32185
"2021-01-29",49.130001,49.299999,47.73,48.150002,6851900,45.966255
"2021-02-01",48.459999,48.59,47.689999,48.470001,4566900,46.271748
"2021-02-02",49,49.540001,48.720001,48.93,5190100,46.71088
"2021-02-03",48.799999,49.540001,48.73,49.369999,4456600,47.130928
"2021-02-04",49.119999,51.91,49.110001,51.900002,8095600,50.012165
"2021-02-05",51.869999,52.599998,51.209999,52.580002,6965900,50.667431
"2021-02-08",52.759998,54.259998,52.759998,54.18,7773300,52.209232
"2021-02-09",53.82,54.900002,53.650002,54.419998,7183900,52.440498
"2021-02-10",54.580002,55.23,54.07,54.959999,7384400,52.960857
"2021-02-11",55.139999,56.150002,54.560001,55.310001,5332400,53.298126
"2021-02-12",55.540001,56.41,55.110001,55.669998,5363700,53.645035
"2021-02-16",56.16,56.75,56,56.009998,4294000,53.972668
"2021-02-17",55.630001,56.209999,55.049999,55.41,5449600,53.394493
"2021-02-18",54.919998,55.560001,54.369999,54.990002,4136600,52.989773
"2021-02-19",55.5,56.25,55.349998,56.07,4791900,54.030483
"2021-02-22",55.709999,57.740002,55.709999,57.439999,8350500,55.350647
"2021-02-23",57.799999,57.950001,56.91,57.43,7380600,55.341015
"2021-02-24",57.720001,59.759998,57.560001,59.560001,8871900,57.393539
"2021-02-25",59.720001,60.200001,58.209999,58.259998,8681700,56.140816
"2021-02-26",58.110001,58.669998,56.98,57.599998,7396600,55.504829
"2021-03-01",58.740002,60.060001,58.689999,59.439999,5277700,57.277901
"2021-03-02",59.52,60.02,58.950001,58.959999,5833700,56.815361
"2021-03-03",59.209999,60.189999,58.849998,59.439999,8059200,57.277901
"2021-03-04",59.32,59.68,57.279999,58.630001,7073500,56.497368
"2021-03-05",59.279999,59.959999,57.720001,59.709999,5968200,57.538086
"2021-03-08",60.299999,62.049999,60.099998,60.369999,6357600,58.174072
"2021-03-09",59.75,60.5,58.830002,59.650002,7787700,57.480263
"2021-03-10",59.889999,60.740002,59.560001,60.48,5693800,58.280071
"2021-03-11",60.119999,60.84,59.75,60.009998,4384400,57.827171
"2021-03-12",60.900002,61.259998,60.59,61.09,3834100,58.867886
"2021-03-15",60.950001,61.209999,59.59,60.540001,4872200,58.337891
"2021-03-16",59.98,60.040001,58.880001,59.310001,5125000,57.15263
"2021-03-17",59.720001,60.259998,59.419998,60.150002,4933800,57.962074
"2021-03-18",60.610001,62.66,60.509998,61.759998,13274400,59.513512
"2021-03-19",61.700001,61.91,60.619999,61.290001,13047900,59.060604
"2021-03-22",60.59,61.060001,59.799999,60.110001,7192400,57.923531
"2021-03-23",59.669998,60.169998,58.380001,58.66,5141400,56.526272
"2021-03-24",59.310001,59.919998,58.540001,58.540001,3736800,56.410637
"2021-03-25",58.68,60.259998,58.130001,60.040001,5690400,57.856079
"2021-03-26",60.759998,60.98,60.009998,60.82,3740900,58.6077
"2021-03-29",59.810001,60.66,59.580002,60.16,4162900,57.971714
"2021-03-30",60.73,61.73,60.57,61.439999,3758700,59.205151
"2021-03-31",60.990002,61.650002,60.650002,60.790001,4937500,58.5788
"2021-04-01",60.75,61.630001,60.57,61.599998,3470600,59.359329
"2021-04-05",62.25,62.669998,61.389999,61.580002,3980700,59.340061
"2021-04-06",61.150002,61.950001,61.029999,61.259998,3956300,59.0317
"2021-04-07",61.209999,61.790001,61.02,61.779999,4379800,59.532787
"2021-04-08",61.209999,61.529999,60.48,61.310001,2989100,59.079887
"2021-04-09",61.82,61.950001,61.169998,61.919998,3692000,59.66769
"2021-04-12",62.400002,62.720001,62.150002,62.66,2671400,60.380775
"2021-04-13",62.27,62.470001,61.630001,62.049999,3406700,59.792961
"2021-04-14",61.939999,63.060001,61.869999,62.73,4341400,60.448227
"2021-04-15",62.830002,62.93,61.900002,62.299999,4553600,60.033867
"2021-04-16",62.939999,63.360001,62.580002,63.07,4072500,60.775864
"2021-04-19",63.23,63.599998,63.009998,63.099998,4782200,60.804768
"2021-04-20",62.5,62.779999,60.779999,61.16,4353100,58.935337
"2021-04-21",61.080002,62.720001,60.950001,62.650002,5174000,60.371143
"2021-04-22",62.110001,62.540001,61.619999,61.900002,3344900,59.648422
"2021-04-23",61.869999,63.130001,61.75,62.790001,3250500,60.506046
"2021-04-26",63.009998,63.91,62.66,62.790001,3116700,60.506046
"2021-04-27",62.799999,63.419998,62.759998,63.360001,3295000,61.055313
"2021-04-28",63.84,64.160004,63.459999,63.73,3767700,61.411858
"2021-04-29",64.360001,64.809998,63.830002,64.43,3116100,62.086391
"2021-04-30",64.169998,64.57,63.52,63.630001,4189700,61.315498
"2021-05-03",64.379997,64.75,63.759998,64.220001,3810700,61.884033
"2021-05-04",63.91,64.43,63.290001,64.309998,3822600,61.970753
"2021-05-05",64.480003,65.910004,64,65.410004,5222900,63.030746
"2021-05-06",65.650002,67.050003,64.730003,66.949997,4609200,64.514732
"2021-05-07",66.230003,67.220001,65.980003,67.160004,4204200,64.717094
"2021-05-10",67,67.68,66.440002,66.470001,5323400,64.513268
"2021-05-11",65.970001,65.970001,64.169998,64.730003,5153700,62.824501
"2021-05-12",65.279999,65.449997,63.299999,63.419998,4580200,61.553059
"2021-05-13",63.16,65.080002,62.84,64.550003,4941500,62.649792
"2021-05-14",65,66.18,64.839996,65.900002,3640700,63.960056
"2021-05-17",65.709999,66.059998,65.190002,65.699997,3560100,63.76593
"2021-05-18",65.449997,66.019997,65.339996,65.389999,5026300,63.465065
"2021-05-19",64.730003,64.989998,63.52,64.830002,4700100,62.921555
