"","O.Open","O.High","O.Low","O.Close","O.Volume","O.Adjusted"
"2021-04-15",63.86628,64.874031,63.672482,64.844963,2697442,61.343033
"2021-04-16",65.087212,65.290695,64.748062,64.941856,2515913,61.434708
"2021-04-19",65.10659,65.348839,64.525192,65.251938,2178346,61.728043
"2021-04-20",65.22287,66.540695,65.125969,66.463181,2745223,62.873856
"2021-04-21",66.608528,67.38372,66.317825,67.189919,2526233,63.561363
"2021-04-22",67.441856,67.877907,66.821709,66.937981,2478761,63.323009
"2021-04-23",67.335274,67.470932,66.782944,67.248062,2084950,63.616367
"2021-04-26",67.664726,67.810081,66.957367,67.17054,1886909,63.543018
"2021-04-27",67.199615,67.248062,66.656975,66.724808,2023030,63.121372
"2021-04-28",66.831398,67.180229,66.375969,66.47287,2008066,62.883022
"2021-04-29",67.848839,69.612404,66.841087,67.160851,8460439,63.533852
"2021-04-30",66.68605,67.199615,65.717056,67.005814,6067850,63.602844
"2021-05-03",67.102715,67.257751,66.501938,66.550385,3719947,63.170536
"2021-05-04",66.69574,67.693794,66.569771,66.967056,3839556,63.56604
"2021-05-05",66.540695,66.68605,64.660851,65.058144,5389207,61.754078
"2021-05-06",65.213181,65.784882,64.932175,65.455429,4503854,62.131195
"2021-05-07",65.22287,66.327522,65.22287,65.988373,3373918,62.637077
"2021-05-10",66.317825,66.656975,65.406975,65.44574,3449563,62.121994
"2021-05-11",64.980621,65.067825,63.720928,64.137596,4554216,60.880287
"2021-05-12",63.934109,64.156975,62.519379,62.732559,3441926,59.546616
"2021-05-13",62.771317,63.197674,62.61628,62.703487,3071335,59.519012
"2021-05-14",62.984497,63.478683,62.897285,63.313953,2540887,60.098476
"2021-05-17",63.488373,63.672482,63.168606,63.372093,2512198,60.153656
"2021-05-18",63.594959,63.759689,63.032948,63.449612,2251411,60.227245
"2021-05-19",63.100777,63.63372,62.5,63.624031,2799610,60.392807
"2021-05-20",63.507751,65.029068,63.381783,64.835274,3614064,61.542538
"2021-05-21",65.058144,65.300385,64.447678,64.515503,3769174,61.238995
"2021-05-24",64.806206,66.269379,64.689919,66.02713,3547810,62.67387
"2021-05-25",66.094963,66.918602,65.726746,66.705429,4231510,63.317707
"2021-05-26",66.841087,67.354652,66.550385,66.976746,3630886,63.575249
"2021-05-27",67.17054,67.257751,65.92054,66.094963,5518723,62.738247
"2021-05-28",66.14341,66.463181,65.891472,66.279068,3115505,63.130505
"2021-06-01",66.589149,67.238373,66.220932,67.199615,3064111,64.007294
"2021-06-02",67.27713,68.430229,67.05426,68.42054,2960602,65.17025
"2021-06-03",68.585274,68.585274,67.761627,68.013565,3755551,64.782608
"2021-06-04",68.207367,68.372093,67.684113,68.236435,2808072,64.994888
"2021-06-07",68.31395,68.788757,68.158913,68.168602,3279283,64.930267
"2021-06-08",68.275192,68.798447,68.236435,68.275192,4061126,65.031807
"2021-06-09",68.798447,69.060081,68.42054,68.759689,4259064,65.493271
"2021-06-10",68.740311,69.089149,68.430229,68.875969,3442442,65.604042
"2021-06-11",68.875969,68.875969,67.800385,68.197678,3380522,64.95797
"2021-06-14",68.284882,68.536819,67.984497,68.410851,3454620,65.161018
"2021-06-15",68.226746,68.401161,67.441856,67.451553,3225103,64.247292
"2021-06-16",67.732559,67.819771,66.317825,66.327522,3394145,63.176647
"2021-06-17",66.385658,66.405037,65.736435,66.114342,3681454,62.973598
"2021-06-18",65.765503,65.949615,64.757751,64.767441,6611921,61.690689
"2021-06-21",65.077522,66.36628,64.912788,65.949615,6134930,62.8167
"2021-06-22",65.668602,65.988373,65.368217,65.387596,4012313,62.281387
"2021-06-23",65.387596,65.81395,65.135658,65.32946,2973811,62.225998
"2021-06-24",65.794571,65.794571,64.806206,64.922478,3497138,61.838356
"2021-06-25",65.319771,66.094963,64.980621,66.017441,4008494,62.881306
"2021-06-28",66.056206,66.13372,65.416664,65.726746,4729656,62.60442
"2021-06-29",65.736435,66.375969,65.591087,65.843025,4264843,62.715172
"2021-06-30",65.562019,66.162788,64.56395,64.67054,4297661,61.81308
"2021-07-01",63.720928,65.416664,63.711239,64.970932,7887060,62.100197
"2021-07-02",65.213181,65.80426,65.029068,65.387596,3403330,62.498451
"2021-07-06",65.484497,66.279068,64.961243,66.13372,4088474,63.211605
"2021-07-07",65.910851,66.317825,65.484497,66.075584,2785368,63.156036
"2021-07-08",65.843025,66.191856,65.406975,65.794571,3075773,62.887436
"2021-07-09",66.114342,66.763565,65.80426,66.734497,2660909,63.785835
"2021-07-12",66.569771,67.403099,66.346901,67.151161,2742230,64.18409
"2021-07-13",66.986435,67.209305,65.968994,66.337212,2780105,63.406105
"2021-07-14",66.259689,66.957367,66.230621,66.724808,2726957,63.776585
"2021-07-15",66.870155,67.180229,66.705429,67.131783,2141916,64.165565
"2021-07-16",67.529068,67.868217,67.296509,67.403099,2944090,64.424904
"2021-07-19",66.715118,66.812019,65.930229,66.569771,3832538,63.628384
"2021-07-20",66.812019,68.343025,66.782944,68.071709,3915924,65.063965
"2021-07-21",68.032944,68.604652,67.965118,68.003876,2018076,64.999115
"2021-07-22",67.751938,67.926353,67.374031,67.742249,2118077,64.749062
"2021-07-23",67.82946,68.42054,67.800385,68.294571,1823544,65.276993
"2021-07-26",68.168602,68.701553,68.032944,68.468994,3046877,65.443695
"2021-07-27",68.178291,69.166664,68.129845,68.837212,3615406,65.795639
"2021-07-28",69.137596,69.137596,68.110466,68.149223,3601061,65.138054
"2021-07-29",68.323647,68.75,67.965118,68.042633,2434385,65.036171
"2021-07-30",68.217056,69.234497,68.042633,68.110466,5686423,65.320534
"2021-08-02",68.391472,69.040695,67.751938,67.761627,3196620,64.985992
"2021-08-03",68.120155,68.691856,67.5,68.226746,2991562,65.432068
"2021-08-04",68.207367,68.42054,67.819771,67.974808,3057610,65.190445
"2021-08-05",68.31395,68.604652,67.93605,68.594963,2745120,65.785187
"2021-08-06",68.64341,68.992249,68.197678,68.430229,2083298,65.627213
"2021-08-09",68.372093,68.691856,68.032944,68.430229,2352857,65.627213
"2021-08-10",68.42054,68.449615,67.82946,67.916664,2224373,65.134674
"2021-08-11",68.284882,68.85659,68.032944,68.711243,2378347,65.896729
"2021-08-12",68.846901,68.963181,68.197678,68.730621,1806619,65.915298
"2021-08-13",69.021317,69.748062,68.837212,69.718994,2983822,66.863174
"2021-08-16",69.738373,70.474808,69.709305,70.271317,2991355,67.392891
"2021-08-17",70.135658,70.32946,69.418602,70.067825,2491248,67.197723
"2021-08-18",69.932175,70.11628,69.341087,69.486435,2441093,66.640152
"2021-08-19",69.253876,70.009689,68.905037,69.321709,3700649,66.482178
"2021-08-20",69.321709,70.096901,68.653099,69.680229,4906438,66.825996
"2021-08-23",69.757751,70.058144,68.827522,68.934113,3253277,66.110451
"2021-08-24",69.244186,69.282944,68.439919,68.64341,3022212,65.831657
"2021-08-25",68.52713,69.18605,68.081398,68.730621,2423755,65.915298
"2021-08-26",68.720932,69.050385,68.42054,68.779068,1988767,65.961754
"2021-08-27",69.011627,69.631783,68.97287,69.331398,2729950,66.491455
"2021-08-30",69.282944,69.825584,69.118217,69.825584,3616025,66.965393
"2021-08-31",69.602715,70.155037,69.350777,69.980621,3799308,67.334618
"2021-09-01",70.077522,70.494186,69.040695,70.164726,5329558,67.511757
"2021-09-02",70.251938,70.455429,69.660851,70.426353,2742024,67.763504
"2021-09-03",70.300385,70.397285,68.798447,70.058144,5519755,67.409195
"2021-09-07",70.058144,70.058144,68.546509,69.001938,3147084,66.392937
"2021-09-08",68.837212,69.67054,68.701553,69.476746,2803325,66.849785
"2021-09-09",69.137596,69.147285,67.480621,67.509689,4775786,64.957115
"2021-09-10",67.645348,67.713181,65.80426,65.81395,5009225,63.325489
"2021-09-13",66.560081,66.918602,66.13372,66.405037,5332344,63.894222
"2021-09-14",66.540695,66.792633,65.562019,66.094963,4360510,63.595879
"2021-09-15",66.094963,66.656975,65.881783,66.337212,4468044,63.828964
"2021-09-16",66.279068,66.782944,65.910851,66.269379,3121078,63.763683
"2021-09-17",66.201553,66.947678,65.474808,65.581398,8805746,63.101734
"2021-09-20",65.10659,66.007751,64.864342,65.513565,5323056,63.036469
"2021-09-21",65.755814,65.978683,65.164726,65.164726,4148640,62.700806
"2021-09-22",65.697678,66.02713,65.339149,65.658913,3644611,63.176319
"2021-09-23",65.794571,66.124031,65.620155,65.678291,3899825,63.194954
"2021-09-24",65.465118,65.717056,64.166664,64.399223,4209528,61.964252
"2021-09-27",64.680229,65.067825,63.63372,63.64341,4117061,61.237019
"2021-09-28",63.391472,63.565891,62.897285,62.984497,4416238,60.603024
"2021-09-29",63.236435,64.137596,63.178295,64.001938,4034398,61.581989
"2021-09-30",63.953487,64.001938,62.848839,62.848839,3607253,60.689335
"2021-10-01",63.226746,64.244186,62.965115,63.80814,3023554,61.615673
"2021-10-04",63.604652,64.525192,63.507751,64.437981,3561019,62.223869
"2021-10-05",64.437981,64.505814,63.779072,64.19574,3218498,61.98996
"2021-10-06",64.040695,65.707367,63.69186,65.649223,4103851,63.393497
"2021-10-07",65.852715,66.608528,65.600777,65.717056,3184442,63.459003
"2021-10-08",65.600777,65.968994,65.009689,65.11628,2094444,62.878868
"2021-10-11",65.145348,65.687981,64.941856,65.658913,2593726,63.402859
"2021-10-12",65.794571,66.870155,65.513565,66.47287,3707770,64.18885
"2021-10-13",66.724808,66.947678,65.639534,66.627907,5716558,64.338562
"2021-10-14",66.850777,67.625969,66.279068,67.461243,4535124,65.143265
"2021-10-15",67.906975,68.197678,67.315887,67.5,4263811,65.180687
"2021-10-18",67.257751,68.255814,67.05426,68.168602,2513539,65.826309
"2021-10-19",68.343025,68.381783,67.819771,67.868217,3519636,65.536247
"2021-10-20",68.003876,69.18605,67.926353,69.147285,2735832,66.771362
"2021-10-21",69.147285,69.573647,68.701553,68.963181,3152347,66.59359
"2021-10-22",69.060081,69.631783,69.040695,69.525192,2530258,67.136284
"2021-10-25",69.55426,72.248062,69.525192,71.57946,7199232,69.11998
"2021-10-26",71.308144,72.286819,71.104652,71.802322,5146790,69.335175
"2021-10-27",72.083336,72.189919,71.02713,71.046509,6688186,68.605331
"2021-10-28",71.298447,71.327522,70.261627,70.881783,9845486,68.446274
"2021-10-29",70.281006,71.046509,69.031006,69.215118,45300982,66.836868
"2021-11-01",68.798447,69.050385,67.228683,68.662788,5556391,66.523308
"2021-11-02",68.953491,70.281006,68.701553,69.757751,4598076,67.584145
"2021-11-03",69.767441,70.397285,69.641472,70.038757,3625519,67.856392
"2021-11-04",70.22287,70.300385,68.682175,69.069771,2901571,66.91761
"2021-11-05",69.680229,70.397285,69.389534,69.544571,3300130,67.377609
"2021-11-08",69.593025,69.602715,68.846901,69.253876,2880415,67.09597
"2021-11-09",69.486435,69.544571,68.575584,68.759689,3382793,66.61718
"2021-11-10",68.759689,69.263565,68.711243,68.934113,2653582,66.786186
"2021-11-11",68.624031,70.184113,68.478683,70.174416,2945328,67.987839
"2021-11-12",70.067825,70.649223,69.980621,70.484497,3001985,68.288246
"2021-11-15",71.370003,71.370003,70.410004,71.139999,7029300,68.923332
"2021-11-16",71.230003,71.449997,70.370003,71.410004,4903200,69.184937
"2021-11-17",71.239998,72.019997,69.550003,71.970001,6557200,69.72747
"2021-11-18",72.129997,72.160004,70.910004,71.040001,4760600,68.826447
"2021-11-19",71.059998,71.419998,70.300003,70.910004,5543500,68.700493
"2021-11-22",70.940002,71.629997,70.519997,70.690002,6528200,68.487358
"2021-11-23",70.809998,71.059998,69.889999,69.900002,4518600,67.721962
"2021-11-24",69.919998,70.739998,69.43,70.639999,3930900,68.438904
"2021-11-26",69.839996,70.779999,69.18,69.470001,3720200,67.305374
"2021-11-29",70.019997,70.599998,69.190002,69.800003,5540100,67.625076
"2021-11-30",69.489998,69.489998,67.889999,67.919998,6217100,66.036392
"2021-12-01",68.449997,69.089996,65.900002,65.919998,6009300,64.091858
"2021-12-02",66.550003,68.059998,66.419998,67.519997,5086200,65.647476
"2021-12-03",67.580002,67.879997,66.830002,67.25,4047600,65.384979
"2021-12-06",67.769997,69.580002,67.709999,68.080002,5604700,66.191971
"2021-12-07",68.400002,68.879997,68.040001,68.389999,6229000,66.493362
"2021-12-08",68.349998,69.089996,68.239998,68.849998,4298400,66.940605
"2021-12-09",68.519997,68.519997,67.339996,67.360001,3697900,65.491936
"2021-12-10",67.809998,67.809998,66.889999,66.940002,3874900,65.083572
"2021-12-13",66.989998,68.470001,66.849998,68.160004,4984500,66.269737
"2021-12-14",68.099998,68.639999,67.25,67.290001,4766400,65.423874
"2021-12-15",67,67.379997,65.650002,67.220001,6006200,65.35582
"2021-12-16",67.440002,68,67.139999,67.669998,5136800,65.793335
"2021-12-17",67.650002,68.669998,67.550003,67.779999,12326900,65.900276
"2021-12-20",67.139999,67.379997,66.360001,67.260002,3914000,65.394699
"2021-12-21",67.589996,68.860001,67.559998,68.730003,4084300,66.823936
"2021-12-22",68.900002,69.239998,68.459999,69.139999,2989200,67.222557
"2021-12-23",69.25,69.419998,68.860001,69.220001,2863700,67.300346
"2021-12-27",69.25,70.949997,69.239998,70.940002,3346100,68.972656
"2021-12-28",70.879997,71.510002,70.739998,71.400002,2663800,69.419891
"2021-12-29",71.5,72.029999,71.309998,71.900002,1920100,69.906029
"2021-12-30",72,72.209999,71.510002,71.910004,2071500,69.915749
"2021-12-31",71.75,72.010002,71.510002,71.589996,2309800,69.844513
"2022-01-03",71.730003,71.809998,70.099998,71.199997,3110500,69.46402
"2022-01-04",71.150002,72.480003,71.120003,72.25,3410700,70.488434
"2022-01-05",72.120003,72.480003,70.889999,71.080002,3237600,69.346962
"2022-01-06",71.360001,71.870003,70.889999,71.410004,2869800,69.668915
"2022-01-07",71.129997,71.540001,70.709999,71.410004,3108900,69.668915
"2022-01-10",71.290001,71.660004,70.550003,71.629997,3275800,69.883537
"2022-01-11",71.489998,71.620003,70.370003,71.290001,3998100,69.551834
"2022-01-12",71.339996,72.190002,71.199997,71.870003,4234500,70.117706
"2022-01-13",71.989998,72.550003,71.510002,71.699997,2390600,69.951836
"2022-01-14",71.550003,71.720001,70.75,71.5,2506100,69.756714
"2022-01-18",71.279999,71.43,69.639999,69.730003,4224000,68.029877
"2022-01-19",69.870003,70.019997,68.559998,68.57,3281300,66.898163
"2022-01-20",68.730003,68.970001,67.309998,67.32,3647100,65.678635
"2022-01-21",67.559998,68.230003,66.980003,67.919998,4183100,66.264
"2022-01-24",66.970001,68.510002,65.739998,68.410004,6464500,66.742058
"2022-01-25",67.790001,69.220001,67.110001,68.919998,4623200,67.239616
"2022-01-26",69.379997,70.089996,67.470001,67.93,4577500,66.273773
"2022-01-27",68.379997,69.190002,67.489998,67.760002,3257500,66.10791
"2022-01-28",67.720001,69.5,66.93,69.489998,3531800,67.795731
