"","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"2021-07-27",249.190002,252.669998,248.220001,250.929993,7038300,249.26564
"2021-07-28",250.050003,251.5,245.910004,246.940002,9036500,245.302124
"2021-07-29",248.110001,250.380005,247.100006,247.919998,7495300,246.275589
"2021-07-30",247.210007,248.460007,246,246.389999,5804700,244.755753
"2021-08-02",246.240005,247.830002,238.369995,239.779999,9989500,238.189575
"2021-08-03",240.630005,241.389999,234.029999,237.089996,9839000,235.517426
"2021-08-04",237,237.550003,235.050003,236.669998,8171800,235.10022
"2021-08-05",236.610001,240.25,236.429993,240.210007,5337500,238.61676
"2021-08-06",240,242.600006,239.860001,241.399994,4509700,239.798843
"2021-08-09",241.75,242.179993,238.050003,240,5226900,238.408142
"2021-08-10",240.509995,241.339996,235.559998,238.070007,7185700,236.490952
"2021-08-11",238.080002,238.360001,234.580002,235.059998,7375700,233.5009
"2021-08-12",233.889999,234.110001,231.020004,231.789993,9867000,230.566467
"2021-08-13",232,233.270004,231.399994,232.649994,5445400,231.421936
"2021-08-16",232.210007,235.479996,230.199997,235.360001,7575900,234.117645
"2021-08-17",235,235.669998,233.220001,234.529999,6850500,233.292007
"2021-08-18",233.919998,234.350006,231.470001,231.630005,4996500,230.407333
"2021-08-19",229.039993,232.429993,228.899994,231.570007,5761300,230.347656
"2021-08-20",231.869995,232.160004,230.300003,231.360001,5522200,230.138748
"2021-08-23",232.699997,234.649994,232,234.139999,6342000,232.904068
"2021-08-24",235.039993,236.190002,233.949997,234.240005,5081800,233.00354
"2021-08-25",235,235,232.080002,232.589996,5277100,231.362259
"2021-08-26",232.130005,232.630005,230.149994,230.520004,5889100,229.303177
"2021-08-27",231.020004,233.050003,230.229996,232.690002,6369000,231.461731
"2021-08-30",232.690002,233.669998,229.919998,231.229996,6448000,230.009445
"2021-08-31",230.910004,231.839996,228.660004,229.100006,9405100,227.890686
"2021-09-01",229.100006,230.779999,228.770004,230.119995,8177600,228.905289
"2021-09-02",230.429993,230.550003,221.960007,224.179993,19708800,222.996643
"2021-09-03",224,227.300003,223.350006,225.110001,11532000,223.921738
"2021-09-07",226.740005,228,225.860001,226.270004,9662600,225.075623
"2021-09-08",227.380005,230.220001,227.039993,229.089996,10652600,227.880722
"2021-09-09",229.309998,230,227.100006,227.490005,5853000,226.289185
"2021-09-10",229.850006,230.039993,224.820007,224.910004,6715400,223.722794
"2021-09-13",225.529999,227.199997,223.410004,224.630005,6808100,223.444275
"2021-09-14",225,225.809998,222.279999,223.029999,6575700,221.852722
"2021-09-15",222.520004,224.839996,221.360001,223.809998,6535800,222.628586
"2021-09-16",223.860001,225.199997,222.75,224.330002,5928500,223.145874
"2021-09-17",222.449997,223.699997,219.300003,221.75,13787400,220.579483
"2021-09-20",216.960007,220.5,216.309998,220.050003,8822600,218.888458
"2021-09-21",220.75,222.169998,218.979996,220.169998,7033600,219.007813
"2021-09-22",221.399994,224.100006,221.100006,222.75,6005900,221.574203
"2021-09-23",225,228.699997,224.360001,228.309998,7952700,227.104843
"2021-09-24",228.929993,231.949997,228.619995,231.589996,6461200,230.367523
"2021-09-27",231.720001,233.330002,228.770004,229.600006,6881100,228.388046
"2021-09-28",228.869995,228.869995,224,225.559998,6951400,224.369354
"2021-09-29",226.800003,229.020004,226.089996,226.679993,6432700,225.483444
"2021-09-30",227.580002,228.789993,222.630005,222.75,7128500,221.574203
"2021-10-01",224.169998,231.559998,223.470001,230.460007,7925400,229.2435
"2021-10-04",230,230.330002,220.809998,224.729996,10283400,223.543747
"2021-10-05",225.479996,227.380005,223.919998,224.279999,5814000,223.096115
"2021-10-06",222.039993,226.619995,221.25,226.509995,5420900,225.314331
"2021-10-07",228.910004,231.160004,228.490005,230.550003,6561900,229.333023
"2021-10-08",231,232.729996,230.179993,230.270004,3735200,229.054504
"2021-10-11",230.009995,230.320007,224.869995,225.110001,5620200,223.921738
"2021-10-12",225.559998,226.220001,222.919998,224.050003,5448200,222.867355
"2021-10-13",223.130005,225.860001,218.630005,222.460007,9076000,221.285721
"2021-10-14",224.119995,225.649994,223.059998,225.179993,5590500,223.991348
"2021-10-15",227.220001,231.089996,226.729996,230.990005,6355100,229.770691
"2021-10-18",230.179993,232.759995,228.139999,230.649994,5580200,229.43248
"2021-10-19",231.949997,233.639999,230.679993,233.520004,4409700,232.287338
"2021-10-20",233.460007,233.800003,231.309998,231.419998,5401800,230.198425
"2021-10-21",230.699997,230.830002,226.300003,230.240005,5982200,229.024658
"2021-10-22",230.289993,232.820007,228.710007,231.229996,3788000,230.009445
"2021-10-25",233.449997,234.860001,232.289993,233.880005,4938700,232.645447
"2021-10-26",235.529999,236.960007,231.330002,231.820007,7814500,230.596329
"2021-10-27",224.75,224.75,215.660004,215.779999,22958100,214.640991
"2021-10-28",219.25,219.990005,209.009995,209.839996,23199400,208.73233
"2021-10-29",209.210007,213.669998,208.539993,211.770004,14329800,210.652161
