"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume","MPC.Adjusted"
"2021-02-25",56.98,56.98,54.439999,55.07,6781600,52.82333
"2021-02-26",54.82,55.23,52.169998,54.619999,6259900,52.391682
"2021-03-01",55.939999,56.75,55,56.099998,6159300,53.81131
"2021-03-02",56.5,57.07,55.650002,56.029999,6094700,53.744167
"2021-03-03",56.43,57.689999,55.77,56.07,5259900,53.782532
"2021-03-04",56.299999,57.459999,54.950001,56.509998,7032400,54.204582
"2021-03-05",58.169998,58.32,55.060001,57.32,6865900,54.981537
"2021-03-08",58.07,58.77,56.619999,57.16,7192100,54.828068
"2021-03-09",56.689999,58.18,55.810001,55.869999,5278500,53.590691
"2021-03-10",56.360001,58.43,56.360001,58.18,6504000,55.806458
"2021-03-11",58.669998,59.93,57.880001,58,6318500,55.633793
"2021-03-12",58.470001,58.630001,57.32,57.75,5053200,55.393993
"2021-03-15",57.900002,58.200001,56.57,57.860001,5901500,55.499508
"2021-03-16",56.860001,57.040001,55.52,56.209999,10415300,53.916821
"2021-03-17",55.790001,56.619999,54.73,56.209999,7586400,53.916821
"2021-03-18",55.66,55.66,52.810001,52.849998,9731000,50.693897
"2021-03-19",53.060001,54.540001,52.41,53.759998,14090200,51.566772
"2021-03-22",53.5,53.98,52.950001,53.349998,4805300,51.173504
"2021-03-23",52.509998,53.43,51.799999,52.439999,6252100,50.300625
"2021-03-24",53.5,54.650002,53.07,53.169998,6802900,51.000835
"2021-03-25",52.349998,54.189999,51.119999,53.880001,5087700,51.681881
"2021-03-26",54.900002,55.32,54,55.02,3822400,52.775368
"2021-03-29",54.139999,54.630001,53.200001,53.529999,4552200,51.346157
"2021-03-30",52.970001,54.23,52.77,53.599998,3228700,51.413296
"2021-03-31",53.5,53.82,53.07,53.490002,4984800,51.307793
"2021-04-01",53.889999,55.82,53.5,55.799999,5490800,53.523548
"2021-04-05",55.5,55.759998,53.389999,53.959999,5589900,51.758614
"2021-04-06",54.369999,55.220001,53.25,53.68,5009000,51.49004
"2021-04-07",53.529999,54.169998,53.32,53.990002,3850300,51.787388
"2021-04-08",53.200001,53.82,52.34,53.360001,6030800,51.183094
"2021-04-09",53.360001,53.810001,52.66,52.830002,3191900,50.674717
"2021-04-12",53.419998,53.75,52.02,52.209999,3677900,50.080009
"2021-04-13",51.799999,52.709999,51.549999,52.57,3059300,50.42532
"2021-04-14",53.09,54.880001,52.970001,53.869999,4587500,51.672283
"2021-04-15",53.700001,53.919998,52.889999,53.869999,4410700,51.672283
"2021-04-16",55.200001,55.580002,53.720001,54.259998,6161300,52.046375
"2021-04-19",53.849998,54.330002,52.860001,53.43,3991600,51.250237
"2021-04-20",53.09,53.23,51.450001,52.049999,4337400,49.92654
"2021-04-21",51.43,53.419998,51.279999,53.310001,3457400,51.135132
"2021-04-22",53.310001,53.310001,51.98,52.060001,7656200,49.936131
"2021-04-23",52.439999,53.240002,52.09,53,4179200,50.83778
"2021-04-26",52.84,53.580002,52.720001,53.27,4488700,51.09676
"2021-04-27",53.459999,54.060001,53.130001,53.889999,4867200,51.691467
"2021-04-28",54.41,55.740002,54.369999,55.439999,5896000,53.17823
"2021-04-29",56.310001,57.25,55.650002,56.040001,5505400,53.753754
"2021-04-30",55.389999,57.099998,55.16,55.650002,4773000,53.379669
"2021-05-03",56.52,57.68,56.16,57.16,7066600,54.828068
"2021-05-04",56,58.220001,55.380001,57.299999,7081500,54.962357
"2021-05-05",57.950001,59.389999,57.200001,59.369999,8732000,56.947903
"2021-05-06",59.5,60.049999,58.849998,59.459999,7405500,57.034229
"2021-05-07",59,60.23,58.68,60,8178200,57.552204
"2021-05-10",60.52,61.110001,59.639999,59.810001,6884600,57.369961
"2021-05-11",58.75,59.459999,57.959999,58.639999,5801400,56.247684
"2021-05-12",58.700001,60.52,58.700001,58.970001,7541600,56.56422
"2021-05-13",58.330002,60.099998,58.02,58.779999,5491100,56.381969
"2021-05-14",59.459999,61.950001,55.98,60.080002,31341800,57.628944
"2021-05-17",60.110001,61.759998,60.049999,61.52,11254800,59.010189
"2021-05-18",61.18,61.880001,60.27,60.330002,11782100,58.41951
"2021-05-19",59.130001,60.049999,58.779999,59.549999,9215400,57.664211
"2021-05-20",59.419998,59.950001,58.77,59.669998,8310500,57.780411
"2021-05-21",60.119999,60.549999,59.450001,59.59,9741400,57.702942
"2021-05-24",60.040001,60.900002,59.59,60.73,11488300,58.806843
"2021-05-25",60.700001,60.91,59.889999,60.009998,8911900,58.109646
"2021-05-26",60.25,61.07,60.060001,60.799999,8740800,58.874626
"2021-05-27",60.880001,61.580002,60.790001,61.400002,11339200,59.455627
"2021-05-28",61.59,61.970001,61.18,61.799999,8962400,59.84296
"2021-06-01",62.5,63.049999,62.09,62.5,6361400,60.520794
"2021-06-02",63,63.380001,62.139999,62.98,7552500,60.985592
"2021-06-03",62.900002,63.700001,62.470001,63.259998,7620800,61.256721
"2021-06-04",63.689999,63.880001,62.810001,63.669998,5751800,61.65374
"2021-06-07",63.619999,64.029999,63.02,63.34,5920300,61.334194
"2021-06-08",63.259998,64.169998,62.790001,64.089996,9855000,62.060436
"2021-06-09",64.290001,64.699997,63.549999,63.610001,13185600,61.595642
"2021-06-10",64.660004,64.839996,63.049999,63.439999,6980000,61.431023
"2021-06-11",63.700001,64,63.16,63.18,3631600,61.179256
"2021-06-14",63.380001,63.709999,62.77,62.990002,8772100,60.995274
"2021-06-15",63.299999,64.290001,63.07,63.669998,6232000,61.65374
"2021-06-16",63.470001,63.82,62.700001,63.279999,5432400,61.276093
"2021-06-17",63.27,63.759998,60.43,60.959999,7209900,59.02956
"2021-06-18",60.169998,60.509998,58.860001,58.869999,8980600,57.005741
