"","GPC.Open","GPC.High","GPC.Low","GPC.Close","GPC.Volume","GPC.Adjusted"
"2021-09-14",119,120.089996,117.720001,120,740900,117.591911
"2021-09-15",119.739998,124.589996,119.18,124.150002,1075600,121.65863
"2021-09-16",124.25,125.110001,123.550003,124.190002,651800,121.69783
"2021-09-17",123.669998,124.309998,121.919998,122,1030300,119.551781
"2021-09-20",120.160004,120.860001,119.059998,120.529999,593300,118.111275
"2021-09-21",121.540001,122.190002,120.25,121.110001,476400,118.679642
"2021-09-22",122.110001,123.400002,121.279999,122.339996,480100,119.884949
"2021-09-23",123.190002,124.389999,123.07,123.400002,557100,120.923683
"2021-09-24",122.910004,123.839996,122.550003,123.019997,359700,120.551308
"2021-09-27",123.730003,124.68,123.730003,124.650002,472700,122.148605
"2021-09-28",125.230003,125.419998,122.830002,123.199997,404800,120.727692
"2021-09-29",123.800003,124.779999,123.349998,124.160004,336700,121.668442
"2021-09-30",124.5,124.5,121.190002,121.230003,728000,118.797234
"2021-10-01",121.650002,122.870003,118.620003,121.82,494600,119.375389
"2021-10-04",122.080002,124.160004,121.459999,122.370003,585300,119.91436
"2021-10-05",122.43,124.510002,121.589996,123.68,623700,121.198074
"2021-10-06",122.269997,123.660004,120.870003,123.169998,506700,120.698303
"2021-10-07",124.309998,125.989998,124.309998,125.389999,518900,122.873749
"2021-10-08",125.370003,126.709999,125.019997,126.040001,329400,123.510712
"2021-10-11",126.099998,127.449997,125.720001,126.18,371800,123.647896
"2021-10-12",126.099998,126.93,124.830002,125.139999,386800,122.628769
"2021-10-13",124.959999,125.5,123.400002,124.169998,462100,121.67823
"2021-10-14",125.160004,127.510002,124.760002,127.339996,419100,124.784615
"2021-10-15",128.339996,128.75,127.110001,127.190002,358400,124.637634
"2021-10-18",126.449997,127.910004,126,126.779999,425100,124.235847
"2021-10-19",127.699997,128.460007,127.260002,127.790001,398500,125.225594
"2021-10-20",128.039993,129.940002,128.039993,129.649994,608600,127.048256
"2021-10-21",129.5,135.550003,129.089996,134.509995,1178300,131.81073
"2021-10-22",135.149994,137.149994,132.550003,133.029999,807700,130.360443
"2021-10-25",133.479996,133.990005,132.160004,133.539993,773100,130.860184
"2021-10-26",134.070007,135.360001,133.110001,134.559998,711600,131.859726
"2021-10-27",134.559998,134.559998,132.380005,132.429993,526000,129.772461
"2021-10-28",132.669998,133.289993,130.330002,131.639999,527800,128.998322
"2021-10-29",131.639999,132.210007,130.070007,131.110001,777700,128.478973
"2021-11-01",131.929993,131.929993,130.570007,131.729996,498800,129.086517
"2021-11-02",132.190002,134.529999,131.720001,133.919998,498400,131.23259
"2021-11-03",133.800003,135.039993,133.570007,134.210007,400400,131.516769
"2021-11-04",134.759995,135.789993,133.059998,133.740005,608800,131.056198
"2021-11-05",135.110001,136.729996,135.110001,136.360001,525900,133.623611
"2021-11-08",137.029999,137.029999,134.710007,135.119995,4e+05,132.408478
"2021-11-09",134.539993,135.690002,134.199997,134.729996,460900,132.026321
"2021-11-10",134.410004,135.800003,133.940002,134.190002,413300,131.497162
"2021-11-11",134.380005,135.529999,134.160004,135.119995,352700,132.408478
"2021-11-12",135.399994,136.259995,134.970001,135.919998,3e+05,133.192444
"2021-11-15",136.600006,137.160004,135.699997,137.009995,544800,134.260559
"2021-11-16",136.889999,138.229996,136.550003,136.850006,437700,134.103775
"2021-11-17",137.149994,137.210007,135.669998,136.740005,421300,133.995987
"2021-11-18",137.639999,137.639999,135.470001,136.029999,845900,133.300232
"2021-11-19",135.889999,136.240005,134.339996,135.240005,747800,132.526093
"2021-11-22",135.509995,139.110001,135.509995,136.860001,608400,134.113571
"2021-11-23",137.039993,138.300003,136.5,137.860001,645400,135.093506
"2021-11-24",137.220001,137.570007,136.330002,136.360001,373200,133.623611
"2021-11-26",133.639999,133.740005,132,132.380005,353900,129.72348
"2021-11-29",133.350006,134.25,131.960007,132.910004,831900,130.242844
"2021-11-30",131.860001,132.679993,127.580002,127.739998,1721100,125.17659
"2021-12-01",130.020004,130.600006,126.370003,126.379997,734400,123.84388
"2021-12-02",126.419998,130.869995,126.419998,129.869995,979800,128.089874
"2021-12-03",130.669998,130.669998,128.220001,129.179993,534900,127.409325
"2021-12-06",130.789993,133,130.25,131.960007,656000,130.151245
"2021-12-07",132.929993,134.729996,132.639999,133.789993,1018600,131.956131
"2021-12-08",133.979996,134.660004,132.990005,133.970001,758000,132.133682
"2021-12-09",133.940002,135.339996,133.350006,134.179993,533600,132.34079
"2021-12-10",135.070007,135.289993,133.770004,134.830002,433300,132.981888
"2021-12-13",134.820007,134.820007,131.649994,132.509995,502200,130.69368
"2021-12-14",132.399994,132.860001,131.649994,131.899994,464000,130.092041
"2021-12-15",131.720001,133.059998,131.240005,133.020004,703100,131.196701
"2021-12-16",133.889999,137.119995,133.039993,136.009995,789500,134.145706
"2021-12-17",136.440002,136.440002,132.889999,133.25,1864200,131.423553
"2021-12-20",131.940002,131.940002,129.080002,131.360001,551500,129.559448
"2021-12-21",132.850006,134.970001,132.369995,134.350006,730000,132.508469
"2021-12-22",134.649994,135.630005,134.350006,135.25,471500,133.396133
"2021-12-23",135.880005,137,135.360001,135.369995,307500,133.514481
"2021-12-27",136.279999,137.979996,136.070007,137.710007,312500,135.822418
"2021-12-28",137.419998,138.580002,137.419998,138.050003,360700,136.157745
"2021-12-29",138.809998,140.119995,138.240005,139.600006,303300,137.686508
"2021-12-30",139.600006,140.509995,139.089996,139.380005,350600,137.469528
"2021-12-31",139.25,141.289993,138.720001,140.199997,556400,138.27829
"2022-01-03",140.759995,141.100006,136.589996,137.929993,417800,136.039383
"2022-01-04",138.690002,141.529999,138.559998,140.339996,590300,138.416367
"2022-01-05",140.979996,142.970001,138.860001,138.940002,687500,137.035553
"2022-01-06",139,140.720001,138.070007,140.300003,475100,138.376923
"2022-01-07",140.050003,140.639999,138.869995,138.940002,450400,137.035553
