"","AZO.Open","AZO.High","AZO.Low","AZO.Close","AZO.Volume","AZO.Adjusted"
"2021-10-07",1662.280029,1690.819946,1654.27002,1683.72998,158000,1683.72998
"2021-10-08",1681.079956,1699.300049,1666.709961,1681.369995,125800,1681.369995
"2021-10-11",1680.189941,1697.469971,1674.030029,1674.079956,109800,1674.079956
"2021-10-12",1677.310059,1679.819946,1657.22998,1677.290039,124800,1677.290039
"2021-10-13",1675.25,1687.98999,1649.589966,1683.079956,140800,1683.079956
"2021-10-14",1689.430054,1719.969971,1685.97998,1717.550049,147800,1717.550049
"2021-10-15",1731.959961,1741.910034,1722.430054,1736.030029,177300,1736.030029
"2021-10-18",1733.430054,1767.880005,1730.349976,1758.48999,238000,1758.48999
"2021-10-19",1758.329956,1777.920044,1753.719971,1764.209961,174800,1764.209961
"2021-10-20",1771.27002,1791.969971,1763.660034,1769.050049,191500,1769.050049
"2021-10-21",1781.5,1815.569946,1780.719971,1807.680054,185200,1807.680054
"2021-10-22",1811.22998,1840.550049,1793.5,1832.890015,175200,1832.890015
"2021-10-25",1839.209961,1844.98999,1812.22998,1821.089966,142500,1821.089966
"2021-10-26",1828.300049,1833,1812.099976,1826,139000,1826
"2021-10-27",1824.880005,1837.540039,1817.839966,1825.859985,138000,1825.859985
"2021-10-28",1825.27002,1831.390015,1775.449951,1780.099976,203700,1780.099976
"2021-10-29",1779.72998,1796.920044,1772.040039,1784.839966,232300,1784.839966
"2021-11-01",1794.050049,1801,1767.52002,1779.439941,177000,1779.439941
"2021-11-02",1785.280029,1802.949951,1779,1788.150024,180900,1788.150024
"2021-11-03",1791.27002,1799.310059,1768.719971,1791.680054,140000,1791.680054
"2021-11-04",1799.380005,1832.48999,1794.76001,1809.050049,145900,1809.050049
"2021-11-05",1822.369995,1830,1802.27002,1817.939941,116100,1817.939941
"2021-11-08",1826.550049,1835,1799.089966,1820.930054,140100,1820.930054
"2021-11-09",1824.900024,1868.689941,1814.319946,1866.380005,190500,1866.380005
