"","DUK.Open","DUK.High","DUK.Low","DUK.Close","DUK.Volume","DUK.Adjusted"
"2020-12-11",91.25,91.889999,90.900002,91.540001,3225100,86.396797
"2020-12-14",92.379997,94.080002,91.099998,91.129997,3684200,86.009819
"2020-12-15",91.260002,92.839996,90.900002,92.110001,4059600,86.934776
"2020-12-16",92.389999,92.980003,90.599998,90.610001,4057900,85.519043
"2020-12-17",91.309998,91.830002,91,91.519997,4309900,86.377914
"2020-12-18",91.449997,91.599998,90.239998,90.32,7342800,85.245338
"2020-12-21",89.809998,90,88.18,89.099998,4682100,84.093887
"2020-12-22",89.089996,89.57,88.599998,89.529999,2831600,84.499733
"2020-12-23",89.980003,90.75,89.019997,89.040001,1956500,84.037247
"2020-12-24",89.220001,89.720001,88.800003,89.669998,733500,84.631851
"2020-12-28",90.160004,90.660004,89.730003,90.25,1473400,85.179268
"2020-12-29",90.529999,91.040001,89.68,89.860001,2044400,84.81118
"2020-12-30",89.919998,91.080002,89.919998,90.559998,1838700,85.471848
"2020-12-31",90.610001,91.639999,90.269997,91.559998,1638800,86.415665
"2021-01-04",91.779999,92.129997,89.199997,89.709999,2683700,84.669609
"2021-01-05",89.790001,90.190002,89.040001,89.75,2547400,84.707359
"2021-01-06",89.949997,91.769997,89.870003,90.910004,2823000,85.802193
"2021-01-07",91.150002,91.459999,89.739998,89.889999,2989500,84.8395
"2021-01-08",89.949997,90.400002,89.419998,90.050003,2752100,84.990509
"2021-01-11",89.639999,90.419998,88.529999,89.290001,2193700,84.273216
"2021-01-12",89.139999,89.559998,87.620003,88.93,2860700,83.933441
"2021-01-13",88.980003,92.370003,88.949997,91.559998,3592500,86.415665
"2021-01-14",91.559998,91.959999,90.330002,91.660004,3097300,86.510056
"2021-01-15",90.910004,92.379997,90.599998,92.110001,2914600,86.934776
"2021-01-19",92.589996,92.949997,90.349998,90.379997,2486200,85.301964
"2021-01-20",90.300003,91.209999,89.5,90.779999,2331300,85.679489
"2021-01-21",90.5,90.769997,89.800003,90.18,2254700,85.113205
"2021-01-22",89.82,90.669998,89.459999,90.290001,1917500,85.217018
"2021-01-25",90.010002,93.07,89.790001,92.910004,3469200,87.689819
"2021-01-26",92.790001,93.449997,91.860001,92.919998,2261500,87.699257
"2021-01-27",92.349998,94.160004,91.330002,91.709999,3002300,86.557243
"2021-01-28",92.160004,93.699997,91.449997,91.480003,2001000,86.340164
"2021-01-29",92.010002,94.580002,91.050003,94,4967400,88.718582
"2021-02-01",94.050003,94.400002,92.889999,93.160004,2570900,87.925781
"2021-02-02",93.089996,94.949997,92.690002,93.099998,2240700,87.869141
"2021-02-03",92.739998,93.610001,92.519997,93.389999,2577200,88.142853
"2021-02-04",93.669998,94.470001,93.309998,94.349998,2375800,89.048912
"2021-02-05",94.470001,95.449997,94.029999,94.739998,2465900,89.417
"2021-02-08",94.610001,94.68,93.019997,93.599998,2087100,88.341057
"2021-02-09",93.610001,94.059998,92.790001,93.32,1932900,88.07679
"2021-02-10",93.769997,94.190002,92.809998,93.699997,2356700,88.435425
"2021-02-11",92.699997,92.82,90.349998,90.419998,3633400,86.22776
"2021-02-12",89.919998,90.389999,89.150002,89.82,2742400,85.655579
"2021-02-16",89.639999,90.199997,88.029999,88.379997,2931600,84.282349
"2021-02-17",88.57,89.57,87.889999,89.199997,3772600,85.064316
"2021-02-18",89.209999,90.470001,89.099998,89.529999,3658400,85.379036
"2021-02-19",89.440002,89.440002,88.220001,88.43,3537300,84.330032
"2021-02-22",88.139999,88.639999,87.080002,88.349998,2981400,84.253738
"2021-02-23",89.389999,90.040001,88.269997,89.040001,2640200,84.911743
"2021-02-24",88.940002,88.989998,87.330002,87.339996,2886400,83.290558
"2021-02-25",87.25,88.760002,86.699997,87.120003,3423000,83.080765
"2021-02-26",87.339996,88.639999,85.559998,85.589996,3877300,81.621696
"2021-03-01",86,88.040001,86,87.040001,2828000,83.004486
"2021-03-02",87.059998,87.870003,86.449997,87.239998,2427600,83.195206
"2021-03-03",86.889999,87.459999,85.800003,87.269997,2724700,83.223808
"2021-03-04",87.300003,88.769997,86.010002,86.459999,4197300,82.451363
"2021-03-05",86.75,89,86.18,88.529999,3788000,84.425385
"2021-03-08",89,91.230003,88.559998,90.220001,3740800,86.037041
"2021-03-09",90.220001,91.470001,89.790001,90.949997,3228200,86.733185
"2021-03-10",90.949997,91.699997,90.599998,90.790001,4227800,86.58062
"2021-03-11",90.669998,92.300003,90.279999,90.690002,3565200,86.485245
"2021-03-12",91.010002,91.949997,90.690002,91.400002,3462300,87.162338
"2021-03-15",91.879997,92.550003,91.529999,92.330002,4261000,88.049217
"2021-03-16",92.190002,93.379997,91.809998,93.019997,3140100,88.707214
"2021-03-17",92.959999,93.309998,91.480003,91.849998,4138400,87.591469
"2021-03-18",91.82,92.660004,91.290001,92.330002,3471800,88.049217
"2021-03-19",92.470001,93.349998,91.599998,92.720001,11280800,88.421135
"2021-03-22",92.720001,93.239998,92.099998,93.120003,4107800,88.802589
"2021-03-23",92.989998,94.589996,92.650002,94.019997,3852900,89.660858
"2021-03-24",93.529999,95.129997,93.400002,94.389999,3024300,90.013695
"2021-03-25",94.970001,95.900002,94.400002,95.529999,2622900,91.100845
"2021-03-26",95.330002,95.949997,94.800003,95.830002,6036000,91.386932
"2021-03-29",95.790001,97.919998,95.32,97.580002,4941200,93.055801
"2021-03-30",97.589996,97.639999,95.559998,96.239998,3275100,91.777931
"2021-03-31",95.910004,96.790001,95.839996,96.529999,3480700,92.054482
"2021-04-01",96.43,96.529999,95.339996,96.279999,2876100,91.816071
"2021-04-05",96.349998,97.660004,96.169998,96.93,2839800,92.435928
"2021-04-06",96.760002,97.599998,96.07,97.57,3634300,93.046272
"2021-04-07",97.699997,98.050003,97.349998,97.82,2549200,93.284676
"2021-04-08",97.93,98.150002,97.370003,97.620003,4922400,93.093948
"2021-04-09",98,98.739998,97.440002,97.540001,2028700,93.017647
"2021-04-12",97.139999,98.110001,97.07,97.639999,3784600,93.113014
"2021-04-13",97.120003,98.849998,96.809998,98.5,3661300,93.933144
"2021-04-14",98.290001,98.889999,98.029999,98.790001,3604100,94.209702
"2021-04-15",98.839996,99.889999,98.739998,99.75,3271600,95.125191
"2021-04-16",99.849998,101.129997,99.75,100.669998,3820900,96.002533
"2021-04-19",100.68,100.75,99.660004,100.199997,3491600,95.554329
"2021-04-20",100.25,101.830002,100.059998,101.410004,3171600,96.708229
"2021-04-21",101.370003,101.650002,100.57,101.089996,3741900,96.403069
"2021-04-22",101.209999,101.209999,100.040001,100.080002,3866800,95.439896
"2021-04-23",100.089996,100.459999,99.440002,99.849998,2849400,95.220558
"2021-04-26",99.940002,99.940002,99.010002,99.199997,2749800,94.600693
"2021-04-27",98.959999,99.150002,98.339996,98.610001,3441300,94.03804
"2021-04-28",98.889999,99.160004,98.07,98.57,2514600,93.999893
"2021-04-29",98.68,99.629997,98.580002,99.550003,2172000,94.934471
"2021-04-30",99.860001,100.709999,99.269997,100.690002,2574800,96.021614
"2021-05-03",100.82,101.900002,100.379997,100.709999,3572100,96.04068
"2021-05-04",100.709999,101.080002,100.110001,100.779999,3096400,96.107437
"2021-05-05",100.5,100.660004,98.650002,99.360001,3582200,94.753273
"2021-05-06",99.760002,100.739998,99.349998,100.540001,2051600,95.878563
"2021-05-07",100.389999,101.43,100.190002,100.860001,4544800,96.183731
"2021-05-10",101.279999,108,101.059998,103.739998,8173900,98.930191
"2021-05-11",104.18,104.599998,102.720001,103.629997,4487600,98.825302
"2021-05-12",103.559998,103.709999,101.150002,101.220001,4477600,96.527039
"2021-05-13",100.400002,103.589996,100.25,103,3318200,99.169968
"2021-05-14",103.309998,103.830002,102.620003,103.059998,2409600,99.22773
"2021-05-17",103.169998,108,102.379997,102.449997,5583000,98.640411
"2021-05-18",102.199997,103.110001,101.959999,102.489998,4857100,98.678925
"2021-05-19",102.199997,102.360001,100.120003,101.160004,4371600,97.398392
"2021-05-20",101.309998,102.779999,101.190002,102.269997,3110200,98.467117
"2021-05-21",102.529999,103.07,101.919998,102.860001,4136400,99.035172
"2021-05-24",103.089996,103.510002,102.160004,102.309998,2726500,98.505623
"2021-05-25",102.120003,102.260002,100.800003,101.309998,3015000,97.542801
"2021-05-26",101.300003,101.610001,100.779999,101.110001,2607800,97.350243
"2021-05-27",101.309998,101.360001,99.900002,100.010002,4251100,96.291153
"2021-05-28",100.370003,100.769997,99.989998,100.220001,2271200,96.49334
"2021-06-01",100.540001,100.75,99.580002,100.080002,2816100,96.358551
"2021-06-02",100.410004,101.269997,99.720001,100.68,1889900,96.936234
"2021-06-03",100.239998,102.019997,100.18,101.669998,3401900,97.889412
"2021-06-04",101.970001,102.089996,101.389999,101.480003,2771400,97.70649
"2021-06-07",101.550003,102.209999,101.449997,101.860001,3335100,98.07235
"2021-06-08",102.139999,102.139999,100.440002,100.589996,3147900,96.849579
"2021-06-09",100.620003,101.470001,100.43,101.389999,1584800,97.619835
"2021-06-10",101.379997,101.860001,101.150002,101.709999,1783900,97.927933
"2021-06-11",101.529999,102.059998,101.139999,101.93,1909000,98.139755
"2021-06-14",101.93,102.550003,101.760002,102.529999,2003300,98.71743
"2021-06-15",102.599998,103.510002,102.220001,103.220001,2738600,99.381783
