"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2020-12-29",138.050003,138.789993,134.339996,134.869995,121047300,133.676666
"2020-12-30",135.580002,135.990005,133.399994,133.720001,96452100,132.536865
"2020-12-31",134.080002,134.740005,131.720001,132.690002,99116600,131.515961
"2021-01-04",133.520004,133.610001,126.760002,129.410004,143301900,128.265015
"2021-01-05",128.889999,131.740005,128.429993,131.009995,97664900,129.850815
"2021-01-06",127.720001,131.050003,126.379997,126.599998,155088000,125.479858
"2021-01-07",128.360001,131.630005,127.860001,130.919998,109578200,129.761627
"2021-01-08",132.429993,132.630005,130.229996,132.050003,105158200,130.881653
"2021-01-11",129.190002,130.169998,128.5,128.979996,100384500,127.838783
"2021-01-12",128.5,129.690002,126.860001,128.800003,91951100,127.660385
"2021-01-13",128.759995,131.449997,128.490005,130.889999,88636800,129.731888
"2021-01-14",130.800003,131,128.759995,128.910004,90221800,127.769417
"2021-01-15",128.779999,130.220001,127,127.139999,111598500,126.015076
"2021-01-19",127.779999,128.710007,126.940002,127.830002,90757300,126.698967
"2021-01-20",128.660004,132.490005,128.550003,132.029999,104319500,130.861801
"2021-01-21",133.800003,139.669998,133.589996,136.869995,120150900,135.658981
"2021-01-22",136.279999,139.850006,135.020004,139.070007,114459400,137.839523
"2021-01-25",143.070007,145.089996,136.539993,142.919998,157611700,141.655457
"2021-01-26",143.600006,144.300003,141.369995,143.160004,98390600,141.893326
"2021-01-27",143.429993,144.300003,140.410004,142.059998,140843800,140.80307
"2021-01-28",139.520004,141.990005,136.699997,137.089996,142621100,135.877014
"2021-01-29",135.830002,136.740005,130.210007,131.960007,177523800,130.792419
"2021-02-01",133.75,135.380005,130.929993,134.139999,106239800,132.953156
"2021-02-02",135.729996,136.309998,134.610001,134.990005,83305400,133.795624
"2021-02-03",135.759995,135.770004,133.610001,133.940002,89880900,132.754913
"2021-02-04",136.300003,137.399994,134.589996,137.389999,84183100,136.174393
"2021-02-05",137.350006,137.419998,135.860001,136.759995,75693800,135.752518
"2021-02-08",136.029999,136.960007,134.919998,136.910004,71297200,135.901413
"2021-02-09",136.619995,137.880005,135.850006,136.009995,76774200,135.008026
"2021-02-10",136.479996,136.990005,134.399994,135.389999,73046600,134.392609
"2021-02-11",135.899994,136.389999,133.770004,135.130005,64280000,134.134506
"2021-02-12",134.350006,135.529999,133.690002,135.369995,60145100,134.372742
