"","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume","CME.Adjusted"
"2021-03-19",204.690002,204.690002,200.800003,202.660004,4850200,195.394989
"2021-03-22",200.220001,202.779999,198.940002,199.350006,1339800,192.203629
"2021-03-23",199.630005,201.009995,197.389999,199.929993,1471800,192.762833
"2021-03-24",201.470001,205.850006,201.020004,204.779999,1452400,197.43898
"2021-03-25",203.779999,205.660004,201,205.25,1119400,197.892136
"2021-03-26",204.919998,208.770004,203.630005,208.440002,1286700,200.967758
"2021-03-29",206.850006,209.470001,205.039993,208.970001,1016500,201.478775
"2021-03-30",209.399994,209.399994,204.309998,204.940002,1032400,197.593246
"2021-03-31",203.509995,205.779999,203.25,204.229996,1606300,196.908707
"2021-04-01",205.199997,206.279999,203.740005,206.089996,1243000,198.702011
"2021-04-05",206.990005,208.369995,206.169998,207.440002,1072000,200.003601
"2021-04-06",209.270004,209.389999,204.389999,205.089996,1115900,197.737869
"2021-04-07",204.809998,205.880005,202.979996,204.339996,1099300,197.01474
"2021-04-08",204.550003,205.25,201.809998,202.740005,1189700,195.472122
"2021-04-09",204,204.979996,202.529999,204.630005,1052200,197.294357
"2021-04-12",203.979996,205.330002,203.619995,204.699997,1296600,197.361832
"2021-04-13",203.229996,207.419998,202.559998,205.860001,1369800,198.480255
"2021-04-14",205.029999,207.360001,204.320007,206.770004,839200,199.357635
"2021-04-15",206.789993,207.970001,203.279999,204.050003,2105200,196.735153
"2021-04-16",205.229996,208.539993,205.160004,207.580002,1271300,200.138596
"2021-04-19",207.149994,207.75,204.149994,205.589996,1060500,198.21994
"2021-04-20",205.589996,206.929993,204.779999,206.119995,893700,198.730927
"2021-04-21",206.389999,208.059998,205.699997,206.970001,1048000,199.550476
"2021-04-22",206.309998,207.309998,205.570007,206.130005,1162400,198.74057
"2021-04-23",206.240005,208.520004,205.199997,207.309998,1055300,199.878265
"2021-04-26",208.330002,208.330002,204.210007,204.690002,904200,197.352203
"2021-04-27",204.139999,205.160004,203.589996,204.779999,1749300,197.43898
"2021-04-28",204.639999,204.639999,199.690002,201.020004,1712100,193.813782
"2021-04-29",201.039993,204.130005,200.619995,203.729996,1261800,196.426636
"2021-04-30",203.440002,204.690002,200.75,201.990005,1185900,194.748993
"2021-05-03",202.5,205.279999,201.410004,203.699997,1127900,196.39769
"2021-05-04",204.139999,204.449997,201.380005,204.360001,1463300,197.034058
"2021-05-05",204.539993,204.899994,202.740005,203.059998,956800,195.780655
"2021-05-06",204.279999,205.240005,202.539993,204.350006,944700,197.024414
"2021-05-07",203.429993,204.380005,200.100006,202.919998,1567100,195.64566
"2021-05-10",204.460007,209.809998,203.440002,208.050003,1561700,200.591751
"2021-05-11",206.289993,213.809998,206.289993,212.089996,2353700,204.486923
"2021-05-12",212.020004,217.080002,211.240005,214.070007,3012300,206.395966
"2021-05-13",214,218.800003,212.720001,215.259995,1978600,207.543289
"2021-05-14",216.130005,218.600006,215.550003,216.990005,1162200,209.211273
"2021-05-17",217.729996,217.990005,213.050003,216.429993,753000,208.671341
"2021-05-18",216.149994,216.770004,214,214.229996,937600,206.550201
"2021-05-19",211.220001,213.179993,208.850006,211.860001,1753400,204.265182
"2021-05-20",211.809998,217.149994,210.850006,216.009995,1118200,208.266388
"2021-05-21",215.020004,218.050003,214.919998,217.779999,964700,209.972946
"2021-05-24",218,219.720001,216.940002,217.309998,782600,209.519806
"2021-05-25",217.419998,217.710007,214.410004,214.880005,1182600,207.17691
"2021-05-26",216.369995,217.270004,214.020004,216.130005,807400,208.38208
"2021-05-27",216.710007,218.289993,215.820007,218.089996,1312400,210.271835
"2021-05-28",218.75,219.330002,217.380005,218.759995,1019100,210.917816
"2021-06-01",219.5,221.820007,212.889999,213.149994,1072000,205.508911
"2021-06-02",213.699997,216.600006,213.309998,216.309998,855700,208.555634
"2021-06-03",216.550003,218.970001,214.529999,217.949997,1087900,210.136856
"2021-06-04",217.720001,218.729996,217.009995,218.369995,663300,210.541794
"2021-06-07",219.330002,219.419998,217.059998,218.100006,807300,210.281464
"2021-06-08",216.539993,217.940002,215.729996,217.639999,1054700,209.837982
"2021-06-09",215.710007,217.800003,214.770004,215.509995,1068100,208.64711
"2021-06-10",215.039993,215.619995,212.210007,212.869995,1003000,206.091217
"2021-06-11",212.910004,214.5,212.419998,214.460007,808000,207.630585
"2021-06-14",214.169998,216.710007,213.770004,216.699997,861000,209.79924
"2021-06-15",217.779999,217.830002,216.119995,216.979996,831500,210.070313
"2021-06-16",215.470001,220.270004,215.139999,218.850006,1510500,211.880768
"2021-06-17",219,219.490005,216.490005,217,980800,210.089691
"2021-06-18",215.509995,216.759995,210.020004,210.710007,2980400,204
"2021-06-21",213.25,216.139999,211.300003,216.009995,1399100,209.131195
"2021-06-22",216.940002,216.940002,214.75,215.860001,835700,208.985977
"2021-06-23",215.979996,216.270004,214.639999,214.770004,971100,207.93071
"2021-06-24",215.580002,217.5,215.059998,216.979996,1037300,210.070313
"2021-06-25",217.589996,218.539993,216.289993,218.119995,934500,211.173996
"2021-06-28",218.779999,218.800003,214.320007,215.220001,985900,208.366348
"2021-06-29",215.419998,216.080002,213.190002,213.300003,1243200,206.507523
"2021-06-30",213.190002,213.710007,211.220001,212.679993,1403000,205.907257
"2021-07-01",213.419998,214.389999,212.289993,214.199997,1222800,207.37886
"2021-07-02",214.809998,215.559998,212.729996,213.520004,733700,206.720505
"2021-07-06",212.440002,214.199997,207.190002,208.039993,1470000,201.415009
"2021-07-07",207.740005,209.080002,205.410004,206.949997,1476300,200.359711
