"","RL.Open","RL.High","RL.Low","RL.Close","RL.Volume","RL.Adjusted"
"2021-03-23",120.739998,121.330002,112.440002,113.559998,1584000,109.982071
"2021-03-24",115.019997,118.330002,113.889999,113.959999,1270000,110.369469
"2021-03-25",112.419998,119.199997,110.830002,118.300003,1255300,114.572739
"2021-03-26",120.169998,122.25,118.190002,122.160004,736100,118.311119
"2021-03-29",121.209999,123.230003,116.57,117.989998,653100,114.272499
"2021-03-30",118.779999,120.459999,117.050003,120.239998,496300,116.451607
"2021-03-31",120.720001,124.93,120.300003,123.160004,1020600,119.27961
"2021-04-01",123.449997,123.910004,118.830002,119.940002,1034000,116.161072
"2021-04-05",121.379997,123.559998,119.199997,123.309998,583600,119.424881
"2021-04-06",123.709999,125.720001,122.529999,123.699997,954100,119.802589
"2021-04-07",124.660004,125.699997,122.919998,123.639999,663300,119.744484
"2021-04-08",122.739998,124.349998,121.370003,123.580002,637900,119.686378
"2021-04-09",124.739998,127.75,124.010002,127.540001,815200,123.521614
"2021-04-12",127,129.119995,126.830002,127.760002,715100,123.73468
"2021-04-13",126.650002,126.980003,122.889999,124.519997,822500,120.596748
"2021-04-14",124.419998,127.589996,124.419998,125.790001,587800,121.826744
"2021-04-15",127,127.489998,125.379997,125.980003,461800,122.010757
"2021-04-16",126.919998,127.199997,123,124.559998,881700,120.63549
"2021-04-19",123.860001,124.599998,121.459999,122.18,1175000,118.33049
"2021-04-20",121.43,122.07,117.57,119.440002,1297300,115.676819
"2021-04-21",119,123.169998,118.400002,122.629997,733100,118.766312
"2021-04-22",123.019997,125.089996,122.989998,123.43,858600,119.541107
"2021-04-23",124.870003,125.720001,123.529999,125.480003,731400,121.52652
"2021-04-26",126.309998,128.259995,125.489998,125.830002,1167100,121.865486
"2021-04-27",126.379997,129.139999,125.580002,128.850006,882200,124.790329
"2021-04-28",134.479996,135.25,131.320007,132.289993,1425000,128.121948
"2021-04-29",133.289993,135.050003,130.380005,133.410004,744500,129.206665
"2021-04-30",133.300003,133.990005,131.740005,133.289993,603800,129.090424
"2021-05-03",134.309998,137,133.910004,136.309998,1114700,132.015289
"2021-05-04",136.149994,137.119995,134.220001,135.410004,635900,131.143677
"2021-05-05",136.199997,137.190002,134.009995,134.949997,1037300,130.698151
"2021-05-06",135.389999,136.179993,132.839996,134,870800,129.778076
"2021-05-07",133.910004,139.850006,133.309998,139.639999,1201100,135.240387
"2021-05-10",139.800003,142.059998,137.570007,137.570007,1132500,133.235611
"2021-05-11",136.919998,136.919998,131.899994,134.050003,807200,129.826492
"2021-05-12",133.429993,135.759995,127.599998,128.039993,798900,124.005852
"2021-05-13",128.839996,133.869995,128.839996,131.539993,773800,127.395569
"2021-05-14",132.160004,136.779999,131.949997,136.479996,566200,132.179932
"2021-05-17",135.690002,138.350006,134.720001,138.119995,737300,133.76828
"2021-05-18",139.199997,140.240005,136.410004,136.699997,1079200,132.393005
"2021-05-19",134.470001,134.729996,129.940002,131.050003,1619100,126.921005
"2021-05-20",126.110001,126.720001,118.290001,121.870003,4655000,118.030251
"2021-05-21",121.160004,122.150002,119.230003,121.089996,1496300,117.274826
"2021-05-24",120.949997,121.800003,119.190002,119.610001,1171700,115.841454
"2021-05-25",119.760002,122.540001,119.760002,121.550003,1043100,117.720322
"2021-05-26",122,124.43,122,124.040001,948500,120.131882
"2021-05-27",124.779999,126.68,123.18,125.639999,1364200,121.681465
"2021-05-28",126.449997,126.5,123.389999,124.080002,662100,120.170624
"2021-06-01",125.18,126.43,123.449997,124.919998,911000,120.984161
"2021-06-02",125.470001,125.470001,121.129997,122.919998,1101600,119.047165
"2021-06-03",122.040001,122.330002,119.949997,121.139999,876600,117.323257
"2021-06-04",121.379997,121.580002,118.150002,120.769997,706400,116.964905
"2021-06-07",121.690002,121.889999,119.949997,120.949997,723300,117.139236
"2021-06-08",120.43,122.900002,119.529999,122.459999,525300,118.601669
"2021-06-09",122.400002,122.57,120.959999,121.440002,501600,117.613808
"2021-06-10",122.199997,123.169998,118.870003,119.660004,684400,115.889893
"2021-06-11",120.580002,122.900002,119.529999,122.730003,618900,118.863159
"2021-06-14",122.5,123.230003,119.690002,120.379997,645100,116.587189
"2021-06-15",120.769997,121.68,118.800003,121.309998,577800,117.4879
"2021-06-16",120.75,122.349998,118.220001,121.470001,628200,117.64286
"2021-06-17",121.150002,121.75,115.290001,117.050003,1228800,113.362114
"2021-06-18",114.389999,116.019997,112.900002,113.480003,1475900,109.904602
"2021-06-21",114.970001,116.540001,114.419998,115.43,1215600,111.793152
"2021-06-22",114.709999,117.919998,113.360001,117.349998,1223200,113.652664
"2021-06-23",117.330002,120.5,117.330002,119.669998,741600,115.899567
"2021-06-24",119.830002,121.190002,117.730003,120.389999,809700,117.271095
"2021-06-25",121.559998,122.989998,120.849998,121.18,784500,118.040627
"2021-06-28",120.559998,120.639999,116.82,117.199997,1136000,114.163734
"2021-06-29",118,119.129997,116.529999,116.910004,627600,113.881256
"2021-06-30",116.5,118.279999,115.910004,117.809998,661200,114.757935
"2021-07-01",118.599998,119.620003,117.239998,118.029999,618700,114.972237
"2021-07-02",118.089996,118.389999,117,117.790001,362100,114.738449
"2021-07-06",117.790001,117.790001,113.720001,115.18,823600,112.196068
"2021-07-07",114.480003,115.669998,111.349998,113.470001,913000,110.530373
"2021-07-08",111.129997,113.639999,108.209999,113.57,1131100,110.627777
"2021-07-09",115.440002,117.589996,114.529999,116.400002,667400,113.38446
"2021-07-12",114.760002,116.910004,114.370003,115.699997,541000,112.702591
"2021-07-13",114.879997,115.790001,113.220001,114.669998,955200,111.69928
"2021-07-14",116.040001,116.900002,113.540001,113.690002,773600,110.744667
"2021-07-15",112.419998,112.82,110.040001,111.57,1345400,108.679581
"2021-07-16",112.059998,112.059998,107.980003,108.68,1141300,105.864464
"2021-07-19",105.209999,106.25,102.959999,103.790001,1408100,101.101151
"2021-07-20",104.290001,109.949997,103.550003,109.040001,1047700,106.215141
"2021-07-21",110.650002,113.370003,110.25,110.639999,843400,107.773682
"2021-07-22",110.129997,110.650002,108.580002,109.900002,662900,107.052856
"2021-07-23",111.010002,111.75,109.419998,109.989998,495100,107.140526
"2021-07-26",110.43,112.07,109.830002,111.449997,440000,108.562691
"2021-07-27",111,111.279999,109.300003,110.139999,617400,107.286636
"2021-07-28",111.419998,112.779999,108.599998,110.419998,7e+05,107.55938
"2021-07-29",111.779999,113.279999,110.059998,110.160004,1230800,107.306122
"2021-07-30",109.93,117.489998,109.93,113.519997,1769400,110.579079
"2021-08-02",114.589996,119.809998,114.589996,117.989998,2129300,114.933266
"2021-08-03",129.210007,129.440002,124.059998,125.220001,2774500,121.975967
"2021-08-04",125.720001,126.660004,122.379997,123.18,1331600,119.988815
"2021-08-05",123.18,124.720001,121.739998,124.529999,996400,121.303848
"2021-08-06",125,126.690002,122.809998,123.139999,639500,119.949844
"2021-08-09",122.660004,122.75,120.480003,120.730003,973600,117.602287
"2021-08-10",120.690002,124.300003,120.449997,120.989998,958600,117.855545
"2021-08-11",121,123.57,120.269997,122.769997,608600,119.589432
"2021-08-12",122.809998,124.489998,122.07,124.209999,739400,120.992126
"2021-08-13",123.860001,124.720001,122.75,124.449997,552100,121.225906
"2021-08-16",123.129997,124.019997,121.860001,122.5,643200,119.326431
"2021-08-17",120.790001,121.290001,117.889999,119.209999,936900,116.121658
"2021-08-18",118.139999,120.059998,116.230003,116.290001,963900,113.277313
"2021-08-19",114.57,116.529999,113.980003,114.860001,1010400,111.884361
"2021-08-20",115.910004,117.029999,114.239998,116.269997,923800,113.257828
"2021-08-23",117.449997,119.150002,117.040001,118.260002,886800,115.196274
"2021-08-24",118.400002,121.449997,118.400002,120.5,810700,117.378242
"2021-08-25",120.339996,120.589996,118.309998,120.019997,463200,116.910683
"2021-08-26",119.150002,119.82,115.93,116.300003,637200,113.287056
"2021-08-27",116.589996,119.5,116.040001,118.309998,403900,115.24498
"2021-08-30",119.279999,119.800003,116.629997,117.029999,923300,113.998138
"2021-08-31",116.519997,118,115.5,116.129997,745300,113.12146
"2021-09-01",118.860001,120.989998,117.970001,118.940002,1244500,115.858658
"2021-09-02",118.669998,119.480003,117.25,117.489998,574600,114.44622
"2021-09-03",117.239998,117.540001,113.889999,114.830002,666000,111.855133
"2021-09-07",114.879997,115.07,112.5,112.900002,726600,109.975136
"2021-09-08",112.470001,112.529999,109.379997,110.709999,672700,107.841873
"2021-09-09",111.349998,114.620003,110.860001,113.760002,837400,110.812859
"2021-09-10",115,115.370003,112.529999,112.629997,741600,109.712128
"2021-09-13",112.82,114.139999,111.730003,113.699997,509100,110.75441
"2021-09-14",114.220001,114.230003,110.870003,111.720001,509800,108.825706
"2021-09-15",111.279999,112.269997,110.040001,112.129997,492000,109.225075
"2021-09-16",112.82,114,112.540001,112.629997,502300,109.712128
"2021-09-17",112.199997,114.639999,111.879997,113.040001,938900,110.111504
"2021-09-20",110.129997,111.290001,109.139999,111.050003,823200,108.173058
"2021-09-21",112.370003,113.449997,109.699997,110.190002,522000,107.335342
"2021-09-22",111.010002,114.389999,111.010002,113.25,675000,110.316063
"2021-09-23",113.589996,116.849998,113.589996,115.660004,570500,113.352264
"2021-09-24",113.580002,117,112.050003,116.470001,599900,114.146095
"2021-09-27",117.349998,120.379997,117.190002,117.970001,769500,115.616173
"2021-09-28",117.949997,120.209999,117.07,119.010002,891500,116.635414
"2021-09-29",120.099998,120.370003,116.599998,116.889999,834800,114.557716
"2021-09-30",115.919998,116.580002,110.989998,111.040001,1335900,108.82444
"2021-10-01",112.300003,115.18,109.879997,114.790001,803400,112.499619
"2021-10-04",114.760002,118.07,114.760002,117.360001,823200,115.018333
"2021-10-05",118.720001,122.669998,117.57,119.449997,1221100,117.066635
"2021-10-06",118.309998,118.980003,114.099998,115.269997,1026100,112.970032
"2021-10-07",117,119.339996,116.75,117.209999,832700,114.87133
"2021-10-08",116.879997,116.879997,112.209999,113.25,880400,110.990341
"2021-10-11",113.07,114.690002,110.800003,111.459999,938400,109.236061
"2021-10-12",111.269997,115.699997,111.269997,115.059998,791100,112.764229
"2021-10-13",115.690002,116.82,114.370003,116.230003,444800,113.910881
"2021-10-14",117.339996,118.449997,116.279999,117.919998,529600,115.567162
"2021-10-15",118.5,119.5,117.800003,118.790001,440300,116.419815
"2021-10-18",116.080002,119.470001,115.389999,119.32,749100,116.939232
"2021-10-19",119.43,119.669998,118,118.599998,537400,116.233597
"2021-10-20",118.900002,121.940002,118.220001,118.68,668900,116.311996
"2021-10-21",119.720001,122.089996,119.010002,121.489998,897500,119.065933
"2021-10-22",121.589996,124.169998,120.949997,123.129997,601600,120.673203
"2021-10-25",123.349998,124.959999,122.940002,124.07,891200,121.594452
"2021-10-26",124.699997,126.040001,123.699997,124.389999,684800,121.908066
"2021-10-27",123.75,124.290001,121.760002,121.82,937500,119.389343
"2021-10-28",122.529999,125.940002,122.489998,124.75,1011200,122.260887
"2021-10-29",124.769997,127.860001,124.349998,127.169998,1316800,124.632599
"2021-11-01",127.830002,131.649994,127.800003,129.75,1556400,127.161118
"2021-11-02",126.889999,128.229996,116.760002,117.129997,2867100,114.792915
"2021-11-03",117.949997,124.080002,117.949997,122.940002,1874700,120.487
"2021-11-04",124.029999,127.07,123.269997,124.360001,1088600,121.87867
"2021-11-05",126.650002,129.539993,125.709999,127.540001,938400,124.995216
"2021-11-08",127,130.220001,126.760002,128.960007,1137500,126.386887
"2021-11-09",128.850006,130.089996,127.110001,129.119995,911500,126.543686
"2021-11-10",127.489998,131.039993,125.220001,126.269997,671900,123.750549
"2021-11-11",126.629997,128.5,124.779999,125.160004,610500,122.662704
"2021-11-12",125.529999,125.93,123.949997,124.910004,598900,122.417702
"2021-11-15",125.550003,126.110001,124.269997,125.029999,601100,122.535301
"2021-11-16",125.379997,127.690002,124.5,127.610001,823400,125.06382
"2021-11-17",127.879997,128.5,124.620003,125.699997,641400,123.191925
"2021-11-18",127.290001,127.290001,124.400002,125.860001,554600,123.34874
"2021-11-19",124.82,125.309998,121.150002,121.809998,1178300,119.379539
"2021-11-22",122.279999,125.82,121.160004,124.690002,513400,122.202087
"2021-11-23",124.690002,126.889999,122.989998,124.349998,678500,121.868874
"2021-11-24",121.900002,122.389999,118.800003,121.550003,1101900,119.124741
"2021-11-26",116.82,117.559998,114.010002,116.43,1055600,114.106895
"2021-11-29",118.989998,119.93,116.099998,119.120003,1198300,116.743225
"2021-11-30",117.839996,118.849998,114.150002,116.040001,1405400,113.724678
"2021-12-01",119.339996,123.730003,116.300003,116.449997,1590600,114.126488
"2021-12-02",117.410004,119.599998,116,119.139999,1024200,116.762825
"2021-12-03",120.129997,120.849998,114.57,116.169998,852100,113.852081
"2021-12-06",118.110001,124.800003,117.949997,122.559998,953900,120.114578
"2021-12-07",124.010002,127.790001,123.889999,124.519997,1124700,122.035469
"2021-12-08",124.529999,125.470001,123.040001,124.169998,477200,121.692459
"2021-12-09",123.260002,125.190002,122.370003,122.660004,481700,120.212593
"2021-12-10",123.349998,123.5,120.949997,122.900002,477900,120.447792
"2021-12-13",123.440002,123.989998,118.419998,120.080002,527500,117.684074
"2021-12-14",111.650002,118.540001,111.650002,116.860001,1645100,114.52832
"2021-12-15",116.160004,116.389999,112.43,115.849998,917800,113.538467
"2021-12-16",117.419998,117.93,113.910004,114.419998,785500,112.136993
"2021-12-17",113.470001,116.760002,111.580002,115.050003,994000,112.75444
"2021-12-20",113.139999,113.139999,106.980003,108.900002,911400,106.727142
"2021-12-21",109.989998,112.190002,109.970001,111.970001,683300,109.735878
"2021-12-22",111.279999,113.029999,111.190002,111.599998,363600,110.049469
"2021-12-23",112.220001,112.669998,110.93,112.139999,313700,110.581963
"2021-12-27",112.739998,117.300003,112.739998,116.93,802900,115.305412
"2021-12-28",116.699997,118.68,116.480003,116.75,473600,115.127914
"2021-12-29",116.989998,118.089996,116.739998,117.459999,362400,115.828049
"2021-12-30",117.580002,119.230003,117.459999,117.93,281800,116.291519
"2021-12-31",117.949997,119.110001,117.190002,118.860001,455900,117.208595
"2022-01-03",119.900002,122.279999,119.25,120.919998,769700,119.239975
"2022-01-04",122.220001,125.389999,122.220001,124.169998,731200,122.444817
"2022-01-05",124.970001,126.480003,121.970001,122.129997,837300,120.433159
"2022-01-06",123.120003,123.160004,118.660004,120.050003,733300,118.382065
"2022-01-07",119.300003,120.779999,117.779999,118.059998,717600,116.419716
"2022-01-10",117.300003,117.300003,112.410004,115.529999,924300,113.924866
"2022-01-11",115.699997,117.900002,113.879997,117.279999,569600,115.650551
"2022-01-12",118,119.169998,114.75,115.050003,1252000,113.45153
