"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume","PSX.Adjusted"
"2020-12-14",69.709999,70.550003,66.860001,67.190002,2816400,62.827934
"2020-12-15",67.160004,68.690002,66.25,68.25,3028500,63.819111
"2020-12-16",68.449997,68.5,66.919998,67.290001,3395200,62.921444
"2020-12-17",67.860001,67.870003,66.400002,67.169998,3162500,62.809231
"2020-12-18",67.089996,67.519997,66.059998,66.849998,8457000,62.510006
"2020-12-21",64.760002,67.260002,63.799999,66.489998,3479200,62.173374
"2020-12-22",66.519997,68.18,66.150002,67.510002,3573900,63.127151
"2020-12-23",68.379997,69.970001,68.010002,69.360001,2988100,64.857056
"2020-12-24",69.190002,69.279999,68.040001,68.730003,1295200,64.267952
"2020-12-28",69.440002,70.93,69.040001,69.330002,2442000,64.828995
"2020-12-29",69.449997,69.870003,67.779999,68.379997,3847500,63.94067
"2020-12-30",68.589996,70.910004,68.489998,70.599998,2906000,66.016541
"2020-12-31",70.5,70.739998,69.760002,69.940002,2003500,65.399384
"2021-01-04",70.610001,71.290001,68.559998,69.879997,2714200,65.343292
"2021-01-05",70,73.779999,70,71.75,3907000,67.091881
"2021-01-06",73.010002,73.419998,70.339996,71.220001,5097800,66.596291
"2021-01-07",71.5,73.309998,70.779999,71.860001,2568200,67.194748
"2021-01-08",72.510002,72.599998,70.339996,70.709999,2683600,66.119408
"2021-01-11",69,72.800003,68.68,72.269997,4944300,67.578125
"2021-01-12",72.720001,74.07,71.639999,73.739998,2648600,68.95269
"2021-01-13",73.5,73.699997,71.529999,71.769997,2520600,67.110588
"2021-01-14",72.029999,74.949997,72,74.139999,3028700,69.326729
"2021-01-15",73.150002,73.459999,70.93,71.739998,3413700,67.082542
"2021-01-19",72.720001,75.169998,72.080002,74.779999,2976200,69.925171
"2021-01-20",75.400002,75.959999,73.940002,75.389999,2566800,70.495575
"2021-01-21",74.559998,75.410004,72.629997,73.160004,2698600,68.410347
"2021-01-22",71.699997,73.089996,71.150002,72.550003,2563600,67.839958
"2021-01-25",72,73.199997,71.029999,72.080002,3003600,67.400467
"2021-01-26",72.849998,74.080002,71.260002,71.309998,2056800,66.680443
"2021-01-27",70.220001,73.18,69.699997,71.199997,3080400,66.577583
"2021-01-28",71.699997,72.620003,70.559998,71.449997,2654500,66.811363
"2021-01-29",69.300003,71.400002,67.389999,67.800003,5732800,63.398338
"2021-02-01",68.339996,68.449997,65.379997,67.379997,2968800,63.005589
"2021-02-02",69.160004,70.150002,67.610001,68.660004,2324900,64.202507
"2021-02-03",68.660004,71.389999,68.660004,71.290001,2598900,66.661751
"2021-02-04",71.559998,72.599998,70.739998,71.93,1997000,67.260201
"2021-02-05",73.150002,73.510002,71.349998,72.040001,2466500,67.36306
"2021-02-08",72.800003,76.139999,72.550003,75.790001,2678800,70.869598
"2021-02-09",75.449997,75.559998,73.839996,74.529999,2644900,69.691406
"2021-02-10",74.800003,76.779999,74.449997,76.720001,2231600,71.739227
"2021-02-11",76.400002,77.260002,74.849998,77.239998,2308000,72.225464
"2021-02-12",77.059998,77.790001,76.239998,77.230003,1954700,72.216125
"2021-02-16",78.889999,80.599998,78.099998,79.389999,2763700,74.235878
"2021-02-17",80,80.910004,78.230003,80.639999,2135800,75.404739
"2021-02-18",80.169998,80.589996,78.910004,80.050003,2075000,74.853043
"2021-02-19",79.769997,82.980003,79.510002,82.309998,3401800,77.841484
"2021-02-22",81.470001,85.370003,81.160004,83.959999,3213900,79.401909
"2021-02-23",85.25,85.989998,82.389999,85.529999,2557200,80.886673
"2021-02-24",85.849998,87.940002,85.529999,87.25,3540700,82.513298
"2021-02-25",88,88.050003,84.209999,84.639999,2767000,80.044991
"2021-02-26",83.919998,84.440002,80.160004,83.050003,4790700,78.541313
"2021-03-01",85.050003,85.75,84.099998,84.699997,2227400,80.10173
"2021-03-02",84.260002,85.339996,82.190002,82.269997,2354100,77.803658
"2021-03-03",83.120003,85.620003,82.809998,83.839996,2352400,79.288414
"2021-03-04",84.449997,86.160004,82.790001,84.410004,2829300,79.827484
"2021-03-05",86.610001,87.43,84.110001,87.349998,3367100,82.607864
"2021-03-08",88.879997,90.099998,87.25,88.470001,2892300,83.667068
"2021-03-09",87.690002,90.589996,85.330002,85.400002,3497500,80.763741
"2021-03-10",85.550003,89.07,84.900002,88.440002,2554600,83.638702
"2021-03-11",88.599998,89.5,87.550003,87.730003,2667700,82.967247
"2021-03-12",88.980003,89.129997,87.489998,88.660004,1864100,83.846756
"2021-03-15",88.459999,89.120003,86.860001,87.839996,2200800,83.071266
"2021-03-16",86.650002,86.779999,84.580002,84.93,3064000,80.319252
"2021-03-17",84.949997,85.720001,83.650002,85.459999,2490300,80.820473
"2021-03-18",84.669998,85.190002,81.300003,81.370003,3516700,76.952522
"2021-03-19",81.639999,83.540001,80.610001,82.260002,5098200,77.794205
"2021-03-22",81.410004,81.940002,80.360001,80.580002,2946100,76.205406
"2021-03-23",79.120003,80.860001,77.720001,78.980003,3348500,74.692268
"2021-03-24",80.470001,82.260002,80.330002,82.029999,3417400,77.576691
"2021-03-25",80.779999,82.730003,79.129997,82.440002,2613300,77.964432
"2021-03-26",83.949997,84.440002,82.57,84.309998,2370000,79.732903
"2021-03-29",83.160004,83.379997,81.32,82.529999,1880600,78.049538
"2021-03-30",81.760002,83.309998,81.599998,82.309998,1960600,77.841484
"2021-03-31",81.989998,82.620003,81.269997,81.540001,2665200,77.113289
"2021-04-01",81.589996,83.300003,80.519997,83.160004,2732900,78.645348
"2021-04-05",83.040001,83.370003,81.18,82.059998,3060200,77.605057
"2021-04-06",82.190002,82.919998,80.519997,80.849998,2905200,76.460747
"2021-04-07",80.870003,80.940002,79.110001,80,2707200,75.656898
"2021-04-08",78.959999,79.169998,77.660004,78.419998,2908500,74.162674
"2021-04-09",78.519997,80.629997,78.099998,79.029999,3592000,74.739555
"2021-04-12",79.660004,80.370003,77.459999,77.620003,1846300,73.406105
"2021-04-13",77.260002,77.839996,76.660004,77.620003,2000600,73.406105
"2021-04-14",78.349998,80.529999,78.209999,79.389999,2237300,75.080009
"2021-04-15",79.029999,79.269997,78.25,79.019997,2143800,74.730103
