"","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2021-06-04",198.759995,198.759995,197.089996,197.720001,1353100,193.145767
"2021-06-07",198.039993,198.220001,196.119995,196.720001,1270700,192.168915
"2021-06-08",197.130005,199.190002,196.520004,198.880005,1098900,194.278946
"2021-06-09",199.949997,200.509995,198.089996,198.190002,1622500,193.604904
"2021-06-10",198.179993,200.119995,197.279999,200.059998,1415000,196.353012
"2021-06-11",200.330002,200.360001,198.990005,199.649994,1360000,195.950607
"2021-06-14",198.570007,199.630005,197.199997,199.169998,1436100,195.479507
"2021-06-15",199.169998,199.610001,197.869995,199.029999,1030200,195.342087
"2021-06-16",198.490005,199.550003,196.009995,197.229996,1865300,193.57547
"2021-06-17",196.899994,198.580002,196.5,197.5,1402300,193.840454
"2021-06-18",195.929993,196.179993,192.179993,192.899994,2926600,189.325684
"2021-06-21",193.779999,196.919998,193.649994,196.470001,1174100,192.829544
"2021-06-22",195.820007,196.949997,195.059998,196.789993,979600,193.1436
"2021-06-23",196.229996,196.229996,194.759995,195.229996,873500,191.612534
"2021-06-24",196.100006,196.699997,195.210007,196.080002,1055400,192.446777
"2021-06-25",195.970001,198.059998,195.509995,197.360001,1798900,193.703064
"2021-06-28",197.559998,198.199997,195.690002,196.630005,1279400,192.986572
"2021-06-29",196.960007,198.589996,196.169998,197.619995,912200,193.958221
"2021-06-30",197.580002,199.179993,197.389999,198.619995,1433200,194.939697
"2021-07-01",198.619995,199.979996,198.410004,199.809998,1130300,196.107651
"2021-07-02",201.899994,201.940002,200.059998,201.479996,1012100,197.746704
"2021-07-06",202.320007,202.5,199.320007,201.110001,1032400,197.383575
"2021-07-07",201.440002,203.550003,200.880005,203.339996,1091500,199.572235
"2021-07-08",201.940002,203.089996,200.75,201.860001,1262800,198.119675
"2021-07-09",202,203.970001,201.830002,203.720001,1746800,199.94519
"2021-07-12",201.899994,203.940002,200.910004,203.75,1325200,199.974655
"2021-07-13",203.899994,204.839996,203.309998,203.910004,1025100,200.131699
"2021-07-14",204.789993,205.410004,203.919998,204.5,1558900,200.710754
"2021-07-15",204.289993,207.350006,204,207.029999,1518200,203.193878
"2021-07-16",207.100006,208.580002,205.339996,205.600006,1652100,201.790375
"2021-07-19",204.240005,205.369995,200.5,201.679993,1841600,197.942993
"2021-07-20",202.779999,205.759995,202.160004,203.139999,2097200,199.375946
"2021-07-21",203.139999,204.600006,202.729996,204.470001,1408700,200.68132
"2021-07-22",204.559998,205.119995,202.720001,203.289993,1075700,199.523163
"2021-07-23",204.289993,206.539993,203.470001,206.080002,1105200,202.261475
"2021-07-26",205.740005,206.479996,204.350006,206.270004,1118800,202.447937
"2021-07-27",206.410004,208.589996,205.699997,207.889999,2074900,204.037933
"2021-07-28",207.270004,207.5,203.220001,206.880005,2065500,203.046646
"2021-07-29",208,209.869995,207.080002,208.830002,1236900,204.960526
"2021-07-30",208.410004,210.320007,208.410004,209.630005,1533800,205.745682
"2021-08-02",210.539993,211.270004,209.229996,209.449997,1459000,205.569031
"2021-08-03",209.600006,213.720001,208.720001,213.440002,1412200,209.485107
"2021-08-04",213.039993,213.649994,211.919998,212,1634600,208.071777
"2021-08-05",213.100006,213.580002,212.089996,213.289993,1010900,209.33786
"2021-08-06",213.419998,213.940002,212.529999,213,1342900,209.053238
"2021-08-09",213.429993,213.960007,212.289993,213.699997,1322000,209.74028
"2021-08-10",214.059998,217.149994,213.429993,216.720001,2574700,212.70433
"2021-08-11",214.820007,217.039993,214.820007,216.25,1883600,212.243027
"2021-08-12",216.679993,216.690002,214.600006,214.899994,1449300,210.918045
"2021-08-13",215.169998,216.020004,214.710007,215.169998,1003500,211.183029
"2021-08-16",213.929993,216.669998,213.660004,216.559998,1233600,212.547287
"2021-08-17",215.380005,216.399994,213.75,214.800003,1248800,210.819916
"2021-08-18",213.970001,213.970001,208.259995,208.470001,3061100,204.607193
"2021-08-19",207.759995,211.770004,207.5,211.119995,1582400,207.208084
"2021-08-20",211.800003,212,209.889999,211.580002,1777700,207.659561
"2021-08-23",212.199997,212.630005,210.389999,211.729996,1139200,207.806778
"2021-08-24",210.789993,211.630005,208.029999,208.190002,1663100,204.332382
"2021-08-25",208.800003,209.169998,206.889999,208.190002,1202800,204.332382
"2021-08-26",207.770004,208.389999,206.199997,207.080002,1207100,203.242935
"2021-08-27",207.610001,209.610001,207.190002,208.960007,1370000,205.088104
"2021-08-30",209.089996,210.830002,208.990005,209.070007,885600,205.196091
"2021-08-31",209.880005,209.880005,207.080002,209.039993,2237100,205.166611
"2021-09-01",207.5,207.5,205.740005,206.860001,1397600,203.027023
"2021-09-02",205.490005,207.350006,205.490005,206.529999,1174400,202.703125
"2021-09-03",204.5,207.779999,204.369995,207.380005,1115900,203.537369
"2021-09-07",206.860001,207.330002,201.839996,202.229996,1342300,198.482803
"2021-09-08",202.669998,205.270004,202.350006,205.130005,1259200,201.329086
"2021-09-09",204.759995,206.490005,203.050003,203.160004,1295700,200.303696
"2021-09-10",204.399994,204.429993,200.649994,200.830002,1843800,198.006454
"2021-09-13",202.490005,204.259995,199.100006,200,1894800,197.188141
"2021-09-14",201.389999,201.479996,199.210007,199.740005,1906300,196.931778
"2021-09-15",199.320007,200.889999,198.940002,200.520004,1661800,197.700821
"2021-09-16",200.679993,201.529999,198.199997,198.399994,1430600,195.610611
"2021-09-17",198.369995,199.779999,197.419998,198.669998,3083600,195.876831
"2021-09-20",196.880005,199.529999,196.100006,198.809998,1915900,196.014862
"2021-09-21",199.25,199.389999,196.350006,197.050003,985600,194.279602
"2021-09-22",198.139999,199,196.789993,198.309998,968500,195.521881
"2021-09-23",198.850006,202.460007,198.520004,201.389999,1041200,198.558578
"2021-09-24",200.949997,202.889999,200.720001,202.220001,884100,199.376907
"2021-09-27",201.389999,203.169998,201.130005,201.720001,1357500,198.883942
"2021-09-28",199.789993,200.509995,196.779999,197.279999,1245900,194.506378
"2021-09-29",198.009995,200.699997,197.880005,199.580002,1001500,196.774033
"2021-09-30",200.470001,204.339996,199.710007,199.919998,1739700,197.109253
"2021-10-01",200.509995,203.220001,197.009995,202,1379000,199.160004
"2021-10-04",200.389999,202.669998,199.210007,199.970001,1453500,197.158539
"2021-10-05",200.070007,204.710007,199.330002,203.759995,1039000,200.895248
"2021-10-06",202.330002,205.210007,202.139999,204.990005,1486100,202.107971
"2021-10-07",206.520004,208.809998,206.029999,207.570007,1439600,204.651718
"2021-10-08",207.919998,208.220001,205.940002,206.160004,1002500,203.26152
"2021-10-11",205.559998,205.759995,203.630005,203.75,816900,200.885406
"2021-10-12",204.070007,204.639999,203.009995,203.839996,1132600,200.974121
"2021-10-13",205.169998,205.759995,202.25,205.190002,1129800,202.305161
"2021-10-14",206.360001,208.949997,206.210007,208.520004,1361900,205.588348
"2021-10-15",210,213.050003,209.139999,212.979996,1747200,209.985626
"2021-10-18",211.570007,213.649994,210.5,212.570007,1310700,209.58139
"2021-10-19",213.25,214.080002,211.729996,213.979996,834300,210.971573
"2021-10-20",214.990005,215.309998,212.5,213.050003,1048700,210.054657
"2021-10-21",213.080002,215,212.070007,214.710007,939700,211.691315
"2021-10-22",215.5,218.759995,215.169998,217.75,1361400,214.688583
"2021-10-25",217.839996,219.259995,217.309998,218.070007,863300,215.004074
"2021-10-26",218.149994,220.139999,217.820007,218.800003,1819500,215.723801
"2021-10-27",223.160004,224.759995,220.539993,221.949997,2043500,218.829514
"2021-10-28",222.380005,223.789993,221.149994,222.940002,1428700,219.805618
"2021-10-29",222.089996,225,222.089996,224.490005,1609700,221.333801
"2021-11-01",224.110001,224.619995,221.059998,222.139999,1173000,219.016861
"2021-11-02",223.240005,225.240005,222.119995,225.169998,1249000,222.004242
"2021-11-03",222.330002,226.089996,222.160004,225.75,1079300,222.576096
"2021-11-04",225.669998,227.309998,225.070007,226.190002,1190400,223.009918
"2021-11-05",229.259995,230.119995,227.779999,229.600006,1394700,226.371964
"2021-11-08",230.199997,230.199997,226.699997,227.490005,1366200,224.291641
"2021-11-09",228.039993,229.509995,225.690002,229.199997,1093100,225.977585
"2021-11-10",229.949997,231.699997,228.369995,229.639999,1081000,226.411407
"2021-11-11",228.839996,229.729996,227.679993,228.550003,709700,225.336746
"2021-11-12",229.600006,231.869995,228.679993,230.929993,1207600,227.683258
"2021-11-15",231.800003,233.240005,229.770004,233.059998,1028800,229.78331
"2021-11-16",234.029999,237.059998,234,235.25,1454500,231.942535
"2021-11-17",234.119995,237.149994,233.600006,236.880005,1080300,233.549622
"2021-11-18",236.960007,238.25,235.020004,237.949997,1151000,234.604568
"2021-11-19",239.080002,239.259995,236.929993,237.910004,1301700,234.56514
"2021-11-22",237.479996,241.179993,235.929993,236.820007,1080600,233.490463
"2021-11-23",235.619995,236.529999,234.089996,236.139999,1456800,232.820023
"2021-11-24",234.960007,235.800003,232.470001,234.369995,1511100,231.07489
"2021-11-26",233.740005,234.300003,229.070007,229.619995,1366700,226.391678
"2021-11-29",231.110001,237.179993,230.110001,235.899994,2094300,232.583374
"2021-11-30",236.509995,236.550003,229.330002,230.889999,4374200,227.643845
"2021-12-01",229.910004,232.229996,224.550003,226.869995,2391600,223.680359
"2021-12-02",228.389999,234.100006,228.389999,232.429993,2121700,229.16217
"2021-12-03",232.199997,233.149994,227.759995,229.889999,1561700,226.657898
"2021-12-06",232.380005,233.320007,230.679993,232.199997,2289600,228.93541
"2021-12-07",234.949997,236.139999,233.240005,235.130005,1753400,231.824234
"2021-12-08",233.270004,235.649994,232.199997,234.300003,1045700,231.00589
"2021-12-09",233.259995,233.910004,231.589996,232.740005,1326200,230.490921
"2021-12-10",234.039993,236.860001,233.449997,236.729996,1276100,234.442352
"2021-12-13",236.339996,237.289993,234.789993,235.020004,1638900,232.748886
"2021-12-14",233.850006,234.699997,227.679993,229.720001,1501300,227.500107
"2021-12-15",229.449997,234.059998,229.399994,233.919998,1536400,231.659515
"2021-12-16",233.919998,234.550003,231.039993,231.850006,1597200,229.609528
"2021-12-17",230.149994,232.850006,228.729996,229.410004,2452100,227.1931
"2021-12-20",226.479996,229.619995,225.149994,229.360001,1137800,227.143585
"2021-12-21",231.229996,232.179993,229.259995,231.949997,1105400,229.708542
"2021-12-22",231.830002,237.759995,231.660004,237.619995,1340600,235.323746
"2021-12-23",237.919998,243.759995,237.869995,242,1532500,239.661423
"2021-12-27",243.100006,246.710007,242.509995,246.289993,1020700,243.909958
"2021-12-28",246.270004,246.910004,245.429993,246.070007,924400,243.692123
"2021-12-29",247.539993,248.960007,244.699997,248.009995,936800,245.613342
