"","PEP.Open","PEP.High","PEP.Low","PEP.Close","PEP.Volume","PEP.Adjusted"
"2021-05-05",143.720001,144.570007,143.5,143.889999,5305200,139.033844
"2021-05-06",144.470001,145.960007,144.009995,145.559998,4472200,140.647507
"2021-05-07",145.229996,146,144.570007,145.559998,4181000,140.647507
"2021-05-10",146.490005,147.990005,146.110001,146.720001,5270600,141.768341
"2021-05-11",147.169998,147.639999,145.020004,145.649994,5266100,140.734436
"2021-05-12",144.880005,145.740005,143.850006,144.229996,5651700,139.362366
"2021-05-13",144.240005,147.119995,143.580002,146.369995,4849400,141.430161
"2021-05-14",147.199997,147.899994,146.419998,146.589996,4224700,141.642715
"2021-05-17",147,147.399994,145.710007,146.169998,3747100,141.236893
"2021-05-18",146.639999,146.949997,145.320007,145.509995,4527300,140.599167
"2021-05-19",144.639999,145.630005,144.080002,145.429993,4432700,140.521881
"2021-05-20",145.25,147.729996,145.110001,147.229996,3964600,142.261139
"2021-05-21",147.869995,148.309998,146.520004,147.100006,5194200,142.135513
"2021-05-24",147.639999,148.350006,147.009995,147.850006,3627800,142.860199
"2021-05-25",147.850006,148.369995,147.009995,148.300003,4649300,143.295029
"2021-05-26",147.910004,148.669998,147.679993,148.300003,4462600,143.295029
"2021-05-27",148.559998,148.770004,146.440002,146.509995,9203600,141.565414
"2021-05-28",147.410004,148.5,147.240005,147.940002,4913700,142.947174
"2021-06-01",148.779999,148.850006,147.089996,147.630005,5530300,142.647629
"2021-06-02",148.199997,148.529999,147.229996,148.220001,4546900,143.217728
"2021-06-03",146.710007,147.759995,146.160004,147.669998,4651600,143.728699
"2021-06-04",148,148.589996,147.470001,147.839996,4427400,143.894165
"2021-06-07",147.759995,148.25,146.710007,147.75,4724100,143.80658
"2021-06-08",147.699997,147.869995,145.919998,146.369995,5997200,142.463409
"2021-06-09",147.25,147.589996,146.020004,146.100006,4008000,142.200638
"2021-06-10",146.309998,148.009995,146.130005,147.600006,4698200,143.660583
"2021-06-11",148.050003,148.119995,146.789993,147.690002,4364600,143.748169
"2021-06-14",147.470001,148.630005,146.789993,148.570007,3831900,144.604691
"2021-06-15",148.899994,149.169998,148.070007,148.580002,4256500,144.614426
"2021-06-16",148.860001,149.270004,146.75,147.100006,5492100,143.17392
"2021-06-17",147.25,149,146.910004,148.520004,5316400,144.556015
"2021-06-18",147.979996,147.979996,145.229996,145.419998,10661700,141.538757
"2021-06-21",145.75,146.740005,145.449997,146.559998,4904300,142.648331
"2021-06-22",146.729996,147.5,146.289993,146.779999,3518000,142.862442
"2021-06-23",146.059998,146.130005,144.830002,144.850006,3901700,140.983978
"2021-06-24",144.860001,145.940002,144.610001,145.669998,3818900,141.782104
"2021-06-25",145.759995,146.789993,145.240005,146.410004,6387600,142.502335
"2021-06-28",146.759995,147.589996,146.619995,147.039993,4282800,143.115524
"2021-06-29",147.449997,147.699997,146.399994,146.940002,3197700,143.018188
"2021-06-30",147.429993,148.309998,147.199997,148.169998,4943700,144.215363
"2021-07-01",148.080002,149.080002,147.940002,148.199997,3997600,144.244553
"2021-07-02",148.899994,149.779999,148.559998,148.910004,3835500,144.935608
"2021-07-06",149.070007,149.419998,147.770004,149.130005,4313800,145.149734
"2021-07-07",149.289993,150.699997,149,149.789993,4225000,145.792114
"2021-07-08",149.419998,150.669998,149.190002,149.860001,4216000,145.86026
"2021-07-09",149.410004,150.309998,149.169998,149.479996,4088600,145.490402
"2021-07-12",149.490005,149.789993,148.779999,149.509995,4873700,145.519577
