"","BBWI.Open","BBWI.High","BBWI.Low","BBWI.Close","BBWI.Volume","BBWI.Adjusted"
"2021-02-04",36.782539,39.708973,36.378334,38.860146,8617437,38.265411
"2021-02-05",39.24818,40.153599,38.69038,39.927242,3431191,39.316174
"2021-02-08",40.412289,41.261116,39.781731,41.05093,4086677,40.422665
"2021-02-09",40.51738,40.929668,39.531124,39.587711,4487712,38.981846
"2021-02-10",39.50687,39.822151,38.447857,39.126919,3404595,38.528099
"2021-02-11",39.199677,40.113178,38.447857,39.005657,2465341,38.408695
"2021-02-12",38.633793,39.046078,38.100243,38.173,2524099,37.588779
"2021-02-16",38.868229,39.927242,38.69038,39.781731,3168081,39.172894
"2021-02-17",39.312855,39.74131,38.569118,39.272434,3455312,38.671387
"2021-02-18",39.191593,39.628132,38.350849,39.458366,2862294,38.854481
"2021-02-19",39.76556,40.994343,39.603882,40.687145,2964594,40.064449
"2021-02-22",40.614391,41.875504,40.420372,41.026676,3672529,40.398781
"2021-02-23",41.147938,41.818916,39.717056,41.293453,4414977,40.661476
"2021-02-24",41.665318,42.643494,41.188358,41.754246,6111275,41.115223
"2021-02-25",43.726757,46.232822,41.527889,42.328213,9783309,41.680405
"2021-02-26",43.888439,46.232822,42.109943,44.18755,6799665,43.51128
"2021-03-01",44.923203,46.531933,44.842361,45.877121,5527163,45.174999
"2021-03-02",46.143898,46.58852,44.939369,45.125301,2862047,44.434681
"2021-03-03",45.109135,45.707355,44.179466,44.365398,3363403,43.686409
"2021-03-04",44.349232,44.987873,42.546482,43.718674,4516040,43.049583
"2021-03-05",44.260307,45.335487,42.635406,45.012127,4296472,44.323235
"2021-03-08",45.23848,45.707355,44.284557,44.656425,4404091,43.972984
"2021-03-09",44.76152,44.987873,43.694424,44.066288,4413863,43.391872
"2021-03-10",44.001617,44.745354,43.201294,44.260307,3538067,43.582924
"2021-03-11",44.672596,45.489086,44.518997,45.149555,4131209,44.458561
"2021-03-12",48.286175,49.660469,47.970898,49.159256,8134388,48.406898
"2021-03-15",49.717056,50.185932,48.94907,49.102669,4143950,48.351181
"2021-03-16",49.143089,49.409863,48.270008,48.722717,3323201,47.977039
"2021-03-17",48.075989,49.474537,47.63945,49.409863,2740945,48.653671
"2021-03-18",49.48262,50.032337,48.294258,48.633793,2934288,47.889473
"2021-03-19",48.520615,49.539207,48.043655,48.940987,6305113,48.191967
"2021-03-22",49.22393,50.064674,48.41552,48.512531,4124777,47.770073
"2021-03-23",47.40501,47.833469,45.885204,46.467258,6002543,45.7561
"2021-03-24",47.324169,47.849636,46.168148,46.313663,4233261,45.604862
"2021-03-25",45.529507,48.407436,45.2789,48.043655,4675984,47.308376
"2021-03-26",51.139854,51.835087,48.803558,49.797897,6763669,49.035767
"2021-03-29",50.097008,50.646725,47.906223,48.310429,4801787,47.57106
"2021-03-30",48.876312,51.059013,48.504444,50.824577,5118335,50.046738
"2021-03-31",50.929668,51.156021,49.563461,50.008083,4138878,49.242737
"2021-04-01",50.23444,50.371868,48.399353,49.959579,5305988,49.194973
"2021-04-05",50.485043,50.824577,49.320938,49.927242,4764924,49.163132
"2021-04-06",49.959579,50.339531,49.426029,50.153599,7208741,49.386021
"2021-04-07",50.719482,52.675831,50.525463,51.972515,6179310,51.177105
"2021-04-08",51.859337,52.748585,50.953922,52.708164,4730535,51.901489
"2021-04-09",52.675831,54.033955,52.59499,53.985451,3748110,53.159237
"2021-04-12",53.742928,54.349232,53.241714,53.848019,2779910,53.023903
"2021-04-13",53.961197,54.381569,52.724335,53.160873,3028052,52.347271
"2021-04-14",53.160873,54.898949,53.055779,54.001617,4023714,53.175148
"2021-04-15",54.316895,54.78577,53.864189,53.985451,3760604,53.159237
"2021-04-16",54.333065,54.898949,53.524654,54.033955,3506771,53.206993
"2021-04-19",53.613583,53.872272,53.031528,53.274052,2710762,52.458721
"2021-04-20",53.128536,53.128536,50.808407,51.835087,4122426,51.041779
"2021-04-21",51.261116,53.063866,51.261116,52.797089,2413634,51.989056
"2021-04-22",53.088116,53.807598,52.748585,53.41148,2658684,52.594048
"2021-04-23",53.468067,54.696846,52.91835,54.470493,2558611,53.636852
"2021-04-26",54.551334,54.971706,52.934521,53.718674,2497256,52.896534
"2021-04-27",53.823769,55.206142,53.742928,54.640259,2819989,53.804016
"2021-04-28",54.48666,55.036377,54.058205,54.518997,2412397,53.684612
"2021-04-29",54.729183,55.02021,53.64592,53.880356,3141980,53.05574
"2021-04-30",53.225548,53.856102,52.934521,53.274052,3235868,52.458721
"2021-05-03",53.395309,55.173809,53.395309,54.672596,5005644,53.835861
"2021-05-04",53.807598,54.033955,52.126114,53.233631,4026435,52.418919
"2021-05-05",53.694424,53.767178,52.627323,53.104286,3947143,52.291557
"2021-05-06",53.15279,53.354893,52.522232,53.306385,3443684,52.490559
"2021-05-07",52.942604,54.672596,52.821342,54.397736,8946479,53.565208
"2021-05-10",54.898949,57.679871,54.898949,55.610348,5953434,54.759258
"2021-05-11",54.470493,54.850445,52.368633,54.624092,8017863,53.788105
"2021-05-12",54.97979,55.101051,52.158447,52.384804,6166321,51.58308
"2021-05-13",53.015362,54.171383,52.295876,53.15279,3536459,52.339317
"2021-05-14",53.783348,56.394505,53.783348,55.966045,4195533,55.109516
"2021-05-17",55.578011,57.14632,55.028294,56.976555,4067009,56.104557
"2021-05-18",57.760712,58.19725,55.586094,56.176231,6367210,55.316483
"2021-05-19",54.236053,55.012127,53.354893,54.413906,6461222,53.581127
"2021-05-20",54.1633,55.295071,50.767986,52.287792,8342328,51.487556
"2021-05-21",52.570736,53.500404,52.045273,52.376717,7205649,51.575115
"2021-05-24",52.708164,54.236053,52.263542,53.524654,6350758,52.705486
"2021-05-25",54.22797,55.521423,53.702507,53.815681,5119696,52.992058
"2021-05-26",53.839935,55.828617,53.815681,55.173809,3860553,54.329403
"2021-05-27",55.618431,56.814877,55.383995,56.135811,20523933,55.27668
"2021-05-28",56.184319,57.1059,55.222313,56.483429,4489073,55.618984
"2021-06-01",56.725948,57.308002,55.957962,57.227161,5619938,56.351334
"2021-06-02",56.766369,56.984638,54.139046,55.109135,5872781,54.265717
"2021-06-03",53.759094,54.48666,52.950687,53.41148,7125491,52.71003
"2021-06-04",53.686337,53.856102,51.924011,53.120453,5345572,52.422825
"2021-06-07",53.330639,54.316895,52.797089,53.468067,3955060,52.765869
"2021-06-08",53.338722,53.718674,52.651577,53.185123,4034599,52.486645
"2021-06-09",53.217461,53.330639,51.689571,52.91835,4866482,52.223373
"2021-06-10",53.73484,54.729183,52.223122,52.966854,3949617,52.271244
"2021-06-11",53.395309,54.18755,53.314468,54.171383,3877253,53.459949
"2021-06-14",54.042038,54.7211,52.473728,53.144707,6384776,52.446758
"2021-06-15",53.15279,53.500404,51.519806,52.271626,4979296,51.585144
"2021-06-16",52.417137,53.694424,51.131771,53.492321,5380084,52.789806
"2021-06-17",53.427647,53.751011,50.743736,50.759903,7350254,50.093273
"2021-06-18",50.088924,51.535973,49.733227,50.75182,6508104,50.085293
"2021-06-21",51.479385,53.354893,51.382378,53.185123,5997471,52.486645
"2021-06-22",53.257881,56.26516,52.8941,55.852871,7507477,55.119354
"2021-06-23",55.707355,57.720291,55.545673,57.453518,4355972,56.698978
"2021-06-24",57.890057,58.609539,57.40501,58.318512,3885170,57.552612
"2021-06-25",58.633793,59.215843,58.092159,58.423607,9685463,57.65633
"2021-06-28",58.084072,58.189167,56.758286,57.372677,2955069,56.619198
"2021-06-29",57.728374,58.39127,57.34034,57.566692,2473258,56.810669
"2021-06-30",57.518188,58.39127,57.461601,58.253841,3410162,57.488792
"2021-07-01",58.803558,60.080841,58.64996,59.46645,4556242,58.685478
"2021-07-02",59.660469,60.016167,58.932903,59.862572,2077047,59.076393
"2021-07-06",59.967663,60.048504,58.342766,59.401779,3108828,58.621658
"2021-07-07",58.827808,59.523041,57.946644,58.407436,3053535,57.640373
"2021-07-08",56.58852,58.318512,55.650768,57.704124,3026692,56.946297
"2021-07-09",58.609539,60.315277,58.544868,59.417946,3111797,58.637608
"2021-07-12",60.194019,62.950687,59.450283,61.891674,6282970,61.07885
"2021-07-13",61.54406,62.045273,59.846401,59.919159,3845957,59.132236
"2021-07-14",61.042847,62.780922,60.428455,60.727566,8046685,59.930031
"2021-07-15",60.064674,61.034763,58.852062,59.991917,13239116,59.204041
"2021-07-16",60.048504,61.034763,58.69038,58.811642,15657946,58.039268
"2021-07-19",57.1059,57.91431,55.852871,56.604691,9436331,55.861301
"2021-07-20",57.113983,60.444626,56.903801,60.194019,7454657,59.403492
"2021-07-21",60.77607,62.522232,60.582054,61.244946,7289270,60.440617
"2021-07-22",61.244946,62.045273,60.767986,61.721909,4112654,60.911312
"2021-07-23",62.538399,63.015362,61.592564,62.934521,3975965,62.107998
"2021-07-26",63.055779,63.597412,61.915928,62.61924,3088789,61.796864
"2021-07-27",61.592564,62.708164,60.695229,62.675831,5058588,61.852707
"2021-07-28",62.87793,63.233631,61.738075,62.59499,3401255,61.772926
"2021-07-29",63.193211,64.47049,62.991108,64.25222,3077532,63.408394
"2021-07-30",63.96928,65.472916,63.864189,64.729187,3723617,63.879105
"2021-08-02",65.198059,66.289413,64.058205,64.607925,5282856,63.75943
"2021-08-03",64.5,66.230003,62.220001,66,6044300,65.133224
"2021-08-04",64.660004,65.5,61.41,61.939999,5994900,61.126541
"2021-08-05",62.799999,63.400002,61.009998,62.32,3979500,61.501553
"2021-08-06",62.650002,62.650002,60.860001,61.669998,3275800,60.860085
"2021-08-09",61.380001,62.080002,60.599998,61.48,3126000,60.672585
"2021-08-10",61.529999,63.700001,60.52,62.509998,3130900,61.689056
"2021-08-11",63.779999,64.190002,61.669998,63.25,3873400,62.419338
"2021-08-12",62.93,64.43,62.040001,62.52,2959300,61.698925
"2021-08-13",62.580002,62.880001,60.509998,60.799999,3645600,60.001514
"2021-08-16",60.970001,62.380001,59.619999,61.959999,3425400,61.146278
"2021-08-17",61.119999,61.68,58.279999,59.169998,3738200,58.392918
"2021-08-18",59.32,60.689999,58.77,59.439999,4160700,58.659374
"2021-08-19",63.810001,66.120003,62.349998,65.510002,8623500,64.813217
"2021-08-20",64.57,66.470001,64.32,66.260002,3995400,65.555237
"2021-08-23",66.639999,67.959999,65.589996,67.589996,4120600,66.871086
"2021-08-24",68.269997,69.129997,67.550003,68.349998,4454600,67.623009
"2021-08-25",68.629997,69.099998,67.779999,68.18,2345400,67.454819
"2021-08-26",67.860001,67.980003,66.18,67.839996,2553800,67.118431
"2021-08-27",68.339996,69.470001,68.300003,68.540001,1877400,67.810989
"2021-08-30",68.93,69.139999,67.75,69.029999,1562900,68.295784
"2021-08-31",68.830002,68.900002,66.900002,67.480003,2953500,66.762268
"2021-09-01",67.720001,68.540001,65.220001,66.239998,4424800,65.535454
"2021-09-02",66.279999,66.93,65.279999,65.620003,2183400,64.922058
"2021-09-03",65.43,66.699997,64.389999,65.599998,2114500,64.90226
"2021-09-07",65.150002,66.019997,64.32,64.980003,2554700,64.288857
"2021-09-08",64.599998,65.190002,63.66,64.480003,3082800,63.794178
"2021-09-09",64.489998,65.25,64.150002,64.529999,1801400,63.843639
"2021-09-10",64.910004,65,63.57,63.639999,2020900,62.963104
"2021-09-13",64.279999,64.370003,63.060001,63.889999,3276800,63.210445
"2021-09-14",64.239998,64.660004,63.130001,63.41,2522900,62.735554
"2021-09-15",63.060001,65.489998,62.669998,65.120003,3184500,64.427368
"2021-09-16",65.639999,67.139999,65.599998,66.510002,2217400,65.802582
"2021-09-17",66.330002,67.93,65.879997,66.339996,6159800,65.634377
"2021-09-20",64.309998,65.580002,63.119999,64.43,2105000,63.744701
"2021-09-21",65.860001,66.43,64.379997,64.43,2008400,63.744701
"2021-09-22",64.629997,66.900002,64.629997,66.419998,2430100,65.713539
"2021-09-23",66.68,68.349998,66.68,67.419998,1550200,66.702896
"2021-09-24",66.709999,67.599998,66.010002,67.389999,1675100,66.673218
"2021-09-27",68.199997,68.919998,67.400002,68.629997,2198100,67.900032
"2021-09-28",68.089996,69.089996,67.150002,67.25,2260500,66.534714
"2021-09-29",67.760002,68.440002,67.110001,67.43,1985000,66.712799
"2021-09-30",66.389999,67,62.84,63.029999,4117300,62.359589
"2021-10-01",63.299999,64.709999,62.119999,64,2819700,63.319279
"2021-10-04",63.669998,64.800003,63.060001,63.389999,2196700,62.715763
"2021-10-05",63.849998,64.660004,63,63.689999,2879100,63.012573
"2021-10-06",63.389999,63.759998,61.299999,62.380001,2695200,61.716511
"2021-10-07",63.259998,64.669998,62.880001,63.720001,2518400,63.042259
"2021-10-08",63.279999,64.019997,62.810001,63.66,1372700,62.982891
"2021-10-11",63.459999,64.269997,62.48,62.52,1438500,61.855019
"2021-10-12",62.779999,63.990002,61.950001,63.41,2055400,62.735554
"2021-10-13",63.310001,64.949997,62.990002,64.660004,1812900,63.972256
"2021-10-14",64.669998,65.93,64.220001,65.709999,2811200,65.011086
"2021-10-15",66.260002,66.970001,64.739998,64.889999,2426600,64.199806
"2021-10-18",64.580002,66.550003,64.230003,66.269997,2491800,65.565132
"2021-10-19",66.459999,67.080002,65.610001,66.099998,1834400,65.396942
"2021-10-20",66.349998,68.269997,66.349998,67.730003,2067600,67.009605
"2021-10-21",68.059998,70.190002,68.059998,69.050003,2453100,68.315559
"2021-10-22",68.870003,69.75,68.25,69.550003,2014200,68.810249
"2021-10-25",70.019997,71.379997,69.919998,70.940002,3499300,70.185471
"2021-10-26",71.970001,72.559998,70.580002,71.169998,2019700,70.41301
"2021-10-27",70.769997,70.769997,68.419998,68.519997,1760700,67.791199
"2021-10-28",68.800003,69.529999,68.650002,69.260002,1577700,68.523338
"2021-10-29",68.75,69.639999,68.290001,69.089996,1840200,68.355133
"2021-11-01",69.529999,72.5,69.529999,71.639999,2139900,70.878021
"2021-11-02",71.489998,72.519997,70.290001,72.169998,2355800,71.402374
"2021-11-03",72.529999,75.260002,72.529999,75,3422000,74.202278
"2021-11-04",75.230003,76.580002,74.75,75.889999,2761500,75.082802
"2021-11-05",77.370003,77.440002,75.099998,75.309998,1975700,74.50898
"2021-11-08",75.510002,76.199997,74.870003,74.989998,1741300,74.192375
"2021-11-09",75.099998,76.129997,74.889999,75.25,2642100,74.449623
"2021-11-10",75.050003,75.879997,73.940002,74.32,1766300,73.52951
"2021-11-11",75.080002,76.330002,75.019997,75.639999,3089900,74.835472
"2021-11-12",75.410004,75.68,73.910004,74.849998,1993700,74.053871
"2021-11-15",75.010002,75.57,73.389999,74.809998,1929500,74.01429
"2021-11-16",74.839996,75.910004,74.839996,75.779999,2420200,74.973976
"2021-11-17",76.5,76.779999,74.339996,74.599998,4750000,73.806526
"2021-11-18",81,82,76.449997,78.370003,4986400,77.69265
"2021-11-19",77.959999,78.559998,75.900002,76.410004,2945600,75.749596
"2021-11-22",76.599998,76.769997,74.800003,75.190002,4770300,74.540131
"2021-11-23",75,75.739998,72.940002,75.529999,3308000,74.877197
"2021-11-24",74.370003,75.019997,73.370003,74.809998,3447700,74.163414
"2021-11-26",73.120003,75.5,72.660004,74.610001,1867400,73.965149
"2021-11-29",75.839996,76.480003,74.449997,75.870003,2565800,75.214264
"2021-11-30",75.480003,75.660004,72.339996,75.129997,4999000,74.480652
"2021-12-01",76.599998,77.910004,71.589996,71.599998,3083400,70.981163
"2021-12-02",71.860001,74.940002,71.860001,74.510002,2972700,73.866013
"2021-12-03",74.5,75.449997,71.459999,72.959999,1967100,72.329407
"2021-12-06",74.209999,75.739998,73.489998,74.160004,2013600,73.519035
"2021-12-07",74.760002,77.470001,74.699997,75.949997,2029300,75.293564
"2021-12-08",76.040001,76.949997,75.449997,76.400002,1474500,75.739677
"2021-12-09",75.739998,77.110001,74.93,75.029999,1937800,74.381516
"2021-12-10",75.709999,76.660004,74.400002,76.470001,1501400,75.809074
"2021-12-13",76.150002,76.169998,71.849998,72.790001,1739700,72.160881
"2021-12-14",72.769997,74.110001,72.5,73.449997,1891700,72.81517
"2021-12-15",73.25,73.419998,70.379997,72.919998,2968300,72.289757
"2021-12-16",73.25,73.550003,69.050003,69.489998,2771900,68.889397
"2021-12-17",68.82,70.959999,68.07,69.849998,3227700,69.246284
"2021-12-20",67.25,68.480003,66.82,67.980003,2672700,67.392456
"2021-12-21",68.830002,69.550003,68.099998,68.389999,4090400,67.798904
