"","SHW.Open","SHW.High","SHW.Low","SHW.Close","SHW.Volume","SHW.Adjusted"
"2021-06-14",276.049988,277.200012,271.5,273.76001,1150000,271.547791
"2021-06-15",274.920013,274.920013,271.119995,271.619995,1325600,269.42511
"2021-06-16",272.25,272.769989,267.51001,268.480011,1251600,266.310455
"2021-06-17",269.640015,270.01001,265.720001,269.230011,1302400,267.054382
"2021-06-18",266.859985,270.029999,266.109985,268.160004,2048600,265.993042
"2021-06-21",270,274.5,269.160004,273.100006,1041800,270.893127
"2021-06-22",273.429993,275.170013,271.98999,273.459991,672600,271.250214
"2021-06-23",273.5,274.559998,271.220001,271.369995,591300,269.177124
"2021-06-24",273.190002,273.190002,269.170013,270.079987,892900,267.897522
"2021-06-25",269.799988,274.059998,269.790009,273.98999,1840600,271.77594
"2021-06-28",273.73999,273.73999,270.23999,272.48999,936400,270.288025
"2021-06-29",273.25,275.579987,272.160004,272.779999,647700,270.575714
"2021-06-30",272.679993,273.339996,271.130005,272.450012,971900,270.248383
"2021-07-01",273.679993,275.529999,270.799988,275.339996,790300,273.115021
"2021-07-02",275.630005,275.959991,273.959991,275.220001,549200,272.996002
"2021-07-06",275,275.220001,269.609985,273.5,686100,271.289917
"2021-07-07",272.98999,277.660004,272.649994,277.410004,674400,275.168304
"2021-07-08",274.700012,275.140015,271.149994,273.089996,1166500,270.883209
"2021-07-09",275.730011,276.720001,273.450012,276.220001,698300,273.987915
"2021-07-12",276.600006,279.149994,275.130005,277.970001,731600,275.723755
"2021-07-13",276.75,278.600006,276.480011,278.049988,1217900,275.803131
"2021-07-14",278.790009,279.619995,275.149994,276.929993,681200,274.692139
"2021-07-15",276.459991,279.980011,276.459991,279.119995,824000,276.864471
"2021-07-16",280.200012,283.869995,279.950012,282.410004,1032800,280.127899
"2021-07-19",280.940002,284.179993,278.359985,282.929993,2059700,280.643707
"2021-07-20",276.480011,282.839996,275.880005,281.23999,1661000,278.967316
"2021-07-21",282.230011,282.820007,279,281.829987,1203500,279.552551
"2021-07-22",281.829987,283.850006,281.130005,281.549988,716300,279.274811
"2021-07-23",282.359985,286.440002,282.019989,285.970001,1092900,283.659088
"2021-07-26",285.76001,286.73999,283.369995,285.480011,1344200,283.173096
"2021-07-27",282.98999,288.670013,279.429993,287.720001,1709200,285.394989
"2021-07-28",287.769989,289.339996,286.130005,287.540009,1103100,285.216431
"2021-07-29",289.109985,289.75,287.119995,289.390015,964400,287.051483
"2021-07-30",289.529999,291.679993,288.859985,291.029999,1219300,288.678253
"2021-08-02",292.390015,293.190002,290.619995,291.570007,879600,289.213898
"2021-08-03",291.429993,296.089996,291.01001,295.980011,863000,293.588257
"2021-08-04",295.279999,297.709991,294.559998,296.230011,920900,293.836212
"2021-08-05",297.290009,298.98999,294.559998,295.660004,956700,293.270844
"2021-08-06",295.549988,298.269989,295.549988,296.950012,709500,294.550415
"2021-08-09",297.140015,297.850006,295.700012,297.410004,862000,295.006653
"2021-08-10",297.709991,298.100006,295.790009,296.070007,622900,293.677521
"2021-08-11",297.329987,303.029999,297.079987,302.329987,1151500,299.886871
"2021-08-12",301.559998,304.339996,299.549988,303.709991,1325300,301.255768
"2021-08-13",303.709991,307.329987,303.709991,305.660004,911100,303.190033
"2021-08-16",305.339996,308.820007,303.609985,307.76001,853700,305.273041
"2021-08-17",306.029999,306.459991,302.5,304.920013,869900,302.456024
"2021-08-18",304.920013,305.609985,300.880005,301.109985,850300,298.676758
