"","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted"
"2021-01-26",283.929993,285.769989,280.079987,281.76001,3296800,273.600891
"2021-01-27",276,277.369995,271.320007,273.329987,3891800,265.414948
"2021-01-28",274.609985,279.829987,271.329987,275.019989,3778700,267.05603
"2021-01-29",274.269989,277.399994,270.619995,271.170013,3412000,263.317535
"2021-02-01",272.660004,276.799988,272,274.730011,2324100,266.774414
"2021-02-02",278.320007,288.25,278,286.970001,5195500,278.660004
"2021-02-03",286.609985,289.809998,285.179993,288.549988,2712800,280.194183
"2021-02-04",290,295.829987,289.519989,293.75,2994700,285.243713
"2021-02-05",295,297.23999,292.190002,293.5,2938100,285.000916
"2021-02-08",295,300.890015,294.5,300.149994,2826200,291.458282
"2021-02-09",299.600006,302.450012,297.700012,300.459991,2071700,291.759308
"2021-02-10",300,305.179993,297.75,304.279999,3213700,295.46875
"2021-02-11",303.980011,305.01001,299.170013,302.320007,2159900,293.565491
"2021-02-12",301.98999,306.700012,301.769989,306.320007,1977300,297.449677
"2021-02-16",310,312.920013,309.220001,311.959991,2792200,302.9263
"2021-02-17",310.029999,314.980011,308.76001,312.73999,2333100,303.683716
"2021-02-18",309.220001,314.5,307.579987,309.899994,2093300,300.925995
"2021-02-19",310.230011,316.779999,310.230011,315.619995,2749500,306.480377
"2021-02-22",313,320.559998,312.209991,316.869995,3162300,307.694122
"2021-02-23",317.980011,320,310.579987,319.209991,2942500,309.96637
"2021-02-24",320.170013,330.970001,320.100006,330.640015,3934400,321.065399
"2021-02-25",333.329987,335.809998,326.290009,327.76001,4244000,318.268799
"2021-02-26",325.769989,328.679993,319.040009,319.480011,3732200,310.228607
"2021-03-01",325,331.040009,323.309998,329.920013,2957800,321.624634
"2021-03-02",330,336.190002,329.51001,330.940002,2850300,322.619019
"2021-03-03",333.679993,340.100006,333.25,334.429993,3606300,326.02124
"2021-03-04",333.130005,339.76001,323.920013,329.290009,3647600,321.010529
"2021-03-05",335.579987,335.579987,316.459991,327.369995,3740200,319.138733
"2021-03-08",331.359985,337.589996,329.100006,334.190002,2998000,325.787292
"2021-03-09",328.619995,336.390015,325.570007,330.589996,3324800,322.277802
"2021-03-10",332.070007,342.399994,331.529999,342.019989,3153100,333.42038
"2021-03-11",338.660004,345,336.459991,342.100006,2756600,333.498413
"2021-03-12",345.220001,350,343.640015,348.809998,2436700,340.039703
"2021-03-15",349.440002,352.420013,342,346.049988,2276200,337.34906
"2021-03-16",345.279999,346.899994,337.75,341.709991,2332600,333.118195
"2021-03-17",344.619995,347.029999,340.399994,344.950012,2710900,336.276764
"2021-03-18",350.75,356.850006,346.98999,348,3713000,339.250031
"2021-03-19",346.420013,347.23999,340.630005,344.200012,3513000,335.545593
"2021-03-22",341.059998,342.880005,336,339.329987,2094500,330.798065
"2021-03-23",337.619995,341.890015,331.329987,331.769989,2457500,323.428101
"2021-03-24",333.420013,336.940002,328.440002,328.649994,3332200,320.386566
"2021-03-25",327.350006,331.390015,321.920013,330.549988,2804700,322.23877
"2021-03-26",334.51001,335.450012,322.690002,327.390015,3082600,319.158295
"2021-03-29",320.350006,327.76001,317.720001,325.730011,4533200,317.539978
"2021-03-30",329.410004,335.75,328.850006,332.01001,2717300,323.662109
"2021-03-31",330.230011,332.649994,325.440002,327,2624500,318.778076
"2021-04-01",324.299988,329.660004,324.160004,327.640015,2659000,319.401978
"2021-04-05",332.850006,332.850006,323.049988,323.540009,3235000,315.40509
"2021-04-06",324.48999,328.540009,324,327.059998,1801700,318.836548
"2021-04-07",327.700012,329.200012,323.350006,326.549988,2157300,318.339355
"2021-04-08",324.290009,331.48999,322.970001,331.140015,2402800,322.814026
"2021-04-09",334,334.899994,328.790009,330.809998,2347100,322.492279
"2021-04-12",332.670013,334.480011,329.940002,331.839996,2318800,323.496368
"2021-04-13",329.51001,330.049988,324.179993,327.679993,3575900,319.440948
"2021-04-14",328.549988,344.470001,326.149994,335.350006,9876800,326.918121
"2021-04-15",338.899994,341.350006,334.540009,338.549988,4354800,330.037628
"2021-04-16",340.290009,343.73999,338.619995,342.309998,4231900,333.703125
"2021-04-19",340,344.429993,336.600006,343.089996,3228200,334.463531
"2021-04-20",339.970001,340.470001,329.350006,331.880005,3662300,323.535339
"2021-04-21",330,335.470001,327.559998,335.269989,2733300,326.840118
"2021-04-22",334.619995,336.970001,330.290009,330.850006,2165200,322.53125
"2021-04-23",331.25,340.670013,330.720001,339.350006,2163800,330.817566
"2021-04-26",341.940002,345.899994,340.890015,343.519989,2171500,334.882721
