"","NDSN.Open","NDSN.High","NDSN.Low","NDSN.Close","NDSN.Volume","NDSN.Adjusted"
"2021-03-23",200.240005,200.949997,197.009995,198.130005,201700,195.977158
"2021-03-24",199.630005,202.289993,199.029999,199.710007,225600,197.539978
"2021-03-25",199.520004,202.050003,197.320007,201.320007,158400,199.132507
"2021-03-26",202.160004,203.960007,198.960007,203.589996,221500,201.377808
"2021-03-29",202.690002,207.619995,202.100006,202.960007,276900,200.754654
"2021-03-30",203.539993,204.029999,201.169998,204.029999,176300,201.813034
"2021-03-31",202.830002,204.559998,198.300003,198.679993,259600,196.521179
"2021-04-01",199.539993,203.610001,198.070007,202.380005,162400,200.180969
"2021-04-05",203.059998,204.800003,201.929993,202.520004,140700,200.319458
"2021-04-06",202.570007,204.490005,200.229996,202.990005,200300,200.784332
"2021-04-07",203.789993,203.789993,199.759995,201.669998,151400,199.478683
"2021-04-08",201.979996,203.889999,198.559998,201.029999,175000,198.845627
"2021-04-09",201.259995,204.039993,200.139999,203.119995,107100,200.912903
"2021-04-12",203.139999,204.559998,202.919998,203.580002,93700,201.36792
"2021-04-13",203.479996,203.820007,201.139999,201.910004,112900,199.71608
"2021-04-14",201.169998,203.970001,201.169998,203.470001,123600,201.259109
"2021-04-15",203.699997,205.289993,201.5,204.589996,129000,202.366928
"2021-04-16",205.899994,206.970001,204.899994,206.220001,127300,203.979233
"2021-04-19",205.869995,207.119995,205.009995,205.929993,151300,203.692398
"2021-04-20",206.119995,208.039993,204.75,206.199997,143800,203.959457
"2021-04-21",207.199997,210.800003,206.369995,209.520004,169500,207.243393
"2021-04-22",208.990005,213.139999,208.699997,210.789993,173300,208.499573
"2021-04-23",212.220001,215,211.119995,213.929993,217300,211.605469
"2021-04-26",214.979996,217.949997,213.470001,213.630005,319000,211.308731
"2021-04-27",214,214.919998,212.399994,214.100006,138100,211.773621
"2021-04-28",213.910004,215,212.850006,213.610001,88500,211.28894
"2021-04-29",213.309998,223.369995,212.860001,214.899994,279100,212.564911
"2021-04-30",213.850006,213.850006,210.240005,211.410004,209200,209.112854
"2021-05-03",212.729996,213.369995,208.149994,208.610001,216700,206.343262
"2021-05-04",208.729996,212.020004,208.050003,211.300003,156600,209.004044
"2021-05-05",211.559998,211.970001,207.509995,208.5,188200,206.234451
"2021-05-06",209.509995,210.520004,207.869995,208.580002,260400,206.313599
"2021-05-07",206.600006,210.679993,206.600006,208.830002,125900,206.560867
"2021-05-10",209.669998,211.679993,208.139999,208.679993,108000,206.412506
"2021-05-11",207.220001,208.729996,205.509995,207.419998,173300,205.166199
"2021-05-12",208.020004,208.020004,199.850006,200.029999,145800,197.856491
"2021-05-13",200.610001,206.880005,200.610001,205.429993,215200,203.19783
"2021-05-14",206.229996,207.5,204.710007,205.869995,134100,203.633041
"2021-05-17",205.970001,206.979996,201.949997,203.990005,112500,201.773483
"2021-05-18",203.179993,204.309998,200.539993,200.690002,132500,198.509323
"2021-05-19",199.229996,199.449997,197.199997,198.979996,122000,196.817902
"2021-05-20",198.979996,200.779999,198.279999,199.449997,218100,197.282822
"2021-05-21",200.259995,202.759995,199.509995,201.830002,369700,199.636948
"2021-05-24",201.809998,203.839996,200.089996,202.470001,274900,200.65773
"2021-05-25",219,220.479996,213,216.830002,567300,214.889191
"2021-05-26",216.289993,217.240005,211.679993,215.800003,478800,213.868408
"2021-05-27",215.330002,223.490005,214.350006,223.429993,623900,221.430099
"2021-05-28",223.289993,223.289993,218.850006,221.690002,221400,219.705688
"2021-06-01",223.539993,224.839996,221.179993,221.669998,188900,219.685852
"2021-06-02",222.75,223.660004,218.289993,221.529999,166000,219.547134
"2021-06-03",220.729996,222.789993,219.350006,220.509995,243800,218.536255
"2021-06-04",221.880005,224.880005,220.270004,224.160004,197500,222.153595
"2021-06-07",224.369995,224.710007,221.649994,222.559998,279100,220.567902
"2021-06-08",222,223.779999,221.009995,222.320007,159200,220.330063
"2021-06-09",222.130005,222.509995,220.740005,222.100006,202900,220.112015
"2021-06-10",224.320007,224.320007,221.639999,223.169998,143500,221.172424
"2021-06-11",223.720001,223.860001,221.110001,222.399994,125300,220.409332
"2021-06-14",221.850006,222.910004,220.940002,221.289993,161800,219.309265
"2021-06-15",222.419998,223.610001,220.320007,223.020004,122500,221.023788
"2021-06-16",223.020004,223.300003,219.050003,219.429993,184600,217.465897
